	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	mean_r_chromaticity	max_r_chromaticity	min_r_chromaticity	mean_ct_chromaticity	max_ct_chromaticity	min_ct_chromaticity	mean_nct_chromaticity	max_nct_chromaticity	min_nct_chromaticity	mean_pcs_chromaticity	max_pcs_chromaticity	min_pcs_chromaticity	mean_ct_diatonicity	max_ct_diatonicity	min_ct_diatonicity	mean_nct_diatonicity	max_nct_diatonicity	min_nct_diatonicity	mean_pcs_diatonicity	max_pcs_diatonicity	min_pcs_diatonicity	root_fifths_range	ct_fifths_range	nct_fifths_range	scaled_r_chromaticity	scaled_ct_chromaticity	scaled_nct_chromaticity	corpus_id	piece_id
19	monteverdi_madrigals	5-05c	1609.1691322587767	1605.0	g	i	6	-4	8	-4	6	-4	0.10596026490066225	4	0	2.2	5	0	1.75	4	0	2.5	5	0	1.0	2	0	0.0	0	0	1.0	2	0	10	12	10	0.048277753830479254	0.14498567335243553	0.04861111111111111	3	20
20	monteverdi_madrigals	5-06	1609.1691322587767	1605.0	g	i	4	-4	5	-7	5	-4	0.01904761904761905	2	0	1.5	3	0	1.0	2	0	1.5	3	0	0.0	0	0	0.0	0	0	0.0	0	0	8	12	9	0.008678500986193294	0.0988538681948424	0.027777777777777776	3	21
21	monteverdi_madrigals	5-07	1609.1691322587767	1605.0	g	i	5	-4	5	-10	5	-4	0.096	3	0	3.0	9	0	2.25	5	0	2.5	5	0	1.0	2	0	0.0	0	0	1.0	2	0	9	15	9	0.0437396449704142	0.1977077363896848	0.0625	3	22
22	monteverdi_madrigals	5-08	1609.1691322587767	1605.0	g	i	6	-4	5	-4	6	-4	0.0045662100456621	1	0	1.5	3	0	0.5	1	0	2.0	4	0	0.0	0	0	0.0	0	0	0.0	0	0	10	9	10	0.0020804625651833237	0.0988538681948424	0.013888888888888888	3	23
23	monteverdi_madrigals	5-09	1609.1691322587767	1605.0	d	i	5	-4	5	-10	5	-5	0.0718562874251497	3	0	3.6666666666666665	11	0	2.5	5	0	3.0	6	0	1.5	3	0	0.5	1	0	1.0	2	0	9	15	10	0.0327392552173759	0.24164278892072585	0.06944444444444445	3	24
24	monteverdi_madrigals	5-10	1609.1691322587767	1605.0	g	i	5	-4	5	-4	6	-4	0.04081632653061224	3	0	1.5	3	0	2.0	4	0	2.0	4	0	0.0	0	0	0.0	0	0	1.0	2	0	9	9	10	0.018596787827557058	0.0988538681948424	0.05555555555555555	3	25
25	monteverdi_madrigals	5-11	1609.1691322587767	1605.0	g	i	6	-4	8	-4	6	-4	0.10596026490066225	4	0	2.2	5	0	1.75	4	0	2.5	5	0	1.0	2	0	0.0	0	0	1.0	2	0	10	12	10	0.048277753830479254	0.14498567335243553	0.04861111111111111	3	26
26	monteverdi_madrigals	5-14	1609.1691322587767	1605.0	d	i	4	-4	7	-10	6	-4	0.017964071856287425	2	0	3.3333333333333335	9	0	2.0	4	0	3.0	6	0	0.0	0	0	0.0	0	0	1.0	2	0	8	17	10	0.008184813804343974	0.21967526265520534	0.05555555555555555	3	27
27	monteverdi_madrigals	5-15	1609.1691322587767	1605.0	d	i	5	-4	5	-10	5	-5	0.0718562874251497	3	0	3.6666666666666665	11	0	2.5	5	0	3.0	6	0	1.5	3	0	0.5	1	0	1.0	2	0	9	15	10	0.0327392552173759	0.24164278892072585	0.06944444444444445	3	28
28	monteverdi_madrigals	5-17	1609.1691322587767	1605.0	d	i	5	-4	6	-6	5	-4	0.07692307692307693	3	0	2.2	5	0	2.6	5	0	2.5	5	0	0.0	0	0	0.0	0	0	1.0	2	0	9	12	9	0.03504779244424215	0.14498567335243553	0.07222222222222223	3	29
29	monteverdi_madrigals	6-01a	1609.1691322587767	1614.0	d	i	5	-4	5	-7	5	-4	0.30120481927710846	3	0	1.5	3	0	1.5	3	0	2.0	4	0	1.0	2	0	0.0	0	0	0.0	0	0	9	12	9	0.13723533185998432	0.0988538681948424	0.041666666666666664	3	30
30	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620.0	g	i	6	-4	7	-7	6	-4	0.09585492227979274	3	0	1.5	3	0	1.5	3	0	1.5	3	0	0.0	0	0	0.0	0	0	1.0	2	0	10	14	10	0.0436735444706748	0.0988538681948424	0.041666666666666664	3	31
31	monteverdi_madrigals	8-18	1609.1691322587767	1638.0	C	I	6	-5	6	-7	6	-5	0.05084745762711865	3	0	1.5	3	0	1.5	3	0	1.5	3	0	1.5	3	0	0.0	0	0	1.3333333333333333	3	0	11	13	11	0.023167184836024472	0.0988538681948424	0.041666666666666664	3	32
32	monteverdi_madrigals	8-19	1609.1691322587767	1638.0	a	i	6	-4	10	-4	8	-7	0.12099644128113879	3	0	3.0	7	0	2.2	5	0	2.5	5	0	1.0	2	0	1.0	2	0	1.6666666666666667	3	0	10	14	15	0.055128556086672706	0.1977077363896848	0.061111111111111116	3	33
33	monteverdi_madrigals	9-12	1609.1691322587767	1651.0	C	I	5	-4	5	-4	3	-4	0.0	0	0	1.6666666666666667	3	0	0.0	0	0	1.6666666666666667	3	0	0.0	0	0	0.0	0	0	1.0	2	0	9	9	7	0.0	0.10983763132760267	0.0	3	34
34	sweelinck_keyboard	SwWV258_fantasia_cromatica	1621.0	1621.0	d	i	6	-4	7	-5	6	-4	0.1936127744510978	4	0	3.0	7	0	3.0	6	0	4.0	8	0	1.5	3	0	0.5	1	0	1.5	3	0	10	12	10	0.08821410433570728	0.1977077363896848	0.08333333333333333	4	35
35	frescobaldi_fiori_musicali	12.01_Toccata_avanti_la_Messa_della_Domenica	1635.0	1635.0	d	i	5	-4	6	-9	5	-4	0.07017543859649122	3	0	2.8333333333333335	6	0	2.5	5	0	3.5	7	0	2.6666666666666665	6	0	0.0	0	0	1.0	2	0	9	15	9	0.03197342468597529	0.18672397325692455	0.06944444444444445	5	36
36	frescobaldi_fiori_musicali	12.02_Kyrie_della_domenica	1635.0	1635.0	d	i	5	-4	5	-4	5	-4	0.18333333333333332	3	0	1.6666666666666667	3	0	1.6666666666666667	4	0	2.0	4	0	0.0	0	0	0.0	0	0	0.0	0	0	9	9	9	0.08353057199211045	0.10983763132760267	0.0462962962962963	5	37
37	frescobaldi_fiori_musicali	12.03_Kyrie,_Tema_A	1635.0	1635.0	d	i	6	-4	6	-4	6	-4	0.3787878787878788	4	0	2.2	5	0	2.0	4	0	2.0	4	0	0.0	0	0	0.0	0	0	0.0	0	0	10	10	10	0.17258382642998027	0.14498567335243553	0.05555555555555555	5	38
38	frescobaldi_fiori_musicali	12.04_Christe,_Tema_B	1635.0	1635.0	d	i	5	-4	5	-5	3	-4	0.06382978723404255	3	0	1.5	3	0	0.5	1	0	1.5	3	0	1.5	3	0	0.0	0	0	0.0	0	0	9	10	7	0.029082210751605185	0.0988538681948424	0.013888888888888888	5	39
39	frescobaldi_fiori_musicali	12.05_Christe,_Tema_B,_alio_modo	1635.0	1635.0	d	i	6	-4	5	-11	6	-4	0.5869565217391305	4	0	2.6	7	0	2.0	4	0	2.0	4	0	3.0	7	0	0.0	0	0	0.0	0	0	10	16	10	0.26742989452019555	0.17134670487106016	0.05555555555555555	5	40
