	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	total_WLD	chord_num	avg_WLD	corpus_id	piece_id
47	monteverdi_madrigals	5-15	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	21.599999999999998	36	0.6	2	27
48	monteverdi_madrigals	5-17	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	56.8	85	0.668235294117647	2	28
49	monteverdi_madrigals	5-17	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	13.2	19	0.6947368421052631	2	28
50	monteverdi_madrigals	6-01a	1609.1691322587767	1614	Renaissance	pre-Baroque	d	minor	101.2	83	1.219277108433735	2	29
51	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	Renaissance	pre-Baroque	g	minor	171.4	219	0.7826484018264841	2	30
52	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	Renaissance	pre-Baroque	g	major	115.39999999999999	167	0.6910179640718562	2	30
53	monteverdi_madrigals	8-18	1609.1691322587767	1638	Renaissance	pre-Baroque	C	major	34.2	47	0.7276595744680852	2	31
54	monteverdi_madrigals	8-18	1609.1691322587767	1638	Renaissance	pre-Baroque	C	minor	201.6	248	0.8129032258064516	2	31
55	monteverdi_madrigals	8-19	1609.1691322587767	1638	Renaissance	pre-Baroque	a	minor	104.8	139	0.753956834532374	2	32
56	monteverdi_madrigals	8-19	1609.1691322587767	1638	Renaissance	pre-Baroque	a	major	107.0	142	0.7535211267605634	2	32
57	monteverdi_madrigals	9-12	1609.1691322587767	1651	Renaissance	Baroque	C	major	24.2	20	1.21	2	33
58	monteverdi_madrigals	9-12	1609.1691322587767	1651	Renaissance	Baroque	C	minor	33.0	32	1.03125	2	33
59	sweelinck_keyboard	SwWV258_fantasia_cromatica	1621.0	1621	Renaissance	pre-Baroque	d	minor	368.4	501	0.7353293413173653	3	34
60	frescobaldi_fiori_musicali	12.01_Toccata_avanti_la_Messa_della_Domenica	1635.0	1635	Renaissance	pre-Baroque	d	minor	61.4	57	1.0771929824561404	4	35
61	frescobaldi_fiori_musicali	12.02_Kyrie_della_domenica	1635.0	1635	Renaissance	pre-Baroque	d	minor	52.199999999999996	60	0.8699999999999999	4	36
62	frescobaldi_fiori_musicali	12.03_Kyrie,_Tema_A	1635.0	1635	Renaissance	pre-Baroque	d	minor	60.6	66	0.9181818181818182	4	37
63	frescobaldi_fiori_musicali	12.04_Christe,_Tema_B	1635.0	1635	Renaissance	pre-Baroque	d	minor	34.8	47	0.7404255319148936	4	38
64	frescobaldi_fiori_musicali	12.05_Christe,_Tema_B,_alio_modo	1635.0	1635	Renaissance	pre-Baroque	d	minor	36.8	46	0.7999999999999999	4	39
65	frescobaldi_fiori_musicali	12.06_Christe,_Tema_B,_alio_modo_II	1635.0	1635	Renaissance	pre-Baroque	d	minor	28.599999999999998	46	0.6217391304347826	4	40
66	frescobaldi_fiori_musicali	12.07_Christe,_Tema_B,_alio_modo_III	1635.0	1635	Renaissance	pre-Baroque	d	minor	28.599999999999998	35	0.8171428571428571	4	41
67	frescobaldi_fiori_musicali	12.08_Kyrie,_Tema_C	1635.0	1635	Renaissance	pre-Baroque	d	minor	42.4	54	0.7851851851851852	4	42
68	frescobaldi_fiori_musicali	12.09_Kyrie,_Tema_D,_alio_modo_I	1635.0	1635	Renaissance	pre-Baroque	d	minor	41.199999999999996	63	0.6539682539682539	4	43
69	frescobaldi_fiori_musicali	12.10_Kyrie,_Tema_D,_alio_modo_II	1635.0	1635	Renaissance	pre-Baroque	d	minor	37.2	52	0.7153846153846154	4	44
70	frescobaldi_fiori_musicali	12.11_Kyrie_ultimo	1635.0	1635	Renaissance	pre-Baroque	d	minor	49.6	65	0.7630769230769231	4	45
71	frescobaldi_fiori_musicali	12.12_Kyrie,_Tema_D,_alio_modo_III	1635.0	1635	Renaissance	pre-Baroque	d	minor	72.6	84	0.8642857142857142	4	46
72	frescobaldi_fiori_musicali	12.13_Kyrie,_Tema_D,_alio_modo_IV	1635.0	1635	Renaissance	pre-Baroque	d	minor	53.4	48	1.1125	4	47
