	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	localkey_mode	ILC	OLC	DI	ILC_DI_diff
1	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	Renaissance	G	major	0.34065934065934067	0.04945054945054945	0.21877197802197804	0.12188736263736263
2	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	Renaissance	G	minor	0.7857142857142857	0.07936507936507936	0.20925873015873017	0.5764555555555555
3	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	major	0.6560636182902585	0.15109343936381708	0.225148111332008	0.43091550695825054
4	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	minor	1.1696969696969697	0.07272727272727272	0.2272709090909091	0.9424260606060606
5	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	Renaissance	G	major	0.5399239543726235	0.04182509505703422	0.2184403041825095	0.32148365019011405
6	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	Renaissance	G	minor	0.875	0.09375	0.215625	0.659375
7	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	major	0.3419354838709677	0.012903225806451613	0.2215045161290323	0.12043096774193543
8	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	minor	2.1528150134048256	0.2546916890080429	0.256030563002681	1.8967844504021447
9	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	major	0.3937908496732026	0.0457516339869281	0.2262125816993464	0.1675782679738562
10	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	minor	0.7613636363636364	0.13636363636363635	0.20378750000000004	0.5575761363636363
16	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	major	0.06338028169014084	0.007042253521126761	0.2768514084507042	0.21347112676056337
17	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	minor	0.7647058823529411	0.029411764705882353	0.27499705882352943	0.4897088235294117
18	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	minor	1.0833333333333333	0.09375	0.2659708333333333	0.8173625
19	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	major	0.19642857142857142	0.08928571428571429	0.21785535714285717	0.021426785714285745
20	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	minor	1.2638888888888888	0.013888888888888888	0.23958194444444444	1.0243069444444444
21	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	major	0.08928571428571429	0.05357142857142857	0.21815357142857142	0.12886785714285715
22	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	minor	0.7666666666666667	0.022222222222222223	0.2288888888888889	0.5377777777777778
23	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	major	0.13333333333333333	0.06666666666666667	0.2	0.06666666666666668
24	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	minor	0.9555555555555556	0.12222222222222222	0.24481333333333336	0.7107422222222223
25	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	major	0.0	0.0	0.2376171428571429	0.2376171428571429
26	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	minor	0.7878787878787878	0.015151515151515152	0.2257568181818182	0.5621219696969697
27	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	major	0.011494252873563218	0.022988505747126436	0.22796781609195405	0.21647356321839084
