	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	localkey_mode	ILC	OLC	DI
0	peri_euridice	peri_euridice_scene_0	1	1	1600.0	1600	Renaissance	F	major	0.034482758620689655	0.034482758620689655	0.2
1	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	Renaissance	G	major	0.34065934065934067	0.04945054945054945	0.21877197802197804
2	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	Renaissance	G	minor	0.7857142857142857	0.07936507936507936	0.20925873015873017
3	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	major	0.6560636182902585	0.15109343936381708	0.225148111332008
4	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	minor	1.1696969696969697	0.07272727272727272	0.2272709090909091
5	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	Renaissance	G	major	0.5399239543726235	0.04182509505703422	0.2184403041825095
6	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	Renaissance	G	minor	0.875	0.09375	0.215625
7	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	major	0.3419354838709677	0.012903225806451613	0.2215045161290323
8	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	minor	2.1528150134048256	0.2546916890080429	0.256030563002681
9	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	major	0.3937908496732026	0.0457516339869281	0.2262125816993464
10	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	minor	0.7613636363636364	0.13636363636363635	0.20378750000000004
11	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	major	0.03111111111111111	0.0044444444444444444	0.2221471111111111
12	monteverdi_madrigals	3-09	2	8	1609.1691322587767	1592	Renaissance	F	major	0.015789473684210527	0.005263157894736842	0.2586810526315789
13	monteverdi_madrigals	3-11	2	9	1609.1691322587767	1592	Renaissance	F	major	0.015789473684210527	0.005263157894736842	0.2586810526315789
14	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	Renaissance	d	minor	0.7405405405405405	0.06486486486486487	0.24468324324324325
15	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	Renaissance	d	minor	0.7405405405405405	0.06486486486486487	0.24468324324324325
16	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	major	0.06338028169014084	0.007042253521126761	0.2768514084507042
17	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	minor	0.7647058823529411	0.029411764705882353	0.27499705882352943
18	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	minor	1.0833333333333333	0.09375	0.2659708333333333
19	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	major	0.19642857142857142	0.08928571428571429	0.21785535714285717
20	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	minor	1.2638888888888888	0.013888888888888888	0.23958194444444444
21	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	major	0.08928571428571429	0.05357142857142857	0.21815357142857142
22	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	minor	0.7666666666666667	0.022222222222222223	0.2288888888888889
23	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	major	0.13333333333333333	0.06666666666666667	0.2
24	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	minor	0.9555555555555556	0.12222222222222222	0.24481333333333336
25	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	major	0.0	0.0	0.2376171428571429
26	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	minor	0.7878787878787878	0.015151515151515152	0.2257568181818182
27	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	major	0.011494252873563218	0.022988505747126436	0.22796781609195405
28	monteverdi_madrigals	5-05b	2	18	1609.1691322587767	1605	Renaissance	g	minor	0.8831168831168831	0.05194805194805195	0.22554025974025976
29	monteverdi_madrigals	5-05b	2	18	1609.1691322587767	1605	Renaissance	g	major	0.0	0.047619047619047616	0.20952380952380953
30	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	minor	1.338235294117647	0.08823529411764706	0.2614205882352941
31	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	major	0.1566265060240964	0.03614457831325301	0.25140481927710845
32	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	minor	0.7666666666666667	0.022222222222222223	0.2288888888888889
33	monteverdi_madrigals	5-06	2	20	1609.1691322587767	1605	Renaissance	g	major	0.13333333333333333	0.06666666666666667	0.2
34	monteverdi_madrigals	5-07	2	21	1609.1691322587767	1605	Renaissance	g	minor	0.9555555555555556	0.12222222222222222	0.24481333333333336
35	monteverdi_madrigals	5-07	2	21	1609.1691322587767	1605	Renaissance	g	major	0.0	0.0	0.2376171428571429
36	monteverdi_madrigals	5-08	2	22	1609.1691322587767	1605	Renaissance	g	minor	0.7878787878787878	0.015151515151515152	0.2257568181818182
37	monteverdi_madrigals	5-08	2	22	1609.1691322587767	1605	Renaissance	g	major	0.011494252873563218	0.022988505747126436	0.22796781609195405
38	monteverdi_madrigals	5-09	2	23	1609.1691322587767	1605	Renaissance	d	minor	1.0687022900763359	0.4732824427480916	0.2336114503816794
39	monteverdi_madrigals	5-09	2	23	1609.1691322587767	1605	Renaissance	d	major	0.0	0.0	0.2
40	monteverdi_madrigals	5-10	2	24	1609.1691322587767	1605	Renaissance	g	minor	0.8831168831168831	0.05194805194805195	0.22554025974025976
41	monteverdi_madrigals	5-10	2	24	1609.1691322587767	1605	Renaissance	g	major	0.0	0.047619047619047616	0.20952380952380953
42	monteverdi_madrigals	5-11	2	25	1609.1691322587767	1605	Renaissance	g	minor	1.338235294117647	0.08823529411764706	0.2614205882352941
43	monteverdi_madrigals	5-11	2	25	1609.1691322587767	1605	Renaissance	g	major	0.1566265060240964	0.03614457831325301	0.25140481927710845
44	monteverdi_madrigals	5-14	2	26	1609.1691322587767	1605	Renaissance	d	minor	1.037037037037037	0.2740740740740741	0.24839407407407407
45	monteverdi_madrigals	5-14	2	26	1609.1691322587767	1605	Renaissance	d	major	0.25	0.125	0.25
46	monteverdi_madrigals	5-15	2	27	1609.1691322587767	1605	Renaissance	d	minor	1.0687022900763359	0.4732824427480916	0.2336114503816794
47	monteverdi_madrigals	5-15	2	27	1609.1691322587767	1605	Renaissance	d	major	0.0	0.0	0.2
48	monteverdi_madrigals	5-17	2	28	1609.1691322587767	1605	Renaissance	d	minor	0.9647058823529412	0.16470588235294117	0.22039058823529412
49	monteverdi_madrigals	5-17	2	28	1609.1691322587767	1605	Renaissance	d	major	0.05263157894736842	0.0	0.2210526315789474
50	monteverdi_madrigals	6-01a	2	29	1609.1691322587767	1614	Renaissance	d	minor	1.4819277108433735	0.024096385542168676	0.3469843373493976
51	monteverdi_madrigals	laudate_pueri_dominum	2	30	1609.1691322587767	1620	Renaissance	g	minor	0.7488584474885844	0.045662100456621	0.24710593607305936
52	monteverdi_madrigals	laudate_pueri_dominum	2	30	1609.1691322587767	1620	Renaissance	g	major	0.10778443113772455	0.059880239520958084	0.22225449101796407
53	monteverdi_madrigals	8-18	2	31	1609.1691322587767	1638	Renaissance	C	major	0.0425531914893617	0.0	0.23155957446808512
54	monteverdi_madrigals	8-18	2	31	1609.1691322587767	1638	Renaissance	C	minor	0.6008064516129032	0.012096774193548387	0.2549036290322581
55	monteverdi_madrigals	8-19	2	32	1609.1691322587767	1638	Renaissance	a	minor	0.8129496402877698	0.1510791366906475	0.24304316546762592
56	monteverdi_madrigals	8-19	2	32	1609.1691322587767	1638	Renaissance	a	major	0.6338028169014085	0.07746478873239436	0.2392
57	monteverdi_madrigals	9-12	2	33	1609.1691322587767	1651	Renaissance	C	major	0.0	0.0	0.33583
58	monteverdi_madrigals	9-12	2	33	1609.1691322587767	1651	Renaissance	C	minor	0.5	0.0	0.292496875
59	sweelinck_keyboard	SwWV258_fantasia_cromatica	3	34	1621.0	1621	Renaissance	d	minor	1.183632734530938	0.3193612774451098	0.23921876247504992
60	frescobaldi_fiori_musicali	12.01_Toccata_avanti_la_Messa_della_Domenica	4	35	1635.0	1635	Renaissance	d	minor	0.9649122807017544	0.3508771929824561	0.30403508771929827
61	frescobaldi_fiori_musicali	12.02_Kyrie_della_domenica	4	36	1635.0	1635	Renaissance	d	minor	0.36666666666666664	0.1	0.27666333333333337
62	frescobaldi_fiori_musicali	12.03_Kyrie,_Tema_A	4	37	1635.0	1635	Renaissance	d	minor	0.7878787878787878	0.0	0.27928939393939395
63	frescobaldi_fiori_musicali	12.04_Christe,_Tema_B	4	38	1635.0	1635	Renaissance	d	minor	0.5319148936170213	0.0425531914893617	0.23758723404255322
64	frescobaldi_fiori_musicali	12.05_Christe,_Tema_B,_alio_modo	4	39	1635.0	1635	Renaissance	d	minor	0.9347826086956522	0.15217391304347827	0.2597760869565217
65	frescobaldi_fiori_musicali	12.06_Christe,_Tema_B,_alio_modo_II	4	40	1635.0	1635	Renaissance	d	minor	0.32608695652173914	0.13043478260869565	0.20724565217391305
66	frescobaldi_fiori_musicali	12.07_Christe,_Tema_B,_alio_modo_III	4	41	1635.0	1635	Renaissance	d	minor	0.4	0.14285714285714285	0.2557142857142857
67	frescobaldi_fiori_musicali	12.08_Kyrie,_Tema_C	4	42	1635.0	1635	Renaissance	d	minor	0.2962962962962963	0.0	0.24722222222222226
68	frescobaldi_fiori_musicali	12.09_Kyrie,_Tema_D,_alio_modo_I	4	43	1635.0	1635	Renaissance	d	minor	0.38095238095238093	0.14285714285714285	0.21481428571428574
69	frescobaldi_fiori_musicali	12.10_Kyrie,_Tema_D,_alio_modo_II	4	44	1635.0	1635	Renaissance	d	minor	0.6923076923076923	0.07692307692307693	0.23589423076923077
70	frescobaldi_fiori_musicali	12.11_Kyrie_ultimo	4	45	1635.0	1635	Renaissance	d	minor	0.8461538461538461	0.2	0.2434830769230769
71	frescobaldi_fiori_musicali	12.12_Kyrie,_Tema_D,_alio_modo_III	4	46	1635.0	1635	Renaissance	d	minor	0.9523809523809523	0.011904761904761904	0.26983690476190475
72	frescobaldi_fiori_musicali	12.13_Kyrie,_Tema_D,_alio_modo_IV	4	47	1635.0	1635	Renaissance	d	minor	0.8958333333333334	0.16666666666666666	0.304375
73	frescobaldi_fiori_musicali	12.14_Canzon_dopo_l’Epistola	4	48	1635.0	1635	Renaissance	d	minor	1.09478672985782	0.15639810426540285	0.2621616113744076
74	frescobaldi_fiori_musicali	12.15_Recercar_dopo_il_Credo	4	49	1635.0	1635	Renaissance	g	minor	0.8395061728395061	0.13580246913580246	0.21934012345679016
75	frescobaldi_fiori_musicali	12.16_Toccata_cromaticha_per_l’elevatione	4	50	1635.0	1635	Renaissance	a	minor	1.0251256281407035	0.035175879396984924	0.2875170854271357
76	frescobaldi_fiori_musicali	12.17_Canzon_post_il_Comune	4	51	1635.0	1635	Renaissance	C	major	0.18779342723004694	0.028169014084507043	0.2549112676056338
77	frescobaldi_fiori_musicali	12.18_Toccata_avanti_la_Messa_delli_Apostoli	4	52	1635.0	1635	Renaissance	d	minor	0.7567567567567568	0.28378378378378377	0.30531216216216217
78	frescobaldi_fiori_musicali	12.19_Kyrie,_Tema_E_1	4	53	1635.0	1635	Renaissance	d	minor	1.2826086956521738	0.10869565217391304	0.24057608695652172
79	frescobaldi_fiori_musicali	12.20_Kyrie,_Tema_E_2	4	54	1635.0	1635	Renaissance	d	minor	0.9206349206349206	0.047619047619047616	0.2753904761904762
80	frescobaldi_fiori_musicali	12.21_Kyrie,_Tema_E_3	4	55	1635.0	1635	Renaissance	d	minor	0.7111111111111111	0.4	0.22222
81	frescobaldi_fiori_musicali	12.22_Christe,_Tema_F_1	4	56	1635.0	1635	Renaissance	d	minor	0.18604651162790697	0.11627906976744186	0.2434093023255814
82	frescobaldi_fiori_musicali	12.23_Christe,_Tema_F_2	4	57	1635.0	1635	Renaissance	d	minor	0.6730769230769231	0.057692307692307696	0.2516019230769231
83	frescobaldi_fiori_musicali	12.24_Kyrie,_Tema_G_1	4	58	1635.0	1635	Renaissance	d	minor	0.45098039215686275	0.0784313725490196	0.22483529411764708
84	frescobaldi_fiori_musicali	12.25_Kyrie,_Tema_G_2	4	59	1635.0	1635	Renaissance	d	minor	0.4461538461538462	0.26153846153846155	0.22948615384615387
85	frescobaldi_fiori_musicali	12.26_Kyrie,_Tema_H	4	60	1635.0	1635	Renaissance	d	minor	0.6825396825396826	0.23809523809523808	0.27089523809523813
86	frescobaldi_fiori_musicali	12.27_Canzon_dopo_l'Epistola	4	61	1635.0	1635	Renaissance	C	major	0.23557692307692307	0.019230769230769232	0.23837740384615386
87	frescobaldi_fiori_musicali	12.28_Toccata_avanti_il_Recercar	4	62	1635.0	1635	Renaissance	d	minor	1.3833333333333333	0.21666666666666667	0.32910833333333334
88	frescobaldi_fiori_musicali	12.29_Recercar_cromaticho_post_il_Credo	4	63	1635.0	1635	Renaissance	d	minor	1.0532786885245902	0.14754098360655737	0.26174344262295085
89	frescobaldi_fiori_musicali	12.30_Alto_recercar	4	64	1635.0	1635	Renaissance	g	minor	0.5573248407643312	0.16878980891719744	0.25992133757961783
90	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	4	65	1635.0	1635	Renaissance	C	major	0.655367231638418	0.05649717514124294	0.25611525423728815
91	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	4	65	1635.0	1635	Renaissance	C	minor	1.8823529411764706	0.14705882352941177	0.2700911764705882
92	frescobaldi_fiori_musicali	12.34_Toccata_avanti_la_Messa_della_Madonna	4	66	1635.0	1635	Renaissance	d	minor	1.0526315789473684	0.4473684210526316	0.2771921052631579
93	frescobaldi_fiori_musicali	12.35_Kyrie,_Tema_I	4	67	1635.0	1635	Renaissance	d	minor	0.6190476190476191	0.09523809523809523	0.2571404761904762
94	frescobaldi_fiori_musicali	12.36_Kyrie,_Tema_K	4	68	1635.0	1635	Renaissance	d	minor	0.34782608695652173	0.2391304347826087	0.23804130434782608
95	frescobaldi_fiori_musicali	12.37_Christe,_Tema_L	4	69	1635.0	1635	Renaissance	d	minor	0.639344262295082	0.06557377049180328	0.25655409836065574
96	frescobaldi_fiori_musicali	12.38_Christe,_Tema_M	4	70	1635.0	1635	Renaissance	d	minor	0.425	0.2	0.261245
97	frescobaldi_fiori_musicali	12.39_Kyrie,_Tema_N	4	71	1635.0	1635	Renaissance	d	minor	0.47058823529411764	0.23529411764705882	0.22745
98	frescobaldi_fiori_musicali	12.40_Kyrie,_Tema_O	4	72	1635.0	1635	Renaissance	d	minor	0.5849056603773585	0.018867924528301886	0.24465283018867923
99	frescobaldi_fiori_musicali	12.41_Canzon_dopo_l'Epistola	4	73	1635.0	1635	Renaissance	g	minor	1.1031746031746033	0.24603174603174602	0.21917936507936508
100	frescobaldi_fiori_musicali	12.42_Recercar_dopo_il_Credo	4	74	1635.0	1635	Renaissance	g	minor	0.8461538461538461	0.08974358974358974	0.23034102564102563
101	frescobaldi_fiori_musicali	12.43_Toccata_avanti_il_Recercar	4	75	1635.0	1635	Renaissance	a	minor	1.0	0.3157894736842105	0.24421052631578952
102	frescobaldi_fiori_musicali	12.44_Recercar_con_obligo_di_cantare_la_quinta_parte_non_senza_toccarla	4	76	1635.0	1635	Renaissance	a	minor	0.3383084577114428	0.024875621890547265	0.24643134328358207
103	frescobaldi_fiori_musicali	12.46_Bergamasca	4	77	1635.0	1635	Renaissance	G	major	0.3179611650485437	0.11165048543689321	0.23947936893203886
104	frescobaldi_fiori_musicali	12.47_Capriccio_sopra_la_Girolmeta	4	78	1635.0	1635	Renaissance	G	major	0.22311827956989247	0.12634408602150538	0.2578819892473118
105	kleine_geistliche_konzerte	op08n01swv282_Eile_mich,_Gott,_zu_erretten	5	79	1637.9308224442736	1636	Renaissance	d	minor	0.9880952380952381	0.17857142857142858	0.23829285714285714
106	kleine_geistliche_konzerte	op08n02swv283_Bringt_her_dem_Herren	5	80	1637.9308224442736	1636	Renaissance	C	major	0.24431818181818182	0.0	0.2170443181818182
107	kleine_geistliche_konzerte	op08n03swv284_Ich_danke_dem_Herrn_von_ganzem_Herzen	5	81	1637.9308224442736	1636	Renaissance	g	minor	0.8607594936708861	0.08016877637130802	0.21926835443037976
108	kleine_geistliche_konzerte	op08n04swv285_O_süsser,_o_freundlicher	5	82	1637.9308224442736	1636	Renaissance	g	minor	0.844559585492228	0.046632124352331605	0.22037927461139897
109	kleine_geistliche_konzerte	op08n05swv286_Der_Herr_ist_gross	5	83	1637.9308224442736	1636	Renaissance	G	major	0.34532374100719426	0.04316546762589928	0.21007122302158276
110	kleine_geistliche_konzerte	op08n06swv287_O_lieber_Herre_Gott	5	84	1637.9308224442736	1636	Renaissance	g	minor	0.8140703517587939	0.21105527638190955	0.22110402010050254
111	kleine_geistliche_konzerte	op08n07swv288_Ihr_Heiligen,_lobsinget_dem_Herren	5	85	1637.9308224442736	1636	Renaissance	D	major	0.3724137931034483	0.05517241379310345	0.21471241379310346
112	kleine_geistliche_konzerte	op08n08swv289_Erhöre_mich,_wenn_ich_rufe	5	86	1637.9308224442736	1636	Renaissance	e	minor	0.4375	0.015625	0.25403359375
