	corpus	corpus_year	localkey_mode	corpus_id	ILC	OLC	DI
0	peri_euridice	1600.0	major	1	0.3844760009145138	0.05591778371424502	0.2183462485608124
1	peri_euridice	1600.0	minor	1	1.1489179810359436	0.12737953549280628	0.22239454045046406
2	monteverdi_madrigals	1609.1691322587767	major	2	0.08756103453424198	0.032252199231571986	0.23355389274839286
3	monteverdi_madrigals	1609.1691322587767	minor	2	0.9308168879209419	0.10352575972725009	0.2484707335767521
4	sweelinck_keyboard	1621.0	minor	3	1.183632734530938	0.3193612774451098	0.23921876247504992
5	frescobaldi_fiori_musicali	1635.0	minor	4	0.7437191054952755	0.15236821837901532	0.25479961539940266
6	frescobaldi_fiori_musicali	1635.0	major	4	0.32396340531276485	0.06837830598298356	0.2493530567736853
7	kleine_geistliche_konzerte	1637.9308224442736	minor	5	0.7541044739263544	0.08490915294660464	0.23153313753418217
8	kleine_geistliche_konzerte	1637.9308224442736	major	5	0.3571216677026823	0.04002587565867994	0.22755273668485831
9	corelli	1687.6864702945581	major	6	0.10884225533406292	0.013949112994839433	0.2826167322603317
10	corelli	1687.6864702945581	minor	6	0.9304310293459291	0.09043001678899691	0.29721172653223793
11	couperin_clavecin	1717.0	minor	7	0.9941146543237652	0.2450192808795623	0.3537472514229611
12	couperin_clavecin	1717.0	major	7	0.2204185035528319	0.08263443024637054	0.3325364387784686
13	handel_keyboard	1720.0	major	8	0.046077558353520176	0.02758225381176201	0.2578057399257046
14	bach_solo	1721.536293766012	minor	9	1.0809731017796411	0.38103616995997663	0.3346926576951861
15	bach_solo	1721.536293766012	major	9	0.2510017403212179	0.06647217902727766	0.3157953459170645
16	bach_en_fr_suites	1721.7536076006095	major	10	0.22856418050037722	0.05912540346528658	0.3241568174489468
17	bach_en_fr_suites	1721.7536076006095	minor	10	1.1520752264498761	0.30571022605509346	0.3604241341983559
18	couperin_concerts	1723.4204871060172	major	11	0.08046863809860436	0.03836136657651734	0.30273102607817265
19	couperin_concerts	1723.4204871060172	minor	11	1.1834939595262266	0.17957902610241067	0.34664099543070426
20	pergolesi_stabat_mater	1736.0	minor	12	1.756957519704383	0.5568559485910175	0.35944763406119756
21	pergolesi_stabat_mater	1736.0	major	12	0.2379541047188106	0.019413919413919414	0.3092083493859082
22	scarlatti_sonatas	1741.1259598104884	minor	13	1.1186583196369764	0.33328158309374056	0.317986646122895
23	scarlatti_sonatas	1741.1259598104884	major	13	0.3713997577661737	0.12694620683307326	0.29033075164797945
24	wf_bach_sonatas	1760.0	major	14	0.44158046238693877	0.2745540699944958	0.33112299708384385
25	wf_bach_sonatas	1760.0	minor	14	1.3691784932746194	0.20511641660852564	0.38134907309068006
26	jc_bach_sonatas	1772.6041876384136	major	15	0.13422327250699437	0.12132347656897635	0.2918823069061687
27	jc_bach_sonatas	1772.6041876384136	minor	15	1.1174047918978216	0.6427981306513019	0.3301352356975374
28	mozart_piano_sonatas	1780.7395798599532	major	16	0.30874477641550996	0.33188424215844753	0.33131643060828503
29	mozart_piano_sonatas	1780.7395798599532	minor	16	1.6193952353814263	0.6007762535233332	0.37146998645019097
30	pleyel_quartets	1783.0	major	17	0.32191222130237357	0.16064645490393084	0.3421627620340086
31	pleyel_quartets	1783.0	minor	17	1.408327040092043	0.4985374195663681	0.3537392557415909
32	beethoven_piano_sonatas	1803.6208098935329	minor	18	1.6859558731280708	0.5820565273082836	0.3814452953356961
33	beethoven_piano_sonatas	1803.6208098935329	major	18	0.6016804458119619	0.4252147732098319	0.3605325059067288
34	kozeluh_sonatas	1806.0	major	19	0.210517811625226	0.20075706453291606	0.3276067205759635
35	kozeluh_sonatas	1806.0	minor	19	1.4388719822925842	0.3309524986934661	0.3583475311483895
36	ABC	1812.0509746203827	major	20	0.4695146817635965	0.31682936500633635	0.3566715061057846
37	ABC	1812.0509746203827	minor	20	1.658443542059674	0.6682811970245073	0.3594567594944642
38	schubert_winterreise	1828.0	minor	21	1.5831775043556227	0.1404640442214117	0.3505163060966372
39	schubert_winterreise	1828.0	major	21	0.7848727793443459	0.10021059015416363	0.3655852340686494
40	mendelssohn_quartets	1835.8707229487093	major	22	0.7584568333809633	0.1303161077057162	0.3846101383861418
41	mendelssohn_quartets	1835.8707229487093	minor	22	1.4024362970481492	0.24714146914409094	0.39027760845401616
