	corpus	piece	corpus_year	piece_year	period	period_Johannes	globalkey	localkey	chord_num	total_WLD	piece_avg_WLD	corpus_id	piece_id
1005	schumann_kinderszenen	n08	1839.0	1839	Early Romantic	Extended tonality	F	I	66	765.0	11.590909090909092	24	903
1006	schumann_kinderszenen	n09	1839.0	1839	Early Romantic	Extended tonality	C	I	46	450.0	9.782608695652174	24	904
1007	schumann_kinderszenen	n10	1839.0	1839	Early Romantic	Extended tonality	g#	i	60	872.0	14.533333333333333	24	905
1008	schumann_kinderszenen	n11	1839.0	1839	Early Romantic	Extended tonality	e	i	135	1223.0	9.059259259259258	24	906
1009	schumann_kinderszenen	n12	1839.0	1839	Early Romantic	Extended tonality	e	i	90	954.0	10.6	24	907
1010	schumann_kinderszenen	n13	1839.0	1839	Early Romantic	Extended tonality	G	I	49	623.0	12.714285714285714	24	908
1011	schumann_liederkreis	op39n01	1840.0	1840	Early Romantic	Extended tonality	f#	i	47	617.0	13.127659574468085	25	999
1012	schumann_liederkreis	op39n02	1840.0	1840	Early Romantic	Extended tonality	A	I	66	897.0	13.590909090909092	25	1000
1013	schumann_liederkreis	op39n03	1840.0	1840	Early Romantic	Extended tonality	E	I	106	972.0	9.169811320754716	25	1001
1014	schumann_liederkreis	op39n04	1840.0	1840	Early Romantic	Extended tonality	G	I	53	647.0	12.20754716981132	25	1002
1015	schumann_liederkreis	op39n05	1840.0	1840	Early Romantic	Extended tonality	E	I	83	1042.0	12.55421686746988	25	1003
1016	schumann_liederkreis	op39n06	1840.0	1840	Early Romantic	Extended tonality	B	I	68	901.0	13.25	25	1004
1017	schumann_liederkreis	op39n07	1840.0	1840	Early Romantic	Extended tonality	e	i	66	664.0	10.06060606060606	25	1005
1018	schumann_liederkreis	op39n08	1840.0	1840	Early Romantic	Extended tonality	a	i	88	747.0	8.488636363636363	25	1006
1019	schumann_liederkreis	op39n09	1840.0	1840	Early Romantic	Extended tonality	E	I	86	1011.0	11.755813953488373	25	1007
1020	schumann_liederkreis	op39n10	1840.0	1840	Early Romantic	Extended tonality	e	i	108	1294.0	11.981481481481481	25	1008
1021	schumann_liederkreis	op39n11	1840.0	1840	Early Romantic	Extended tonality	A	I	67	571.0	8.522388059701493	25	1009
1022	schumann_liederkreis	op39n12	1840.0	1840	Early Romantic	Extended tonality	F#	I	54	729.0	13.5	25	1010
1023	c_schumann_lieder	op13no3 Liebeszauber	1847.2645259938838	1842	Early Romantic	Extended tonality	Eb	I	155	1781.0	11.490322580645161	26	1011
1024	c_schumann_lieder	op13no4 Der Mond kommt still gegangen	1847.2645259938838	1842	Early Romantic	Extended tonality	Db	I	120	1446.0	12.05	26	1012
1025	c_schumann_lieder	op13no6 Die stille Lotosblume	1847.2645259938838	1842	Early Romantic	Extended tonality	Ab	I	117	1662.0	14.205128205128204	26	1013
1026	c_schumann_lieder	op13no1 Ich stand in dunklen Traumen	1847.2645259938838	1843	Early Romantic	Extended tonality	Eb	I	102	1285.0	12.598039215686274	26	1014
1027	c_schumann_lieder	op13no2 Sie liebten sich beide	1847.2645259938838	1843	Early Romantic	Extended tonality	g	i	108	1399.0	12.953703703703704	26	1015
1028	c_schumann_lieder	op13no5 Ich hab in deinem Auge	1847.2645259938838	1843	Early Romantic	Extended tonality	Ab	I	109	1438.0	13.192660550458715	26	1016
1029	c_schumann_lieder	op23no1 Was weinst du Blumlein	1847.2645259938838	1853	Early Romantic	Extended tonality	A	I	136	1447.0	10.639705882352942	26	1017
1030	c_schumann_lieder	op23no2 An einem lichten Morgen	1847.2645259938838	1853	Early Romantic	Extended tonality	F	I	88	1191.0	13.534090909090908	26	1018
1031	c_schumann_lieder	op23no3 Geheimes Flustern hier und dort	1847.2645259938838	1853	Early Romantic	Extended tonality	Db	I	74	1039.0	14.04054054054054	26	1019
1032	c_schumann_lieder	op23no4 Auf einem grunen Hugel	1847.2645259938838	1853	Early Romantic	Extended tonality	a	i	90	932.0	10.355555555555556	26	1020
1033	c_schumann_lieder	op23no5 Das ist ein Tag der klingen mag	1847.2645259938838	1853	Early Romantic	Extended tonality	D	I	119	1181.0	9.92436974789916	26	1021
1034	c_schumann_lieder	op23no6 O Lust o Lust	1847.2645259938838	1853	Early Romantic	Extended tonality	Eb	I	90	1052.0	11.688888888888888	26	1022
1035	liszt_pelerinage	160.01_Chapelle_de_Guillaume_Tell	1857.079674150606	1855	Early Romantic	Extended tonality	C	I	172	1846.0	10.732558139534884	27	1023
1036	liszt_pelerinage	160.02_Au_Lac_de_Wallenstadt	1857.079674150606	1855	Early Romantic	Extended tonality	Ab	I	84	1062.0	12.642857142857142	27	1024
1037	liszt_pelerinage	160.03_Pastorale	1857.079674150606	1855	Early Romantic	Extended tonality	E	I	196	1680.0	8.571428571428571	27	1025
1038	liszt_pelerinage	160.04_Au_Bord_dUne_Source	1857.079674150606	1855	Early Romantic	Extended tonality	Ab	I	465	6498.0	13.974193548387097	27	1026
1039	liszt_pelerinage	160.05_Orage	1857.079674150606	1855	Early Romantic	Extended tonality	c	i	305	3291.0	10.79016393442623	27	1027
1040	liszt_pelerinage	160.06_Vallee_dObermann	1857.079674150606	1855	Early Romantic	Extended tonality	e	i	631	8179.0	12.961965134706814	27	1028
1041	liszt_pelerinage	160.07_Eglogue	1857.079674150606	1855	Early Romantic	Extended tonality	Ab	I	214	3101.0	14.490654205607477	27	1029
1042	liszt_pelerinage	160.08_Le_Mal_du_Pays_(Heimweh)	1857.079674150606	1855	Early Romantic	Extended tonality	e	i	199	1928.0	9.688442211055277	27	1030
1043	liszt_pelerinage	160.09_Les_Cloches_de_Geneve_(Nocturne)	1857.079674150606	1855	Early Romantic	Extended tonality	B	I	203	2953.0	14.54679802955665	27	1031
1044	liszt_pelerinage	161.01_Sposalizio	1857.079674150606	1858	Early Romantic	Extended tonality	E	I	237	3898.0	16.447257383966246	27	1032
1045	liszt_pelerinage	161.02_Il_Pensieroso	1857.079674150606	1858	Early Romantic	Extended tonality	c#	i	83	1258.0	15.156626506024097	27	1033
1046	liszt_pelerinage	161.03_Canzonetta_del_Salvator_Rosa	1857.079674150606	1858	Early Romantic	Extended tonality	A	I	269	2267.0	8.427509293680297	27	1034
1047	liszt_pelerinage	161.04_Sonetto_47_del_Petrarca	1857.079674150606	1858	Early Romantic	Extended tonality	Db	bVI	152	2036.0	13.394736842105264	27	1035
1048	liszt_pelerinage	161.05_Sonetto_104_del_Petrarca	1857.079674150606	1858	Early Romantic	Extended tonality	E	I	121	1624.0	13.421487603305785	27	1036
1049	liszt_pelerinage	161.06_Sonetto_123_del_Petrarca	1857.079674150606	1858	Early Romantic	Extended tonality	Ab	I	146	2243.0	15.363013698630137	27	1037
1050	liszt_pelerinage	161.07_Apres_une_lecture_du_Dante	1857.079674150606	1858	Early Romantic	Extended tonality	D	bV	631	7676.0	12.164817749603804	27	1038
