	corpus	piece	corpus_year	piece_year	globalkey	localkey	piece_weighted_WLD	corpus_id	piece_id
58	frescobaldi_fiori_musicali	12.25_Kyrie,_Tema_G_2	1635.0	1635	d	i	0.2170833333333335	4	59
59	frescobaldi_fiori_musicali	12.26_Kyrie,_Tema_H	1635.0	1635	d	i	0.23645833333333346	4	60
60	frescobaldi_fiori_musicali	12.27_Canzon_dopo_l'Epistola	1635.0	1635	C	I	0.22606263982102875	4	61
61	frescobaldi_fiori_musicali	12.28_Toccata_avanti_il_Recercar	1635.0	1635	d	i	0.26260416666666664	4	62
62	frescobaldi_fiori_musicali	12.29_Recercar_cromaticho_post_il_Credo	1635.0	1635	d	i	0.23926858513189553	4	63
63	frescobaldi_fiori_musicali	12.30_Alto_recercar	1635.0	1635	g	i	0.23866459627329298	4	64
64	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	1635.0	1635	C	I	0.2335917312661501	4	65
65	frescobaldi_fiori_musicali	12.34_Toccata_avanti_la_Messa_della_Madonna	1635.0	1635	d	i	0.22222222222222215	4	66
66	frescobaldi_fiori_musicali	12.35_Kyrie,_Tema_I	1635.0	1635	d	i	0.22708333333333347	4	67
67	frescobaldi_fiori_musicali	12.36_Kyrie,_Tema_K	1635.0	1635	d	i	0.22083333333333327	4	68
68	frescobaldi_fiori_musicali	12.37_Christe,_Tema_L	1635.0	1635	d	i	0.22886904761904742	4	69
69	frescobaldi_fiori_musicali	12.38_Christe,_Tema_M	1635.0	1635	d	i	0.23645833333333333	4	70
70	frescobaldi_fiori_musicali	12.39_Kyrie,_Tema_N	1635.0	1635	d	i	0.21250000000000005	4	71
71	frescobaldi_fiori_musicali	12.40_Kyrie,_Tema_O	1635.0	1635	d	i	0.22222222222222213	4	72
72	frescobaldi_fiori_musicali	12.41_Canzon_dopo_l'Epistola	1635.0	1635	g	i	0.20936329588014968	4	73
73	frescobaldi_fiori_musicali	12.42_Recercar_dopo_il_Credo	1635.0	1635	g	i	0.21474358974358948	4	74
74	frescobaldi_fiori_musicali	12.43_Toccata_avanti_il_Recercar	1635.0	1635	a	i	0.2114285714285713	4	75
75	frescobaldi_fiori_musicali	12.44_Recercar_con_obligo_di_cantare_la_quinta_parte_non_senza_toccarla	1635.0	1635	a	i	0.22983870967741862	4	76
76	frescobaldi_fiori_musicali	12.46_Bergamasca	1635.0	1635	G	I	0.2214539007092197	4	77
77	frescobaldi_fiori_musicali	12.47_Capriccio_sopra_la_Girolmeta	1635.0	1635	G	I	0.22845117845117885	4	78
78	kleine_geistliche_konzerte	op08n01swv282_Eile_mich,_Gott,_zu_erretten	1637.9308224442736	1636	d	i	0.20870098039215665	5	79
79	kleine_geistliche_konzerte	op08n02swv283_Bringt_her_dem_Herren	1637.9308224442736	1636	C	I	0.20798122065727684	5	80
80	kleine_geistliche_konzerte	op08n03swv284_Ich_danke_dem_Herrn_von_ganzem_Herzen	1637.9308224442736	1636	g	i	0.20577485380117005	5	81
81	kleine_geistliche_konzerte	op08n04swv285_O_süsser,_o_freundlicher	1637.9308224442736	1636	g	i	0.2070195195195193	5	82
82	kleine_geistliche_konzerte	op08n05swv286_Der_Herr_ist_gross	1637.9308224442736	1636	G	I	0.20523648648648601	5	83
83	kleine_geistliche_konzerte	op08n06swv287_O_lieber_Herre_Gott	1637.9308224442736	1636	g	i	0.20930232558139503	5	84
84	kleine_geistliche_konzerte	op08n07swv288_Ihr_Heiligen,_lobsinget_dem_Herren	1637.9308224442736	1636	D	I	0.20658436213991774	5	85
85	kleine_geistliche_konzerte	op08n08swv289_Erhöre_mich,_wenn_ich_rufe	1637.9308224442736	1636	e	i	0.23230769230769258	5	86
86	kleine_geistliche_konzerte	op08n09swv290_Wohl_dem,_der_nicht_wandelt_im_Rat_der_Gottlosen	1637.9308224442736	1636	g	i	0.20766488413547313	5	87
87	kleine_geistliche_konzerte	op08n10swv291_Schaffe_in_mir,_Gott,_ein_reines_Herz	1637.9308224442736	1636	G	I	0.20299145299145285	5	88
88	kleine_geistliche_konzerte	op08n11swv292_Der_Herr_schauet_vom_Himmel_auf_der_Menschen_Kinder	1637.9308224442736	1636	G	I	0.2022857142857141	5	89
89	kleine_geistliche_konzerte	op08n12swv293_Lobet_den_Herren,_der_zu_Zion_wohnet	1637.9308224442736	1636	G	I	0.21208333333333332	5	90
90	kleine_geistliche_konzerte	op08n13swv294_Eins_bitte_ich_vom_Herren	1637.9308224442736	1636	F	I	0.20532945736434136	5	91
91	kleine_geistliche_konzerte	op08n14swv295_O_hilf,_Christe_Gottes_Sohn	1637.9308224442736	1636	a	i	0.20473251028806563	5	92
92	kleine_geistliche_konzerte	op08n15swv296_Fürchte_dich_nicht	1637.9308224442736	1636	d	i	0.20187499999999958	5	93
93	kleine_geistliche_konzerte	op08n16swv297_O_Herr_hilf	1637.9308224442736	1636	g	i	0.22703962703962677	5	94
94	kleine_geistliche_konzerte	op08n18swv299_Die_Gottseligkeit_ist_zu_allen_Dingen_nütz	1637.9308224442736	1636	e	i	0.21568627450980377	5	95
95	kleine_geistliche_konzerte	op08n19swv300_Himmel_und_Erde_vergehen	1637.9308224442736	1636	g	i	0.19999999999999982	5	96
96	kleine_geistliche_konzerte	op08n20swv301_Nun_komm_der_Heiden_Heiland	1637.9308224442736	1636	g	i	0.2173539518900341	5	97
97	kleine_geistliche_konzerte	op08n21swv302_Ein_Kind_ist_uns_geboren	1637.9308224442736	1636	F	I	0.21915011037527662	5	98
98	kleine_geistliche_konzerte	op08n22swv303_Wir_glauben_all_an_einen_Gott	1637.9308224442736	1636	d	i	0.2206477732793525	5	99
99	kleine_geistliche_konzerte	op08n23swv304_Siehe,_mein_Fürsprecher_im_Himmel	1637.9308224442736	1636	G	I	0.21621863799283123	5	100
100	kleine_geistliche_konzerte	op08n24swv305_Ich_hab_mein_Sach_Gott_heimgestellt	1637.9308224442736	1636	g	i	0.20562987736900873	5	101
101	kleine_geistliche_konzerte	op09n01swv306_Ich_will_den_Herren_loben_allezeit	1637.9308224442736	1639	F	I	0.20820175438596467	5	102
102	kleine_geistliche_konzerte	op09n02swv307_Was_hast_du_verwirket	1637.9308224442736	1639	d	i	0.2335365853658538	5	103
103	kleine_geistliche_konzerte	op09n03swv308_O_Jesu,_nomen_dulce	1637.9308224442736	1639	g	i	0.21994949494949517	5	104
104	kleine_geistliche_konzerte	op09n04swv309_O_misericordissime_Jesu	1637.9308224442736	1639	g	i	0.2075181159420286	5	105
105	kleine_geistliche_konzerte	op09n05swv310_Ich_liege_und_schlafe	1637.9308224442736	1639	a	i	0.21016042780748714	5	106
106	kleine_geistliche_konzerte	op09n06swv311_Habe_deine_Lust_an_dem_Herren	1637.9308224442736	1639	a	i	0.22062636165577296	5	107
107	kleine_geistliche_konzerte	op09n07swv312_Herr,_ich_hoffe_darauf	1637.9308224442736	1639	d	i	0.21196581196581152	5	108
108	kleine_geistliche_konzerte	op09n08swv313_Bone_Jesu,_verbum_Patris	1637.9308224442736	1639	a	i	0.20903263403263328	5	109
109	kleine_geistliche_konzerte	op09n09swv314_Verbum_caro_factum	1637.9308224442736	1639	g	i	0.21309111880046155	5	110
