	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	localkey	ILC	OLC	ILD
47	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	I	0.0	0.0	0.01
48	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	V	0.0	0.1	0.2
49	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	I	0.018867924528301886	0.0	0.0612495
50	monteverdi_madrigals	3-09	2	8	1609.1691322587767	1592	Renaissance	F	I	0.015789473684210527	0.005263157894736842	0.2586810526315789
51	monteverdi_madrigals	3-11	2	9	1609.1691322587767	1592	Renaissance	F	I	0.015789473684210527	0.005263157894736842	0.2586810526315789
52	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	Renaissance	d	i	1.1578947368421053	0.0	0.06315657894736842
53	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	Renaissance	d	iv	1.0	0.5833333333333334	0.13333333333333336
54	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	Renaissance	d	i	1.1538461538461537	0.0	0.043859210526315785
55	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	Renaissance	d	v	0.4492753623188406	0.057971014492753624	0.1816846153846154
56	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	Renaissance	d	i	0.88	0.04	0.0842092105263158
57	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	Renaissance	d	v	0.5454545454545454	0.0	0.07197802197802199
58	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	Renaissance	d	i	0.5	0.0	0.021052631578947368
59	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	Renaissance	d	iv	1.5	0.0	0.06666666666666668
60	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	Renaissance	d	i	0.9090909090909091	0.0	0.03223684210526316
61	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	Renaissance	d	i	1.1578947368421053	0.0	0.06315657894736842
62	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	Renaissance	d	iv	1.0	0.5833333333333334	0.13333333333333336
63	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	Renaissance	d	i	1.1538461538461537	0.0	0.043859210526315785
64	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	Renaissance	d	v	0.4492753623188406	0.057971014492753624	0.1816846153846154
65	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	Renaissance	d	i	0.88	0.04	0.0842092105263158
66	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	Renaissance	d	v	0.5454545454545454	0.0	0.07197802197802199
67	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	Renaissance	d	i	0.5	0.0	0.021052631578947368
68	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	Renaissance	d	iv	1.5	0.0	0.06666666666666668
69	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	Renaissance	d	i	0.9090909090909091	0.0	0.03223684210526316
70	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	I	0.0	0.0	0.049
71	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	IV	0.044444444444444446	0.022222222222222223	0.13842941176470588
72	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	I	0.0	0.0	0.045
73	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	v	0.6153846153846154	0.0	0.08970588235294119
74	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	IV	0.25	0.0	0.050980392156862744
75	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	I	0.0	0.0	0.02
76	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	IV	0.0	0.0	0.0196078431372549
77	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	I	0.0	0.0	0.015000000000000003
78	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	v	0.7	0.1	0.09264411764705882
79	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	IV	0.0	0.0	0.029901960784313727
80	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	v	1.0	0.0	0.09264705882352942
81	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	I	0.1	0.0	0.07333
82	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	IV	0.0	0.0	0.04313627450980393
