	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	max_WL	min_WL	max_OL	min_OL	WLC	OLC	WL_5th_range	OL_5th_range	corpus_id	piece_id
1304	ABC	n03op18-3_03	1812.0509746203827	1799	Classical	Classical	D	minor	7	-7	6	-5	1.4736842105263157	0.7192982456140351	14	11	20	832
1306	ABC	n03op18-3_04	1812.0509746203827	1799	Classical	Classical	D	minor	7	-10	7	-5	2.782608695652174	0.6956521739130435	17	12	20	833
1307	ABC	n04op18-4_01	1812.0509746203827	1799	Classical	Classical	c	minor	6	-11	7	-6	1.6153846153846154	0.27972027972027974	17	13	20	834
1310	ABC	n04op18-4_02	1812.0509746203827	1799	Classical	Classical	C	minor	6	-5	6	-4	1.9333333333333333	0.5333333333333333	11	10	20	835
1311	ABC	n04op18-4_03	1812.0509746203827	1799	Classical	Classical	c	minor	6	-4	10	-3	1.8780487804878048	0.2073170731707317	10	13	20	836
1313	ABC	n04op18-4_04	1812.0509746203827	1799	Classical	Classical	c	minor	6	-8	6	-5	1.3345864661654134	0.6541353383458647	14	11	20	837
1316	ABC	n05op18-5_01	1812.0509746203827	1799	Classical	Classical	A	minor	6	-8	5	-2	1.59375	0.19791666666666666	14	7	20	838
1318	ABC	n05op18-5_02	1812.0509746203827	1799	Classical	Classical	A	minor	6	-4	5	-4	1.4545454545454546	0.2727272727272727	10	9	20	839
1320	ABC	n05op18-5_03	1812.0509746203827	1799	Classical	Classical	D	minor	5	-4	6	0	1.3333333333333333	0.4444444444444444	9	6	20	840
1322	ABC	n05op18-5_04	1812.0509746203827	1799	Classical	Classical	A	minor	6	-4	9	-5	1.375	1.71875	10	14	20	841
1324	ABC	n02op18-2_01	1812.0509746203827	1800	Classical	Extended tonality	G	minor	7	-5	9	-5	1.6796875	0.96875	12	14	20	842
1328	ABC	n02op18-2_04	1812.0509746203827	1800	Classical	Extended tonality	G	minor	6	-11	10	-6	3.504201680672269	1.495798319327731	17	16	20	845
1330	ABC	n06op18-6_01	1812.0509746203827	1800	Classical	Extended tonality	Bb	minor	6	-5	6	-4	1.1578947368421053	0.21052631578947367	11	10	20	846
1332	ABC	n06op18-6_02	1812.0509746203827	1800	Classical	Extended tonality	Eb	minor	6	-5	6	-5	1.1037735849056605	0.5754716981132075	11	11	20	847
1335	ABC	n06op18-6_04	1812.0509746203827	1800	Classical	Extended tonality	Bb	minor	7	-8	9	-6	2.1941747572815533	1.5533980582524272	15	15	20	849
1337	ABC	n07op59-1_01	1812.0509746203827	1806	Classical	Extended tonality	F	minor	5	-12	6	-5	1.8529411764705883	0.8823529411764706	17	11	20	850
1339	ABC	n07op59-1_02	1812.0509746203827	1806	Classical	Extended tonality	Bb	minor	7	-13	8	-11	1.4943820224719102	0.43820224719101125	20	19	20	851
1340	ABC	n07op59-1_03	1812.0509746203827	1806	Classical	Extended tonality	f	minor	6	-12	8	-7	1.5821325648414986	0.5677233429394812	18	15	20	852
1343	ABC	n07op59-1_04	1812.0509746203827	1806	Classical	Extended tonality	F	minor	6	-5	7	-6	1.5964912280701755	0.4868421052631579	11	13	20	853
1344	ABC	n08op59-2_01	1812.0509746203827	1806	Classical	Extended tonality	e	minor	6	-11	7	-10	1.8559322033898304	0.826271186440678	17	17	20	854
1347	ABC	n08op59-2_02	1812.0509746203827	1806	Classical	Extended tonality	E	minor	6	-3	6	-4	2.2	1.2	9	10	20	855
1348	ABC	n08op59-2_03	1812.0509746203827	1806	Classical	Extended tonality	e	minor	6	-8	5	-5	1.4186046511627908	0.32558139534883723	14	10	20	856
1350	ABC	n08op59-2_04	1812.0509746203827	1806	Classical	Extended tonality	e	minor	6	-12	6	-7	1.4433497536945812	0.23399014778325122	18	13	20	857
1353	ABC	n09op59-3_01	1812.0509746203827	1806	Classical	Extended tonality	C	minor	9	-12	12	-5	2.7719298245614037	2.206140350877193	21	17	20	858
1354	ABC	n09op59-3_02	1812.0509746203827	1806	Classical	Extended tonality	a	minor	7	-7	8	-5	1.9220055710306407	0.3398328690807799	14	13	20	859
1357	ABC	n09op59-3_03	1812.0509746203827	1806	Classical	Extended tonality	C	minor	6	-6	7	-4	1.1578947368421053	1.4473684210526316	12	11	20	860
1359	ABC	n09op59-3_04	1812.0509746203827	1806	Classical	Extended tonality	C	minor	8	-11	9	-15	2.335616438356164	0.9383561643835616	19	24	20	861
1361	ABC	n10op74_01	1812.0509746203827	1809	Classical	Extended tonality	Eb	minor	6	-3	6	-5	2.2857142857142856	2.2857142857142856	9	11	20	862
1363	ABC	n10op74_02	1812.0509746203827	1809	Classical	Extended tonality	Ab	minor	8	-11	10	-4	2.736842105263158	0.8157894736842105	19	14	20	863
1364	ABC	n10op74_03	1812.0509746203827	1809	Classical	Extended tonality	c	minor	6	-8	10	-4	1.5123674911660778	0.38515901060070673	14	14	20	864
1367	ABC	n10op74_04	1812.0509746203827	1809	Classical	Extended tonality	Eb	minor	6	-4	0	-3	1.6666666666666667	0.0	10	3	20	865
1368	ABC	n11op95_01	1812.0509746203827	1810	Classical	Extended tonality	f	minor	9	-8	6	-4	1.8055555555555556	0.26851851851851855	17	10	20	866
1371	ABC	n11op95_02	1812.0509746203827	1810	Classical	Extended tonality	D	minor	5	-5	5	-5	1.3333333333333333	0.6666666666666666	10	10	20	867
1372	ABC	n11op95_03	1812.0509746203827	1810	Classical	Extended tonality	f	minor	7	-6	6	-7	1.2724252491694352	0.12956810631229235	13	13	20	868
1374	ABC	n11op95_04	1812.0509746203827	1810	Classical	Extended tonality	f	minor	7	-7	10	-5	1.54251012145749	1.1983805668016194	14	15	20	869
1377	ABC	n12op127_01	1812.0509746203827	1824	Early Romantic	Extended tonality	Eb	minor	8	-11	8	-4	1.5746268656716418	0.417910447761194	19	12	20	870
1379	ABC	n12op127_02	1812.0509746203827	1824	Early Romantic	Extended tonality	Ab	minor	6	-4	6	-4	0.8181818181818182	0.8181818181818182	10	10	20	871
1381	ABC	n12op127_03	1812.0509746203827	1824	Early Romantic	Extended tonality	Eb	minor	6	-10	6	-5	1.4741379310344827	0.31896551724137934	16	11	20	872
1383	ABC	n12op127_04	1812.0509746203827	1824	Early Romantic	Extended tonality	Eb	minor	6	-8	6	-11	1.7017543859649122	0.8947368421052632	14	17	20	873
1384	ABC	n15op132_01	1812.0509746203827	1825	Early Romantic	Extended tonality	a	minor	9	-11	6	-6	1.6620209059233448	0.2264808362369338	20	12	20	874
1387	ABC	n15op132_02	1812.0509746203827	1825	Early Romantic	Extended tonality	A	minor	5	-4	5	-3	1.1081081081081081	0.08108108108108109	9	8	20	875
1390	ABC	n15op132_04	1812.0509746203827	1825	Early Romantic	Extended tonality	A	minor	6	-5	6	-5	1.6451612903225807	0.3548387096774194	11	11	20	877
1391	ABC	n15op132_05	1812.0509746203827	1825	Early Romantic	Extended tonality	a	minor	7	-11	10	-5	1.4416243654822336	0.4289340101522843	18	15	20	878
1394	ABC	n13op130_01	1812.0509746203827	1826	Early Romantic	Extended tonality	Bb	minor	5	-10	5	-4	1.3529411764705883	0.2647058823529412	15	9	20	879
1395	ABC	n13op130_02	1812.0509746203827	1826	Early Romantic	Extended tonality	bb	minor	5	-5	5	-4	0.71	0.36	10	9	20	880
1398	ABC	n13op130_03	1812.0509746203827	1826	Early Romantic	Extended tonality	Db	minor	6	-4	8	-7	1.5	0.75	10	15	20	881
1400	ABC	n13op130_04	1812.0509746203827	1826	Early Romantic	Extended tonality	G	minor	6	-4	4	-4	1.5121951219512195	0.04878048780487805	10	8	20	882
1402	ABC	n13op130_05	1812.0509746203827	1826	Early Romantic	Extended tonality	Eb	minor	6	-4	5	-6	0.9130434782608695	0.6086956521739131	10	11	20	883
1404	ABC	n13op130_06	1812.0509746203827	1826	Early Romantic	Extended tonality	Bb	minor	6	-4	6	-5	1.7647058823529411	1.0	10	11	20	884
1405	ABC	n14op131_01	1812.0509746203827	1826	Early Romantic	Extended tonality	c#	minor	8	-11	11	-7	1.617801047120419	0.743455497382199	19	18	20	885
1408	ABC	n14op131_02	1812.0509746203827	1826	Early Romantic	Extended tonality	D	minor	6	-11	5	-4	1.6590909090909092	0.5227272727272727	17	9	20	886
1409	ABC	n14op131_03	1812.0509746203827	1826	Early Romantic	Extended tonality	b	minor	5	-7	3	-3	1.5	0.07142857142857142	12	6	20	887
1413	ABC	n14op131_05	1812.0509746203827	1826	Early Romantic	Extended tonality	E	minor	5	-3	0	-3	0.7	0.0	8	3	20	889
1414	ABC	n14op131_06	1812.0509746203827	1826	Early Romantic	Extended tonality	g#	minor	6	-5	3	-7	0.9705882352941176	0.058823529411764705	11	10	20	890
1415	ABC	n14op131_07	1812.0509746203827	1826	Early Romantic	Extended tonality	c#	minor	8	-11	5	-8	1.5989445910290236	0.18997361477572558	19	13	20	891
1418	ABC	n16op135_01	1812.0509746203827	1826	Early Romantic	Extended tonality	F	minor	5	-11	7	-4	1.35	0.5	16	11	20	892
1420	ABC	n16op135_02	1812.0509746203827	1826	Early Romantic	Extended tonality	F	minor	5	-3	6	-3	2.5	1.3333333333333333	8	9	20	893
1422	ABC	n16op135_03	1812.0509746203827	1826	Early Romantic	Extended tonality	Db	minor	7	-4	9	-1	1.8928571428571428	0.35714285714285715	11	10	20	894
1423	ABC	n16op135_04	1812.0509746203827	1826	Early Romantic	Extended tonality	f	minor	5	-11	10	-4	1.5735294117647058	0.3137254901960784	16	14	20	895
1425	schubert_winterreise	n01	1828.0	1828	Early Romantic	Extended tonality	d	minor	5	-4	3	-4	0.7297297297297297	0.02702702702702703	9	7	21	896
1427	schubert_winterreise	n02	1828.0	1828	Early Romantic	Extended tonality	a	minor	6	-4	6	-5	1.5714285714285714	0.5714285714285714	10	11	21	897
1429	schubert_winterreise	n03	1828.0	1828	Early Romantic	Extended tonality	f	minor	6	-7	5	-4	1.4264705882352942	0.058823529411764705	13	9	21	898
1431	schubert_winterreise	n04	1828.0	1828	Early Romantic	Extended tonality	c	minor	7	-12	10	-5	1.9341317365269461	0.3592814371257485	19	15	21	899
1434	schubert_winterreise	n05	1828.0	1828	Early Romantic	Extended tonality	E	minor	5	-4	2	-4	1.173913043478261	0.0	9	6	21	900
1435	schubert_winterreise	n06	1828.0	1828	Early Romantic	Extended tonality	f#	minor	5	-5	3	-3	1.3333333333333333	0.030303030303030304	10	6	21	901
1437	schubert_winterreise	n07	1828.0	1828	Early Romantic	Extended tonality	e	minor	10	-6	7	-7	2.0869565217391304	0.14782608695652175	16	14	21	902
1439	schubert_winterreise	n08	1828.0	1828	Early Romantic	Extended tonality	g	minor	6	-4	10	-2	1.6	0.08421052631578947	10	12	21	903
1441	schubert_winterreise	n09	1828.0	1828	Early Romantic	Extended tonality	b	minor	5	-6	4	-4	1.2638888888888888	0.08333333333333333	11	8	21	904
1442	schubert_winterreise	n10	1828.0	1828	Early Romantic	Extended tonality	c	minor	6	-12	5	-5	1.438095238095238	0.11428571428571428	18	10	21	905
1444	schubert_winterreise	n11	1828.0	1828	Early Romantic	Extended tonality	A	minor	7	-10	4	-3	1.793103448275862	0.06896551724137931	17	7	21	906
1445	schubert_winterreise	n12	1828.0	1828	Early Romantic	Extended tonality	b	minor	6	-8	6	-4	1.5731707317073171	0.12195121951219512	14	10	21	907
1447	schubert_winterreise	n14	1828.0	1828	Early Romantic	Extended tonality	c	minor	6	-4	3	-4	1.5769230769230769	0.038461538461538464	10	7	21	909
1449	schubert_winterreise	n15	1828.0	1828	Early Romantic	Extended tonality	c	minor	8	-12	5	-5	1.6013986013986015	0.03496503496503497	20	10	21	910
1452	schubert_winterreise	n16	1828.0	1828	Early Romantic	Extended tonality	Eb	minor	6	-4	2	-4	2.121212121212121	0.0	10	6	21	911
1454	schubert_winterreise	n18	1828.0	1828	Early Romantic	Extended tonality	d	minor	6	-5	5	-4	2.7333333333333334	0.2	11	9	21	913
1457	schubert_winterreise	n20	1828.0	1828	Early Romantic	Extended tonality	g	minor	7	-7	3	-6	1.3776223776223777	0.03496503496503497	14	9	21	915
1460	schubert_winterreise	n22	1828.0	1828	Early Romantic	Extended tonality	a	minor	6	-4	6	-3	1.5	0.5384615384615384	10	9	21	917
1463	schubert_winterreise	n23	1828.0	1828	Early Romantic	Extended tonality	A	minor	5	-5	5	-1	1.3478260869565217	0.13043478260869565	10	6	21	918
1464	schubert_winterreise	n24	1828.0	1828	Early Romantic	Extended tonality	a	minor	5	-4	6	-4	1.481012658227848	0.16455696202531644	9	10	21	919
1466	mendelssohn_quartets	02op13a	1835.8707229487093	1827	Early Romantic	Extended tonality	A	minor	11	-6	7	-6	1.4262734584450403	0.1863270777479893	17	13	22	920
1468	mendelssohn_quartets	02op13b	1835.8707229487093	1827	Early Romantic	Extended tonality	F	minor	8	-12	7	-6	1.5412087912087913	0.23901098901098902	20	13	22	921
1469	mendelssohn_quartets	02op13c	1835.8707229487093	1827	Early Romantic	Extended tonality	a	minor	6	-4	3	-6	0.9028571428571428	0.24571428571428572	10	9	22	922
1471	mendelssohn_quartets	02op13d	1835.8707229487093	1827	Early Romantic	Extended tonality	a	minor	7	-12	7	-7	1.38544474393531	0.18733153638814015	19	14	22	923
1474	mendelssohn_quartets	01op12a	1835.8707229487093	1829	Early Romantic	Extended tonality	Eb	minor	5	-5	2	-6	1.2717391304347827	0.03260869565217391	10	8	22	924
1475	mendelssohn_quartets	01op12b	1835.8707229487093	1829	Early Romantic	Extended tonality	g	minor	7	-5	5	-5	1.3080568720379147	0.04739336492890995	12	10	22	925
1478	mendelssohn_quartets	01op12d	1835.8707229487093	1829	Early Romantic	Extended tonality	c	minor	6	-7	8	-5	1.198542805100182	0.2568306010928962	13	13	22	927
1480	mendelssohn_quartets	04op44,2a	1835.8707229487093	1837	Early Romantic	Extended tonality	e	minor	6	-12	6	-6	1.3513097072419107	0.10477657935285054	18	12	22	928
1483	mendelssohn_quartets	04op44,2b	1835.8707229487093	1837	Early Romantic	Extended tonality	E	minor	11	-5	6	-5	1.0726643598615917	0.058823529411764705	16	11	22	929
1485	mendelssohn_quartets	04op44,2d	1835.8707229487093	1837	Early Romantic	Extended tonality	e	minor	6	-9	6	-6	1.1787941787941787	0.19126819126819128	15	12	22	931
1489	mendelssohn_quartets	03op44,1b	1835.8707229487093	1838	Early Romantic	Extended tonality	D	minor	7	-12	7	-6	1.704	0.792	19	13	22	933
1490	mendelssohn_quartets	03op44,1c	1835.8707229487093	1838	Early Romantic	Extended tonality	b	minor	6	-7	7	-5	1.5099150141643058	0.39943342776203966	13	12	22	934
1494	mendelssohn_quartets	05op44,3b	1835.8707229487093	1838	Early Romantic	Extended tonality	c	minor	7	-8	6	-5	1.4881889763779528	0.1984251968503937	15	11	22	937
1497	mendelssohn_quartets	06op80a	1835.8707229487093	1847	Early Romantic	Extended tonality	f	minor	9	-12	6	-5	1.5368663594470047	0.18433179723502305	21	11	22	940
1499	mendelssohn_quartets	06op80b	1835.8707229487093	1847	Early Romantic	Extended tonality	f	minor	7	-12	10	-5	1.8224852071005917	0.5562130177514792	19	15	22	941
1501	mendelssohn_quartets	06op80d	1835.8707229487093	1847	Early Romantic	Extended tonality	f	minor	7	-12	7	-5	1.7406340057636887	0.2737752161383285	19	12	22	943
1504	chopin_mazurkas	BI16-1	1838.2307692307693	1826	Early Romantic	Extended tonality	G	minor	6	-3	3	-2	3.6666666666666665	0.3333333333333333	9	5	23	944
1506	chopin_mazurkas	BI16-2	1838.2307692307693	1826	Early Romantic	Extended tonality	Bb	minor	5	-4	6	-2	0.8571428571428571	0.5714285714285714	9	8	23	945
1507	chopin_mazurkas	BI18op68-2	1838.2307692307693	1827	Early Romantic	Extended tonality	a	minor	6	-4	0	-2	2.075	0.0	10	2	23	946
1510	chopin_mazurkas	BI34op68-3	1838.2307692307693	1830	Early Romantic	Extended tonality	F	minor	6	-3	3	0	2.25	0.125	9	3	23	947
1512	chopin_mazurkas	BI60-1op06-1	1838.2307692307693	1832	Early Romantic	Extended tonality	f#	minor	6	-9	5	-4	1.6108374384236452	0.014778325123152709	15	9	23	949
1513	chopin_mazurkas	BI60-2op06-2	1838.2307692307693	1832	Early Romantic	Extended tonality	c#	minor	6	-4	7	-4	2.0588235294117645	0.38823529411764707	10	11	23	950
1516	chopin_mazurkas	BI60-4op06-4	1838.2307692307693	1832	Early Romantic	Extended tonality	eb	minor	5	-5	1	-4	1.2461538461538462	0.0	10	5	23	952
1518	chopin_mazurkas	BI61-2op07-2	1838.2307692307693	1832	Early Romantic	Extended tonality	a	minor	7	-7	6	-5	1.6222222222222222	0.5111111111111111	14	11	23	954
1520	chopin_mazurkas	BI61-3op07-3	1838.2307692307693	1832	Early Romantic	Extended tonality	f	minor	6	-4	5	-4	1.232	0.048	10	9	23	955
1527	chopin_mazurkas	BI77-2op17-2	1838.2307692307693	1833	Early Romantic	Extended tonality	e	minor	7	-4	6	-6	1.6333333333333333	0.24444444444444444	11	12	23	961
1530	chopin_mazurkas	BI77-4op17-4	1838.2307692307693	1833	Early Romantic	Extended tonality	a	minor	7	-7	6	-7	1.7486338797814207	0.40437158469945356	14	13	23	963
1532	chopin_mazurkas	BI89-1op24-1	1838.2307692307693	1833	Early Romantic	Extended tonality	g	minor	6	-4	6	-4	2.022222222222222	0.4444444444444444	10	10	23	964
1536	chopin_mazurkas	BI89-4op24-4	1838.2307692307693	1833	Early Romantic	Extended tonality	bb	minor	10	-7	10	-5	2.3469387755102042	0.28061224489795916	17	15	23	967
1539	chopin_mazurkas	BI85	1838.2307692307693	1834	Early Romantic	Extended tonality	Ab	minor	5	-3	2	-3	1.5	0.0	8	5	23	968
1542	chopin_mazurkas	BI105-2op30-2	1838.2307692307693	1837	Early Romantic	Extended tonality	b	minor	7	-7	5	-4	1.575221238938053	0.37168141592920356	14	9	23	971
1544	chopin_mazurkas	BI105-3op30-3	1838.2307692307693	1837	Early Romantic	Extended tonality	Db	minor	6	-6	5	-3	2.1875	0.09375	12	8	23	972
1545	chopin_mazurkas	BI105-4op30-4	1838.2307692307693	1837	Early Romantic	Extended tonality	c#	minor	6	-12	8	-14	1.9751552795031055	1.1987577639751552	18	22	23	973
1547	chopin_mazurkas	BI115-1op33-1	1838.2307692307693	1838	Early Romantic	Extended tonality	g#	minor	6	-4	2	-6	1.35	0.05	10	8	23	974
1551	chopin_mazurkas	BI115-4op33-4	1838.2307692307693	1838	Early Romantic	Extended tonality	b	minor	6	-6	2	-6	1.6832579185520362	0.09049773755656108	12	8	23	977
1553	chopin_mazurkas	BI126-3op41-1	1838.2307692307693	1838	Early Romantic	Extended tonality	c#	minor	8	-6	9	-8	2.3190476190476192	1.2047619047619047	14	17	23	978
1555	chopin_mazurkas	BI122op41-2	1838.2307692307693	1839	Early Romantic	Extended tonality	e	minor	5	-5	5	0	1.123076923076923	0.3230769230769231	10	5	23	979
1558	chopin_mazurkas	BI126-1op41-4	1838.2307692307693	1839	Early Romantic	Extended tonality	Ab	minor	5	-8	9	-5	2.0285714285714285	1.3142857142857143	13	14	23	980
1560	chopin_mazurkas	BI134	1838.2307692307693	1840	Early Romantic	Extended tonality	a	minor	6	-4	2	-4	0.89	0.0	10	6	23	982
1562	chopin_mazurkas	BI140	1838.2307692307693	1841	Early Romantic	Extended tonality	a	minor	6	-4	7	-4	1.7289719626168225	0.2803738317757009	10	11	23	983
1565	chopin_mazurkas	BI145-1op50-1	1838.2307692307693	1842	Early Romantic	Extended tonality	G	minor	6	-4	6	-4	1.0	0.5	10	10	23	984
1567	chopin_mazurkas	BI145-2op50-2	1838.2307692307693	1842	Early Romantic	Extended tonality	Ab	minor	6	-4	6	-3	2.15	1.1	10	9	23	985
1568	chopin_mazurkas	BI145-3op50-3	1838.2307692307693	1842	Early Romantic	Extended tonality	c#	minor	6	-12	7	-7	2.6910569105691056	0.3902439024390244	18	14	23	986
1572	chopin_mazurkas	BI153-2op56-2	1838.2307692307693	1844	Early Romantic	Extended tonality	C	minor	6	-4	5	-4	1.7826086956521738	0.43478260869565216	10	9	23	988
1573	chopin_mazurkas	BI153-3op56-3	1838.2307692307693	1844	Early Romantic	Extended tonality	c	minor	12	-12	8	-5	2.796774193548387	0.22580645161290322	24	13	23	989
1575	chopin_mazurkas	BI157-1op59-1	1838.2307692307693	1845	Early Romantic	Extended tonality	a	minor	12	-7	10	-7	2.450980392156863	0.9558823529411765	19	17	23	990
1578	chopin_mazurkas	BI157-3op59-3	1838.2307692307693	1845	Early Romantic	Extended tonality	f#	minor	8	-7	7	-7	1.4916201117318435	0.3743016759776536	15	14	23	992
1581	chopin_mazurkas	BI162-2op63-2	1838.2307692307693	1846	Early Romantic	Extended tonality	f	minor	5	-5	7	-10	1.1538461538461537	1.2115384615384615	10	17	23	994
1583	chopin_mazurkas	BI162-3op63-3	1838.2307692307693	1846	Early Romantic	Extended tonality	c#	minor	6	-5	7	-6	1.691358024691358	0.5679012345679012	11	13	23	995
1585	chopin_mazurkas	BI163op67-4	1838.2307692307693	1846	Early Romantic	Extended tonality	a	minor	6	-4	6	-6	1.4470588235294117	1.1294117647058823	10	12	23	996
1587	chopin_mazurkas	BI168op68-4	1838.2307692307693	1846	Early Romantic	Extended tonality	f	minor	9	-9	11	-7	3.35	2.4	18	18	23	997
1588	chopin_mazurkas	BI167op67-2	1838.2307692307693	1849	Early Romantic	Extended tonality	g	minor	5	-4	6	-5	0.7142857142857143	0.14285714285714285	9	11	23	998
1592	schumann_kinderszenen	n03	1839.0	1839	Early Romantic	Extended tonality	b	minor	5	-4	7	-4	0.6206896551724138	0.8275862068965517	9	11	24	898
1598	schumann_kinderszenen	n07	1839.0	1839	Early Romantic	Extended tonality	F	minor	5	-4	2	-3	1.2	0.0	9	5	24	902
1601	schumann_kinderszenen	n09	1839.0	1839	Early Romantic	Extended tonality	C	minor	5	-5	5	-1	1.3333333333333333	0.3333333333333333	10	6	24	904
1602	schumann_kinderszenen	n10	1839.0	1839	Early Romantic	Extended tonality	g#	minor	6	-7	5	-3	1.375	0.075	13	8	24	905
1604	schumann_kinderszenen	n11	1839.0	1839	Early Romantic	Extended tonality	e	minor	6	-5	2	-6	1.575	0.25	11	8	24	906
1606	schumann_kinderszenen	n12	1839.0	1839	Early Romantic	Extended tonality	e	minor	5	-4	0	-4	1.064516129032258	0.0	9	4	24	907
1609	schumann_kinderszenen	n13	1839.0	1839	Early Romantic	Extended tonality	G	minor	6	-4	10	0	1.9130434782608696	0.34782608695652173	10	10	24	908
1610	schumann_liederkreis	op39n01	1840.0	1840	Early Romantic	Extended tonality	f#	minor	6	-5	2	-5	1.8157894736842106	0.07894736842105263	11	7	25	999
1613	schumann_liederkreis	op39n02	1840.0	1840	Early Romantic	Extended tonality	A	minor	5	-3	5	-1	1.0	1.0	8	6	25	1000
1615	schumann_liederkreis	op39n03	1840.0	1840	Early Romantic	Extended tonality	E	minor	6	-6	4	-4	1.15	0.15	12	8	25	1001
1619	schumann_liederkreis	op39n06	1840.0	1840	Early Romantic	Extended tonality	B	minor	5	-3	2	0	1.0	0.0	8	2	25	1004
1620	schumann_liederkreis	op39n07	1840.0	1840	Early Romantic	Extended tonality	e	minor	6	-4	3	0	0.8333333333333334	0.023809523809523808	10	3	25	1005
1622	schumann_liederkreis	op39n08	1840.0	1840	Early Romantic	Extended tonality	a	minor	5	-7	4	-5	0.8648648648648649	0.22972972972972974	12	9	25	1006
1625	schumann_liederkreis	op39n10	1840.0	1840	Early Romantic	Extended tonality	e	minor	11	-5	6	-5	1.4351851851851851	0.2222222222222222	16	11	25	1008
1627	schumann_liederkreis	op39n11	1840.0	1840	Early Romantic	Extended tonality	A	minor	5	-4	5	-6	0.7272727272727273	0.45454545454545453	9	11	25	1009
1633	c_schumann_lieder	op13no2 Sie liebten sich beide	1847.2645259938838	1843	Early Romantic	Extended tonality	g	minor	6	-5	1	-4	1.5185185185185186	0.0	11	5	26	1015
1638	c_schumann_lieder	op23no4 Auf einem grunen Hugel	1847.2645259938838	1853	Early Romantic	Extended tonality	a	minor	6	-6	1	-4	1.0555555555555556	0.0	12	5	26	1020
1642	liszt_pelerinage	160.01_Chapelle_de_Guillaume_Tell	1857.079674150606	1855	Early Romantic	Extended tonality	C	minor	5	-4	2	-5	1.95	0.05	9	7	27	1023
1646	liszt_pelerinage	160.05_Orage	1857.079674150606	1855	Early Romantic	Extended tonality	c	minor	9	-6	11	-7	2.1861702127659575	1.9308510638297873	15	18	27	1027
1648	liszt_pelerinage	160.06_Vallee_dObermann	1857.079674150606	1855	Early Romantic	Extended tonality	e	minor	6	-11	8	-5	1.72	0.228	17	13	27	1028
1651	liszt_pelerinage	160.08_Le_Mal_du_Pays_(Heimweh)	1857.079674150606	1855	Early Romantic	Extended tonality	e	minor	6	-4	4	-4	1.6994535519125684	0.04371584699453552	10	8	27	1030
1654	liszt_pelerinage	160.09_Les_Cloches_de_Geneve_(Nocturne)	1857.079674150606	1855	Early Romantic	Extended tonality	B	minor	7	-13	6	-12	2.4411764705882355	1.1176470588235294	20	18	27	1031
1656	liszt_pelerinage	161.01_Sposalizio	1857.079674150606	1858	Early Romantic	Extended tonality	E	minor	6	-4	5	-3	1.75	0.75	10	8	27	1032
1657	liszt_pelerinage	161.02_Il_Pensieroso	1857.079674150606	1858	Early Romantic	Extended tonality	c#	minor	6	-12	6	-13	3.927710843373494	1.1566265060240963	18	19	27	1033
1659	liszt_pelerinage	161.03_Canzonetta_del_Salvator_Rosa	1857.079674150606	1858	Early Romantic	Extended tonality	A	minor	5	-5	4	-4	1.3529411764705883	0.023529411764705882	10	8	27	1034
1661	liszt_pelerinage	161.04_Sonetto_47_del_Petrarca	1857.079674150606	1858	Early Romantic	Extended tonality	Db	minor	6	-4	18	-5	1.8275862068965518	19.17241379310345	10	23	27	1035
1665	liszt_pelerinage	161.07_Apres_une_lecture_du_Dante	1857.079674150606	1858	Early Romantic	Extended tonality	D	minor	10	-10	17	-9	2.904494382022472	4.601123595505618	20	26	27	1038
1667	liszt_pelerinage	162.02_Canzone	1857.079674150606	1861	Early Romantic	Extended tonality	eb	minor	6	-5	6	-4	2.7755102040816326	0.25510204081632654	11	10	27	1040
1668	liszt_pelerinage	162.03_Tarantella_da_Guillaume_Louis_Cottrau._Presto_e_canzone_napolitana	1857.079674150606	1861	Early Romantic	Extended tonality	g	minor	6	-5	7	-5	1.4315068493150684	0.3116438356164384	11	12	27	1041
1670	wagner_overtures	WWV090_Tristan_01_Vorspiel-Prelude_Ricordi1888Floridia	1864.990230286113	1859	Early Romantic	Extended tonality	a	minor	12	-11	10	-10	3.313953488372093	0.8178294573643411	23	20	28	1042
1674	tchaikovsky_seasons	op37a01	1876.0	1876	Late Romantic	Extended tonality	A	minor	6	-5	10	-4	1.75	1.6944444444444444	11	14	29	1044
1676	tchaikovsky_seasons	op37a02	1876.0	1876	Late Romantic	Extended tonality	D	minor	6	-4	10	-5	1.5087719298245614	0.16666666666666666	10	15	29	1045
1677	tchaikovsky_seasons	op37a03	1876.0	1876	Late Romantic	Extended tonality	g	minor	6	-4	7	-4	1.2783505154639174	0.7319587628865979	10	11	29	1046
1680	tchaikovsky_seasons	op37a04	1876.0	1876	Late Romantic	Extended tonality	Bb	minor	7	-6	7	-4	1.6144578313253013	0.8072289156626506	13	11	29	1047
1682	tchaikovsky_seasons	op37a05	1876.0	1876	Late Romantic	Extended tonality	G	minor	6	-5	3	-5	1.2045454545454546	0.13636363636363635	11	8	29	1048
1683	tchaikovsky_seasons	op37a06	1876.0	1876	Late Romantic	Extended tonality	g	minor	7	-11	6	-4	1.5930232558139534	0.23255813953488372	18	10	29	1049
1686	tchaikovsky_seasons	op37a07	1876.0	1876	Late Romantic	Extended tonality	Eb	minor	6	-4	2	-3	1.71875	0.0	10	5	29	1050
