	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	max_WL	min_WL	max_OL	min_OL	WLC	OLC	WL_5th_range	OL_5th_range	corpus_id	piece_id	WLC_percentage	OLC_percentage
90	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	1635.0	1635	Renaissance	pre-Baroque	C	major	14	-4	7	-2	0.655367231638418	0.05649717514124294	18	9	4	65	0.9206349206349206	0.07936507936507936
103	frescobaldi_fiori_musicali	12.46_Bergamasca	1635.0	1635	Renaissance	pre-Baroque	G	major	7	-4	6	-2	0.3179611650485437	0.11165048543689321	11	8	4	77	0.7401129943502824	0.2598870056497175
104	frescobaldi_fiori_musicali	12.47_Capriccio_sopra_la_Girolmeta	1635.0	1635	Renaissance	pre-Baroque	G	major	8	-3	6	-2	0.22311827956989247	0.12634408602150538	11	8	4	78	0.6384615384615384	0.36153846153846153
106	kleine_geistliche_konzerte	op08n02swv283_Bringt_her_dem_Herren	1637.9308224442736	1636	Renaissance	pre-Baroque	C	major	8	-2	5	-1	0.24431818181818182	0.0	10	6	5	80	1.0	0.0
109	kleine_geistliche_konzerte	op08n05swv286_Der_Herr_ist_gross	1637.9308224442736	1636	Renaissance	pre-Baroque	G	major	7	-2	5	-2	0.34532374100719426	0.04316546762589928	9	7	5	83	0.8888888888888888	0.1111111111111111
111	kleine_geistliche_konzerte	op08n07swv288_Ihr_Heiligen,_lobsinget_dem_Herren	1637.9308224442736	1636	Renaissance	pre-Baroque	D	major	7	-3	6	-2	0.3724137931034483	0.05517241379310345	10	8	5	85	0.8709677419354839	0.12903225806451613
114	kleine_geistliche_konzerte	op08n10swv291_Schaffe_in_mir,_Gott,_ein_reines_Herz	1637.9308224442736	1636	Renaissance	pre-Baroque	G	major	7	-3	6	-3	0.3557692307692308	0.038461538461538464	10	9	5	88	0.9024390243902438	0.09756097560975609
115	kleine_geistliche_konzerte	op08n11swv292_Der_Herr_schauet_vom_Himmel_auf_der_Menschen_Kinder	1637.9308224442736	1636	Renaissance	pre-Baroque	G	major	7	-3	5	-2	0.3333333333333333	0.05185185185185185	10	7	5	89	0.8653846153846153	0.1346153846153846
116	kleine_geistliche_konzerte	op08n12swv293_Lobet_den_Herren,_der_zu_Zion_wohnet	1637.9308224442736	1636	Renaissance	pre-Baroque	G	major	7	-3	4	-2	0.291970802919708	0.051094890510948905	10	6	5	90	0.851063829787234	0.14893617021276598
117	kleine_geistliche_konzerte	op08n13swv294_Eins_bitte_ich_vom_Herren	1637.9308224442736	1636	Renaissance	pre-Baroque	F	major	8	-2	5	-2	0.2	0.012121212121212121	10	7	5	91	0.9428571428571428	0.05714285714285714
124	kleine_geistliche_konzerte	op08n21swv302_Ein_Kind_ist_uns_geboren	1637.9308224442736	1636	Renaissance	pre-Baroque	F	major	8	-5	6	-1	0.33695652173913043	0.010869565217391304	13	7	5	98	0.96875	0.03125
126	kleine_geistliche_konzerte	op08n23swv304_Siehe,_mein_Fürsprecher_im_Himmel	1637.9308224442736	1636	Renaissance	pre-Baroque	G	major	9	-3	7	-3	0.5813953488372093	0.06976744186046512	12	10	5	100	0.8928571428571428	0.10714285714285714
128	kleine_geistliche_konzerte	op09n01swv306_Ich_will_den_Herren_loben_allezeit	1637.9308224442736	1639	Renaissance	pre-Baroque	F	major	9	-2	5	-1	0.42201834862385323	0.0	11	6	5	102	1.0	0.0
141	kleine_geistliche_konzerte	op09n14swv319_Ich_beuge_meine_Knie_gegen_dem_Vater	1637.9308224442736	1639	Renaissance	pre-Baroque	G	major	7	-3	5	-2	0.30697674418604654	0.04186046511627907	10	7	5	115	0.88	0.12
142	kleine_geistliche_konzerte	op09n15swv320_Ich_bin_jung_gewesen_und_bin_alt_worden	1637.9308224442736	1639	Renaissance	pre-Baroque	F	major	8	-2	5	-2	0.38666666666666666	0.013333333333333334	10	7	5	116	0.9666666666666667	0.03333333333333334
149	kleine_geistliche_konzerte	op09n22swv327_Allein_Gott_in_der_Höh	1637.9308224442736	1639	Renaissance	pre-Baroque	G	major	7	-2	7	-2	0.15056818181818182	0.03977272727272727	9	9	5	123	0.791044776119403	0.208955223880597
150	kleine_geistliche_konzerte	op09n23swv328_Veni,_Sancte_Spiritus	1637.9308224442736	1639	Renaissance	pre-Baroque	G	major	8	-3	7	-4	0.4092664092664093	0.15057915057915058	11	11	5	124	0.7310344827586207	0.26896551724137935
154	kleine_geistliche_konzerte	op09n27swv332_Jubilate_Deo_omnis_terra	1637.9308224442736	1639	Renaissance	pre-Baroque	F	major	8	-3	8	-1	0.34472934472934474	0.019943019943019943	11	9	5	128	0.9453125	0.05468749999999999
155	kleine_geistliche_konzerte	op09n28swv333_Sei_gegrüßet,_Maria	1637.9308224442736	1639	Renaissance	pre-Baroque	G	major	8	-3	6	-4	0.4973404255319149	0.0425531914893617	11	10	5	129	0.9211822660098522	0.07881773399014778
156	kleine_geistliche_konzerte	op09n29swv334_Ave_Maria,_qualis_est	1637.9308224442736	1639	Renaissance	pre-Baroque	G	major	8	-3	6	-4	0.4920212765957447	0.0398936170212766	11	10	5	130	0.925	0.07500000000000001
160	corelli	op01n01a	1687.6864702945581	1681	Baroque	Baroque	F	major	6	-1	6	-1	0.09433962264150944	0.03773584905660377	7	7	6	134	0.7142857142857143	0.2857142857142857
