	Unnamed: 0	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	RC	CTC	NCTC	CTD	NCTD	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id
739	739	beethoven_piano_sonatas	08-3	1803.6208098935329	1798.0	c	i	7	-5	7	-5	10	-5	0.3296398891966759	2.5	5.666666666666667	2.25	2.0	12	12	15	19	740
740	740	beethoven_piano_sonatas	09-1	1803.6208098935329	1798.0	E	I	7	-4	8	-5	9	-5	0.1217391304347826	2.5	3.625	1.5	2.8	11	13	14	19	741
741	741	beethoven_piano_sonatas	09-2	1803.6208098935329	1798.0	e	i	6	-4	9	-5	9	-4	0.4324324324324324	2.5	2.5	1.5	1.3333333333333333	10	14	13	19	742
742	742	beethoven_piano_sonatas	09-3	1803.6208098935329	1798.0	E	I	8	-6	9	-6	11	-6	0.1478599221789883	3.4	4.333333333333333	0.0	3.0	14	15	17	19	743
743	743	beethoven_piano_sonatas	10-1	1803.6208098935329	1799.0	G	I	6	-5	9	-4	10	-5	0.1396011396011396	2.5	5.111111111111111	1.0	3.142857142857143	11	13	15	19	744
744	744	beethoven_piano_sonatas	10-2	1803.6208098935329	1799.0	C	I	8	-1	9	-4	9	-2	0.0981012658227848	2.5	2.5	2.25	1.5	9	13	11	19	745
745	745	beethoven_piano_sonatas	10-3	1803.6208098935329	1799.0	G	I	8	-2	9	-4	9	-3	0.1645569620253164	2.2	2.5	0.0	2.0	10	13	12	19	746
746	746	beethoven_piano_sonatas	16-1	1803.6208098935329	1802.0	G	I	10	-4	9	-4	10	-4	0.1966666666666666	2.2	4.0	1.5	3.75	14	13	14	19	747
747	747	beethoven_piano_sonatas	16-2	1803.6208098935329	1802.0	C	I	7	-5	13	-9	10	-5	0.2982456140350877	4.444444444444445	5.727272727272728	4.4	4.25	12	22	15	19	748
748	748	beethoven_piano_sonatas	16-3	1803.6208098935329	1802.0	G	I	9	-5	12	-6	10	-6	0.1289855072463768	4.6	3.625	0.0	1.75	14	18	16	19	749
749	749	beethoven_piano_sonatas	17-1	1803.6208098935329	1802.0	d	i	10	-5	9	-7	10	-7	0.4606413994169096	4.125	5.6	1.6666666666666667	3.0	15	16	17	19	750
750	750	beethoven_piano_sonatas	17-2	1803.6208098935329	1802.0	Bb	I	8	-1	10	-5	9	-5	0.0941704035874439	3.142857142857143	2.0	1.6666666666666667	1.5	9	15	14	19	751
751	751	beethoven_piano_sonatas	17-3	1803.6208098935329	1802.0	d	i	6	-8	7	-12	10	-8	0.2117903930131004	4.444444444444445	4.555555555555555	3.75	3.75	14	19	18	19	752
752	752	beethoven_piano_sonatas	18-1	1803.6208098935329	1802.0	Eb	I	9	-4	8	-5	10	-4	0.182509505703422	2.5	5.4	2.0	3.4285714285714284	13	13	14	19	753
753	753	beethoven_piano_sonatas	18-2	1803.6208098935329	1802.0	Ab	I	9	-2	9	-4	13	-4	0.2209737827715356	2.5	6.111111111111111	1.0	3.2	11	13	17	19	754
754	754	beethoven_piano_sonatas	18-3	1803.6208098935329	1802.0	Eb	I	8	-5	9	-4	9	-5	0.1025641025641025	2.2	2.6	1.5	2.333333333333333	13	13	14	19	755
755	755	beethoven_piano_sonatas	18-4	1803.6208098935329	1802.0	Eb	I	9	-5	13	-5	13	-5	0.2985074626865671	4.0	5.6	1.5	3.75	14	18	18	19	756
756	756	beethoven_piano_sonatas	21-1	1803.6208098935329	1804.0	C	I	9	-7	12	-14	10	-7	0.240983606557377	6.307692307692308	4.5	4.8	2.833333333333333	16	26	17	19	757
757	757	beethoven_piano_sonatas	21-2	1803.6208098935329	1804.0	F	I	11	-1	10	-4	11	-1	0.4024390243902439	3.0	3.0	1.0	1.5	12	14	12	19	758
758	758	beethoven_piano_sonatas	21-3	1803.6208098935329	1804.0	C	I	7	-5	9	-7	10	-7	0.1442176870748299	3.142857142857143	3.5	2.333333333333333	2.0	12	16	17	19	759
759	759	beethoven_piano_sonatas	23-1	1803.6208098935329	1805.0	f	i	8	-5	11	-6	10	-5	0.6515513126491647	4.571428571428571	3.142857142857143	2.6666666666666665	2.5	13	17	15	19	760
760	760	beethoven_piano_sonatas	23-2	1803.6208098935329	1805.0	Db	I	6	-1	6	-4	10	-1	0.0434782608695652	2.2	3.5	0.0	2.0	7	10	11	19	761
761	761	beethoven_piano_sonatas	23-3	1803.6208098935329	1805.0	f	i	6	-5	6	-5	7	-5	0.412987012987013	3.0	3.142857142857143	1.6666666666666667	2.5	11	11	12	19	762
762	762	beethoven_piano_sonatas	24-1	1803.6208098935329	1809.0	F#	I	8	-4	9	-4	9	-6	0.1328413284132841	2.2	3.5	0.0	3.0	12	13	15	19	763
763	763	beethoven_piano_sonatas	24-2	1803.6208098935329	1809.0	F#	I	6	-4	9	-6	10	-6	0.085173501577287	3.0	4.142857142857143	0.0	2.0	10	15	16	19	764
764	764	beethoven_piano_sonatas	26-1	1803.6208098935329	1810.0	Eb	I	9	-4	9	-12	9	-4	0.1842105263157894	5.2	2.5	3.8	1.3333333333333333	13	21	13	19	765
765	765	beethoven_piano_sonatas	26-2	1803.6208098935329	1810.0	Eb	I	9	-3	9	-9	10	-3	0.6532258064516129	4.5	4.0	4.75	1.5	12	18	13	19	766
766	766	beethoven_piano_sonatas	26-3	1803.6208098935329	1810.0	Eb	I	7	-4	9	-4	19	-5	0.0891719745222929	2.5	17.88235294117647	2.25	3.2	11	13	24	19	767
767	767	beethoven_piano_sonatas	30-1	1803.6208098935329	1820.0	E	I	10	-4	10	-5	10	-4	0.26	3.142857142857143	3.4285714285714284	1.6666666666666667	1.6666666666666667	14	15	14	19	768
768	768	beethoven_piano_sonatas	30-2	1803.6208098935329	1820.0	e	i	6	-5	6	-14	6	-7	0.3470031545741325	4.5	2.0	4.333333333333333	2.0	11	20	13	19	769
769	769	beethoven_piano_sonatas	30-3	1803.6208098935329	1820.0	E	I	10	-5	13	-9	10	-5	0.1863057324840764	4.888888888888889	3.625	3.571428571428572	2.0	15	22	15	19	770
770	770	beethoven_piano_sonatas	31-1	1803.6208098935329	1822.0	Ab	I	9	-5	9	-8	16	-4	0.191044776119403	3.571428571428572	11.333333333333334	1.5	3.571428571428572	14	17	20	19	771
771	771	beethoven_piano_sonatas	31-2	1803.6208098935329	1822.0	f	i	6	-4	6	-4	10	-4	0.3516483516483517	2.2	2.5	1.0	2.0	10	10	14	19	772
772	772	beethoven_piano_sonatas	31-3	1803.6208098935329	1822.0	Ab	I	10	-5	10	-5	13	-5	0.3442367601246106	3.142857142857143	6.777777777777778	1.5	2.25	15	15	18	19	773
773	773	beethoven_piano_sonatas	32-1	1803.6208098935329	1822.0	c	i	8	-6	8	-14	9	-7	0.4388111888111888	4.0	5.8	3.75	2.5	14	22	16	19	774
774	774	beethoven_piano_sonatas	32-2	1803.6208098935329	1822.0	C	I	9	-11	10	-10	11	-4	0.1058530510585305	4.875	6.083333333333333	2.25	4.777777777777778	20	20	15	19	775
823	823	ABC	n01op18-1_01	1812.0509746203827	1799.0	F	I	9	-4	9	-11	9	-5	0.3086734693877551	4.25	3.75	2.25	2.5	13	20	14	21	824
824	824	ABC	n01op18-1_02	1812.0509746203827	1799.0	d	i	6	-5	10	-5	12	-10	0.3587786259541984	2.2	5.833333333333333	2.5	4.333333333333333	11	15	22	21	825
825	825	ABC	n01op18-1_03	1812.0509746203827	1799.0	F	I	9	-8	9	-11	9	-4	0.2128712871287128	4.5	3.625	2.0	1.5	17	20	13	21	826
826	826	ABC	n01op18-1_04	1812.0509746203827	1799.0	F	I	8	-4	9	-11	11	-7	0.1043771043771043	4.714285714285714	6.416666666666667	4.333333333333333	5.2	12	20	18	21	827
827	827	ABC	n03op18-3_01	1812.0509746203827	1799.0	D	I	8	-4	11	-8	11	-5	0.1631578947368421	4.0	3.5	2.5	2.6666666666666665	12	19	16	21	828
828	828	ABC	n03op18-3_02	1812.0509746203827	1799.0	Bb	I	10	-9	8	-13	10	-6	0.3121827411167512	5.0	3.142857142857143	3.0	2.0	19	21	16	21	829
829	829	ABC	n03op18-3_03	1812.0509746203827	1799.0	D	I	9	-4	9	-9	9	-5	0.2625899280575539	4.166666666666667	3.0	1.6666666666666667	1.6666666666666667	13	18	14	21	830
830	830	ABC	n03op18-3_04	1812.0509746203827	1799.0	D	I	9	-10	12	-9	12	-5	0.2153024911032028	3.5	5.5	3.75	3.0	19	21	17	21	831
831	831	ABC	n04op18-4_01	1812.0509746203827	1799.0	c	i	8	-11	8	-10	10	-6	0.3049001814882032	3.857142857142857	3.4285714285714284	1.6666666666666667	2.5	19	18	16	21	832
832	832	ABC	n04op18-4_02	1812.0509746203827	1799.0	C	I	7	-4	9	-5	9	-4	0.125	2.0	3.75	2.333333333333333	3.4285714285714284	11	14	13	21	833
833	833	ABC	n04op18-4_03	1812.0509746203827	1799.0	c	i	8	-4	6	-4	11	-4	0.5347222222222222	2.2	6.428571428571429	1.6666666666666667	5.5	12	10	15	21	834
834	834	ABC	n04op18-4_04	1812.0509746203827	1799.0	c	i	7	-4	8	-8	10	-5	0.3089005235602094	2.5	4.111111111111111	2.0	2.0	11	16	15	21	835
835	835	ABC	n05op18-5_01	1812.0509746203827	1799.0	A	I	9	-5	9	-8	9	-5	0.175233644859813	3.0	2.0	1.5	1.5	14	17	14	21	836
836	836	ABC	n05op18-5_02	1812.0509746203827	1799.0	A	I	8	-1	6	-4	9	-4	0.0898203592814371	1.5	2.833333333333333	0.0	2.333333333333333	9	10	13	21	837
837	837	ABC	n05op18-5_03	1812.0509746203827	1799.0	D	I	8	-4	9	-4	9	-4	0.0663900414937759	2.2	2.5	0.0	2.0	12	13	13	21	838
838	838	ABC	n05op18-5_04	1812.0509746203827	1799.0	A	I	7	-4	8	-6	10	-5	0.0653710247349823	3.0	6.111111111111111	1.6666666666666667	3.0	11	14	15	21	839
839	839	ABC	n02op18-2_01	1812.0509746203827	1800.0	G	I	8	-4	8	-5	10	-5	0.179381443298969	3.0	5.909090909090909	1.0	2.0	12	13	15	21	840
840	840	ABC	n02op18-2_02	1812.0509746203827	1800.0	C	I	8	-1	9	-4	9	-5	0.0621468926553672	2.5	2.5	0.0	2.0	9	13	14	21	841
841	841	ABC	n02op18-2_03	1812.0509746203827	1800.0	G	I	8	-1	9	-4	10	-2	0.0583941605839416	2.0	4.6	2.0	2.0	9	13	12	21	842
842	842	ABC	n02op18-2_04	1812.0509746203827	1800.0	G	I	8	-4	8	-11	10	-6	0.126068376068376	4.285714285714286	5.363636363636363	1.6666666666666667	2.0	12	19	16	21	843
843	843	ABC	n06op18-6_01	1812.0509746203827	1800.0	Bb	I	9	-5	8	-4	10	-5	0.0889487870619946	2.2	3.5	0.0	2.0	14	12	15	21	844
844	844	ABC	n06op18-6_02	1812.0509746203827	1800.0	Eb	I	7	-5	8	-5	10	-5	0.090566037735849	2.2	4.571428571428571	0.0	2.6666666666666665	12	13	15	21	845
845	845	ABC	n06op18-6_03	1812.0509746203827	1800.0	Bb	I	9	-4	8	-4	9	-4	0.3313253012048193	2.2	2.5	1.0	1.6666666666666667	13	12	13	21	846
846	846	ABC	n06op18-6_04	1812.0509746203827	1800.0	Bb	I	11	-5	15	-8	11	-6	0.2172043010752688	5.222222222222222	5.916666666666667	2.6666666666666665	3.5	16	23	17	21	847
847	847	ABC	n07op59-1_01	1812.0509746203827	1806.0	F	I	10	-9	12	-12	10	-8	0.2842323651452282	5.0	3.142857142857143	5.0	2.833333333333333	19	24	18	21	848
848	848	ABC	n07op59-1_02	1812.0509746203827	1806.0	Bb	I	10	-11	11	-13	16	-11	0.1785150078988941	6.111111111111111	8.357142857142858	1.0	4.222222222222222	21	24	27	21	849
849	849	ABC	n07op59-1_03	1812.0509746203827	1806.0	f	i	6	-5	6	-12	8	-7	0.2734584450402145	3.571428571428572	5.0	4.333333333333333	2.5	11	18	15	21	850
850	850	ABC	n07op59-1_04	1812.0509746203827	1806.0	F	I	8	-5	9	-5	10	-6	0.173841059602649	2.5	3.142857142857143	2.333333333333333	2.5	13	14	16	21	851
851	851	ABC	n08op59-2_01	1812.0509746203827	1806.0	e	i	8	-7	9	-11	12	-10	0.4154929577464789	4.666666666666667	5.090909090909091	2.25	3.0	15	20	22	21	852
852	852	ABC	n08op59-2_02	1812.0509746203827	1806.0	E	I	8	-3	9	-7	10	-4	0.156441717791411	3.333333333333333	4.888888888888889	1.6666666666666667	4.5	11	16	14	21	853
853	853	ABC	n08op59-2_03	1812.0509746203827	1806.0	e	i	7	-2	11	-8	9	-5	0.024390243902439	4.444444444444445	2.0	2.5	1.5	9	19	14	21	854
854	854	ABC	n08op59-2_04	1812.0509746203827	1806.0	e	i	8	-10	9	-12	9	-7	0.1904761904761904	5.625	3.0	1.5	2.0	18	21	16	21	855
855	855	ABC	n09op59-3_01	1812.0509746203827	1806.0	C	I	10	-9	8	-12	12	-5	0.2318271119842829	5.7	7.285714285714286	3.5	4.5	19	20	17	21	856
856	856	ABC	n09op59-3_02	1812.0509746203827	1806.0	a	i	7	-5	8	-7	8	-5	0.6038135593220338	2.833333333333333	3.5	1.6666666666666667	2.2	12	15	13	21	857
857	857	ABC	n09op59-3_03	1812.0509746203827	1806.0	C	I	8	-4	8	-6	8	-4	0.1705882352941176	1.5	4.0	0.0	1.3333333333333333	12	14	12	21	858
858	858	ABC	n09op59-3_04	1812.0509746203827	1806.0	C	I	9	-11	8	-11	9	-15	0.1642651296829971	5.3	6.166666666666667	1.6666666666666667	4.4	20	19	24	21	859
859	859	ABC	n10op74_01	1812.0509746203827	1809.0	Eb	I	9	-5	10	-14	10	-7	0.0896860986547085	7.75	4.333333333333333	1.6666666666666667	2.833333333333333	14	24	17	21	860
860	860	ABC	n10op74_02	1812.0509746203827	1809.0	Ab	I	8	-11	8	-10	12	-4	0.1920529801324503	3.333333333333333	6.2	1.0	2.5	19	18	16	21	861
861	861	ABC	n10op74_03	1812.0509746203827	1809.0	c	i	6	-4	7	-8	10	-4	0.096629213483146	3.333333333333333	4.0	0.0	2.0	10	15	14	21	862
862	862	ABC	n10op74_04	1812.0509746203827	1809.0	Eb	I	10	-4	10	-4	10	-4	0.1495327102803738	3.0	3.75	0.0	2.8	14	14	14	21	863
863	863	ABC	n11op95_01	1812.0509746203827	1810.0	f	i	8	-5	12	-8	13	-5	0.1975308641975308	5.4	8.0	2.25	3.0	13	20	18	21	864
