	Unnamed: 0	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id	mode
583	583	scarlatti_sonatas	K051	1741.1259598104884	1742	Eb	I	7.0	-2.0	9	-4	10	-5	[3, 4, 0]	[[-3], [-3], [1], [0]]	0.0	0.0901960784313725	[4, 1]	0.5372549019607843	[3]	0.3176470588235294	9.0	13	15	13	584	major
585	585	scarlatti_sonatas	K053	1741.1259598104884	1742	D	I	5.0	-4.0	5	-4	5	-2	[0, 1, 2, 4]	[[2], [2], [2], [6], [4], [2], [2], [2, 6], [2], [6], [4], [2], [2], [6, 3], [2], [6], [4], [2]]	0.0	0.0671641791044776	[4, 1]	0.9104477611940298	[2]	0.0074626865671641	9.0	9	7	13	586	major
587	587	scarlatti_sonatas	K055	1741.1259598104884	1742	G	I	5.0	-2.0	7	-5	7	-5	[0, 1, 4]	[[1], [1], [2], [5]]	0.0	0.0051020408163265	[4, 1]	0.6428571428571429	[]	0.5	7.0	12	12	13	588	major
589	589	scarlatti_sonatas	K057	1741.1259598104884	1742	Bb	I	10.0	-1.0	9	-5	9	-3	[4, 1, 0]	[[-1], [2], [-2], [-2], [-2], [-2], [2], [-1], [2], [-1], [-1], [2], [-2, -1], [-1], [-2], [2], [-2], [-2], [-1], [2], [-2]]	0.0	0.0590163934426229	[4, 1]	0.3737704918032787	[]	0.3868852459016393	11.0	14	12	13	590	major
590	590	scarlatti_sonatas	K059	1741.1259598104884	1742	F	I	5.0	-5.0	6	-4	5	-4	[1, 3, 4, 5, 0]	[[-1], [0], [3], [-1], [-1], [-1], [3], [0], [-1], [4], [2]]	0.0	0.2916666666666667	[4, 1]	0.40625	[3, 5]	0.0416666666666666	10.0	10	9	13	591	major
592	592	scarlatti_sonatas	K062	1741.1259598104884	1742	A	I	6.0	-3.0	5	-7	6	-7	[5, 0, 1, 4]	[[3], [8], [3], [4], [7], [3]]	0.0	0.5483870967741935	[4, 1]	0.7903225806451613	[5]	0.3870967741935484	9.0	12	13	13	593	major
593	593	scarlatti_sonatas	K063	1741.1259598104884	1742	G	I	5.0	-5.0	5	-4	6	-1	[0, 4]	[[1, 5, 1, 1]]	0.0	0.0701754385964912	[4, 1]	0.4298245614035088	[]	0.0350877192982456	10.0	9	7	13	594	major
595	595	scarlatti_sonatas	K065	1741.1259598104884	1742	A	I	8.0	-5.0	7	-4	5	-2	[0, 1, 4]	[[3], [4], [7], [3], [4], [7], [3], [3], [7], [4], [3], [7, 4]]	0.0	0.1194029850746268	[4, 1]	0.2686567164179104	[]	0.0074626865671641	13.0	11	7	13	596	major
596	596	scarlatti_sonatas	K066	1741.1259598104884	1742	Bb	I	5.0	-1.0	8	-4	7	-2	[3, 4, 5, 0, 1]	[[-1], [1], [3], [-2], [-1], [2], [-2], [-1], [2], [-2], [-1], [-2], [-1], [-2]]	0.0	0.0	[4, 1]	0.106145251396648	[3, 5]	0.0391061452513966	6.0	12	9	13	597	major
598	598	scarlatti_sonatas	K068	1741.1259598104884	1742	Eb	I	5.0	-5.0	7	-4	7	-4	[4, 5, 6, 2, 0, 1]	[[-3], [-3], [2], [-3], [1], [-2], [-3], [-3], [2], [-3], [1], [-2], [-3], [1], [-1], [1], [-2], [-3], [-3], [1], [2], [-3], [1], [-2], [-3], [-2], [3], [-2], [-3], [1], [-3], [-2], [2], [-3], [1], [-2]]	0.0	0.0516129032258064	[4, 1]	0.3677419354838709	[5, 6, 2]	0.2129032258064516	10.0	11	11	13	599	major
600	600	scarlatti_sonatas	K071	1741.1259598104884	1742	G	I	6.0	-1.0	6	-4	6	-4	[-1, 0, 1, 2, 4]	[[1], [1], [5], [2], [1], [3], [1], [5], [0], [5], [5], [3]]	0.0	0.0227272727272727	[4, 1]	0.3484848484848485	[-1, 2]	0.1742424242424242	7.0	10	10	13	601	major
601	601	scarlatti_sonatas	K072	1741.1259598104884	1742	C	I	6.0	-1.0	9	-4	10	-4	[0, 1, 4]	[[0], [0], [0], [0], [0], [0], [1], [0], [0], [4], [0, 0], [0, 1], [0], [4], [1], [0], [4], [4], [0, 4], [1, 4]]	0.0	0.0076335877862595	[4, 1]	0.5954198473282443	[]	0.4503816793893129	7.0	13	14	13	602	major
602	602	scarlatti_sonatas	K074	1741.1259598104884	1742	A	I	5.0	-1.0	5	-2	5	-1	[0, 1, 4]	[[3, 4, 3, 3, 7, 4, 3]]	0.0	0.0	[4, 1]	0.0175438596491228	[]	0.0	6.0	7	6	13	603	major
603	603	scarlatti_sonatas	K075	1741.1259598104884	1742	G	I	6.0	-1.0	6	-5	5	-3	[0, 1, 4]	[[1, 5, 2], [1]]	0.0	0.0103092783505154	[4, 1]	0.7628865979381443	[]	0.0206185567010309	7.0	11	8	13	604	major
607	607	scarlatti_sonatas	K094	1741.1259598104884	1746	F	I	5.0	-5.0	5	-4	7	-5	[1, 2, 3, 4, 0]	[[-1], [-1], [1], [3], [3], [0], [-1], [2]]	0.0	0.0727272727272727	[4, 1]	0.7090909090909091	[2, 3]	0.2363636363636363	10.0	9	12	13	608	major
608	608	scarlatti_sonatas	K095	1741.1259598104884	1746	C	I	5.0	-1.0	6	-2	5	-1	[0, 1, 4, 5]	[[0, 1], [4], [1], [0], [0], [4], [1], [1], [0], [4], [1], [0], [0], [4], [1], [0], [0], [4], [1], [5], [0]]	0.0	0.0	[4, 1]	0.2272727272727272	[5]	0.0	6.0	8	6	13	609	major
609	609	scarlatti_sonatas	K096	1741.1259598104884	1746	D	I	6.0	-4.0	8	-5	6	-5	[0, 1, 4]	[[6, 3], [2, 6]]	0.0	0.031700288184438	[4, 1]	0.4351585014409221	[]	0.138328530259366	10.0	13	11	13	610	major
613	613	scarlatti_sonatas	K100	1741.1259598104884	1749	C	I	6.0	-1.0	7	-3	7	-2	[0, 1, 4]	[[0], [1], [4]]	0.0	0.0629370629370629	[4, 1]	0.2027972027972027	[]	0.0699300699300699	7.0	10	9	13	614	major
614	614	wf_bach_sonatas	F001_n08a	1760.0	1760	C	I	10.0	-1.0	10	-4	10	-4	[0, 1, 4]	[[0, 4, 1, 0], [0], [4], [0], [1], [4], [0], [1], [4], [0], [1], [4], [0], [1], [4], [0]]	0.0	0.1428571428571428	[4, 1]	0.3842364532019704	[]	0.3596059113300492	11.0	14	14	14	615	major
615	615	wf_bach_sonatas	F001_n08b	1760.0	1760	C	I	8.0	-4.0	6	-12	9	-5	[0, 1, 2, 3, 4, 5]	[[0], [0], [2], [5], [3], [4, 1]]	0.0	0.4	[4, 1]	0.7866666666666666	[2, 3, 5]	0.1733333333333333	12.0	18	14	14	616	major
616	616	wf_bach_sonatas	F001_n08c	1760.0	1760	C	I	9.0	-2.0	8	-9	10	-3	[0, 2, 4]	[[0], [2], [4], [2], [0, 4, 0]]	0.0	0.0930232558139534	[4, 1]	0.3906976744186046	[2]	0.1720930232558139	11.0	17	13	14	617	major
617	617	wf_bach_sonatas	F002_n07a	1760.0	1760	C	I	6.0	-4.0	6	-5	9	-3	[0, 1, 2, 4]	[[0, 4], [1], [4], [2], [0]]	0.0	0.2700729927007299	[4, 1]	0.4817518248175182	[2]	0.4306569343065693	10.0	11	12	14	618	major
619	619	wf_bach_sonatas	F002_n07c	1760.0	1760	C	I	9.0	-2.0	8	-2	9	-1	[0, 1, 2, 4, -1]	[[0], [0], [2], [4], [-1], [1]]	0.0	0.0736196319018405	[4, 1]	0.1226993865030674	[2, -1]	0.1595092024539877	11.0	10	10	14	620	major
620	620	wf_bach_sonatas	F003_n04a	1760.0	1760	D	I	9.0	-1.0	10	-4	8	-2	[-1, 0, 1, 2, 4]	[[3], [2], [2, 6, 2], [4, 1, 2]]	0.0	0.1423948220064725	[4, 1]	0.3462783171521035	[-1, 2]	0.0841423948220064	10.0	14	10	14	621	major
622	622	wf_bach_sonatas	F003_n04c	1760.0	1760	D	I	8.0	-4.0	8	-5	10	-4	[1, 3, 5]	[[3], [5], [7]]	1.0	0.176056338028169	[5, 2]	0.528169014084507	[3]	0.5774647887323944	12.0	13	14	14	623	major
623	623	jc_bach_sonatas	wa01op05no1a_Allegretto	1772.6041876384136	1765	Bb	I	6.0	-1.0	8	-3	7	-2	[4, -1, 1, 0]	[[2], [-3], [2, -1], [-2], [2], [-1], [-2], [-1], [2], [-1]]	0.0	0.009090909090909	[4, 1]	0.1636363636363636	[-1]	0.1363636363636363	7.0	11	9	15	624	major
624	624	jc_bach_sonatas	wa01op05no1b_Tempo_di_Minuetto	1772.6041876384136	1765	Bb	I	6.0	-1.0	6	-1	5	-1	[4, 0, 1]	[[-2, 2, -1], [-2], [-1], [2], [-1], [-2], [2], [-2], [-2, 2, -1], [-2], [-1], [2], [-1], [-2], [2], [-2], [-2, -1]]	0.0	0.0410958904109589	[4, 1]	0.0136986301369863	[]	0.0	7.0	7	6	15	625	major
625	625	jc_bach_sonatas	wa02op05no2a_Allegro_di_molto	1772.6041876384136	1765	D	I	7.0	-1.0	8	-2	9	-2	[-1, 0, 1, 2, 3, 4, 5]	[[2, 6, 3, 2, 2, 6, 3, 2], [2, 6, 3, 2, 2, 6, 3, 2], [2, 6, 3, 2, 2, 6, 3, 2], [7, 2, 4], [2], [7], [5], [2, 6, 3, 2, 3], [2, 6, 3, 2, 3, 2, 6, 3], [2, 6, 3, 2, 3, 2, 6, 3], [6, 1, 3], [1], [6], [4], [2, 2], [3]]	0.0	0.0192307692307692	[4, 1]	0.1346153846153846	[-1, 2, 3, 5]	0.0692307692307692	8.0	10	11	15	626	major
626	626	jc_bach_sonatas	wa02op05no2b_Andante_di_molto	1772.6041876384136	1765	G	I	7.0	-1.0	7	-4	8	-2	[0, 1, 3, 4]	[[1], [1], [2], [5], [2], [1, 4]]	0.0	0.0347826086956521	[4, 1]	0.1391304347826087	[3]	0.1043478260869565	8.0	11	10	15	627	major
627	627	jc_bach_sonatas	wa02op05no2c_Minuetto	1772.6041876384136	1765	D	I	6.0	-1.0	7	-1	6	-2	[0]	[[2, 2]]	0.0	0.0169491525423728	[4, 1]	0.0847457627118644	[]	0.0338983050847457	7.0	8	8	15	628	major
629	629	jc_bach_sonatas	wa03op05no3a_Allegro	1772.6041876384136	1765	G	I	7.0	-1.0	7	-4	8	-5	[-1, 0, 1, 2, 3, 4, 5]	[[2], [0], [1, 5], [5], [3], [1], [2], [1], [5], [1], [1], [3], [2], [5], [0], [5], [2], [4], [2], [6], [1]]	0.0	0.1739130434782608	[4, 1]	0.217391304347826	[-1, 2, 3, 5]	0.1195652173913043	8.0	11	13	15	630	major
630	630	jc_bach_sonatas	wa03op05no3b_Allegretto	1772.6041876384136	1765	G	I	6.0	-1.0	6	-1	9	-1	[0, 1, 4]	[[1], [5], [2]]	0.0	0.0677966101694915	[4, 1]	0.0169491525423728	[]	0.2372881355932203	7.0	7	10	15	631	major
631	631	jc_bach_sonatas	wa04op05no4a_Allegro	1772.6041876384136	1765	Eb	I	6.0	-4.0	7	-5	6	-4	[4, 5, 0]	[[-3], [-3], [1], [-3], [-3], [1], [-3], [-3], [1], [-3], [1], [2], [-3]]	0.0	0.1302083333333333	[4, 1]	0.2083333333333333	[5]	0.1197916666666666	10.0	12	10	15	632	major
632	632	jc_bach_sonatas	wa04op05no4b_Rondeaux	1772.6041876384136	1765	Eb	I	6.0	-3.0	6	-4	8	-4	[4, 0, 1, 2]	[[-3], [1], [-2], [-1], [-1], [-2], [1], [-3], [-2]]	0.0	0.1052631578947368	[4, 1]	0.3245614035087719	[2]	0.1140350877192982	9.0	10	12	15	633	major
633	633	jc_bach_sonatas	wa05op05no5a_Allegro_Assai	1772.6041876384136	1765	E	I	6.0	-4.0	6	-7	8	-4	[4, 0, 1, 2]	[[4], [4], [5], [5], [8], [8], [5], [5], [4], [4], [5], [5], [4], [4], [6], [6], [8], [8], [4], [4], [8], [8], [5], [5]]	0.0	0.1067961165048543	[4, 1]	0.1941747572815534	[2]	0.0970873786407767	10.0	13	12	15	634	major
634	634	jc_bach_sonatas	wa05op05no5b_Adagio	1772.6041876384136	1765	A	I	7.0	-1.0	7	-2	8	-2	[-1, 0, 1, 2, 4]	[[3, 7], [4], [7, 4], [5, 2], [3, 7], [7, 4], [5, 2], [3, 7], [4, 3], [7, 4]]	0.0	0.0314960629921259	[4, 1]	0.0314960629921259	[-1, 2]	0.0393700787401574	8.0	9	10	15	635	major
635	635	jc_bach_sonatas	wa05op05no5c_Prestissimo	1772.6041876384136	1765	E	I	5.0	-4.0	6	-5	8	-4	[4, 0, 1]	[[8], [5], [8], [4], [4], [8, 5], [4], [8], [4], [4, 8], [4, 4], [8, 5], [4, 8], [4], [8, 4], [4], [8], [4]]	0.0	0.0738916256157635	[4, 1]	0.3399014778325123	[]	0.2463054187192118	9.0	11	12	15	636	major
639	639	jc_bach_sonatas	wa07op17no1a_Minuetto_Con_Variatione	1772.6041876384136	1780	G	I	7.0	-1.0	7	-2	9	-2	[0, 1, 2, 3, 4, 5]	[[1, 1, 1, 5, 2, 1], [3], [1], [6], [4]]	0.0	0.0280898876404494	[4, 1]	0.1011235955056179	[2, 3, 5]	0.1123595505617977	8.0	9	11	15	640	major
641	641	jc_bach_sonatas	wa08op17no2b_Andante	1772.6041876384136	1780	Eb	I	6.0	-1.0	7	-4	9	-2	[4, 0, 1]	[[-3, 1], [-2], [-3], [-2], [-2], [-2], [-3], [-2], [1]]	0.0	0.0215827338129496	[4, 1]	0.079136690647482	[]	0.3381294964028777	7.0	11	11	15	642	major
643	643	jc_bach_sonatas	wa09op17no3a_Allegro_Assai	1772.6041876384136	1780	Eb	I	6.0	-4.0	8	-5	7	-5	[4, 0, 1]	[[-3], [-3], [-2], [1], [-2], [-3], [-2], [1], [-2], [-3, 1, -2]]	0.0	0.097378277153558	[4, 1]	0.2097378277153558	[]	0.2771535580524344	10.0	13	12	15	644	major
644	644	jc_bach_sonatas	wa09op17no3b_Allegro	1772.6041876384136	1780	Eb	I	7.0	-1.0	8	-3	7	-2	[4, 5, 2, 0, 1]	[[-3, 1], [-2], [2, -1], [-3, 1]]	0.0	0.0219780219780219	[4, 1]	0.0714285714285714	[5, 2]	0.0824175824175824	8.0	11	9	15	645	major
645	645	jc_bach_sonatas	wa10op17no4a_Allegro	1772.6041876384136	1780	G	I	6.0	-5.0	8	-5	9	-5	[-1, 0, 1, 3, 4, 5]	[[1], [6], [4], [4], [1], [2], [1], [5], [2], [1], [1], [1], [4], [5, 2], [1], [0], [5], [1], [6], [1], [1], [5], [2], [1], [1], [1], [4], [5, 2], [1], [0], [5]]	0.0	0.0723981900452488	[4, 1]	0.2579185520361991	[-1, 3, 5]	0.2352941176470588	11.0	13	14	15	646	major
646	646	jc_bach_sonatas	wa10op17no4b_Presto_Assai	1772.6041876384136	1780	G	I	7.0	-2.0	7	-1	9	-1	[0, 1, 4]	[[1, 1], [1], [5], [2], [1], [5], [2], [1], [5], [2], [1], [5], [2], [1], [5], [2], [1], [5], [2], [1], [1], [5], [2], [1], [2]]	0.0	0.0256410256410256	[4, 1]	0.0341880341880341	[]	0.0683760683760683	9.0	8	10	15	647	major
647	647	jc_bach_sonatas	wa11op17no5a_Allegro	1772.6041876384136	1780	A	I	7.0	-1.0	8	-5	9	-4	[-1, 0, 1, 4]	[[7], [2], [3], [4], [7], [4], [4], [3]]	0.0	0.0628019323671497	[4, 1]	0.1545893719806763	[-1]	0.1497584541062802	8.0	13	13	15	648	major
648	648	jc_bach_sonatas	wa11op17no5b_Presto	1772.6041876384136	1780	A	I	8.0	-1.0	7	-4	7	-2	[0, 1, 4]	[[3], [7], [4]]	0.0	0.03125	[4, 1]	0.1607142857142857	[]	0.0669642857142857	9.0	11	9	15	649	major
649	649	jc_bach_sonatas	wa12op17no6a_Allegro	1772.6041876384136	1780	Bb	I	9.0	-2.0	8	-8	10	-3	[2, 3, 4, 5, 1, 0]	[[2], [0], [-2], [-2], [-1], [2], [-2], [-1], [2], [-2], [-1], [1], [2], [3]]	0.0	0.0310880829015544	[4, 1]	0.2020725388601036	[2, 3, 5]	0.5854922279792746	11.0	16	13	15	650	major
650	650	jc_bach_sonatas	wa12op17no6b_Andante	1772.6041876384136	1780	Eb	I	6.0	-1.0	7	-4	9	-2	[3, 4, 5, -1, 0, 1]	[[1, -2], [-3], [2], [-2, 1, -2], [-3], [-2], [-3], [1], [1, -2], [-2], [-4, 0]]	0.0	0.0060975609756097	[4, 1]	0.0609756097560975	[3, 5, -1]	0.1951219512195122	7.0	11	11	15	651	major
651	651	jc_bach_sonatas	wa12op17no6c_Prestissimo	1772.6041876384136	1780	Bb	I	6.0	-4.0	8	-8	8	-4	[4, 1, 0]	[[-1], [-2, -2], [-2], [-1], [2], [-1], [2], [-2], [2], [-2], [-1], [-2], [-1], [2], [-1], [2], [-2], [-2], [-1], [-2], [2]]	0.0	0.1688311688311688	[4, 1]	0.3636363636363636	[]	0.7056277056277056	10.0	16	12	15	652	major
652	652	mozart_piano_sonatas	K279-1	1780.7395798599532	1775	C	I	8.0	-2.0	9	-4	9	-3	[0, 1, 2, 4, 5, -1]	[[0], [4, 1, 0], [0], [5], [0], [0], [0], [5], [2], [0], [4], [2], [-1], [4], [1], [-1]]	0.0	0.0528455284552845	[4, 1]	0.2520325203252032	[2, 5, -1]	0.3333333333333333	10.0	13	12	16	653	major
653	653	mozart_piano_sonatas	K279-2	1780.7395798599532	1775	F	I	8.0	-1.0	6	-4	10	-3	[1, 4, 0]	[[-1], [-1], [0], [3], [0]]	0.0	0.152317880794702	[4, 1]	0.2185430463576159	[]	0.6688741721854304	9.0	10	13	16	654	major
654	654	mozart_piano_sonatas	K279-3	1780.7395798599532	1775	C	I	9.0	-4.0	9	-4	9	-3	[1]	[[1]]	1.0	0.1437699680511182	[5, 2]	0.2076677316293929	[]	0.1693290734824281	13.0	13	12	16	655	major
655	655	mozart_piano_sonatas	K280-1	1780.7395798599532	1775	F	I	9.0	-4.0	8	-5	10	-5	[1, 2, 3, 4, -1, 0]	[[-1, -1, 0, -1, 3, 0], [0, 3, 0], [3, 3, 0], [-1], [3, 0], [-1], [2], [0], [-2], [3], [1], [-1], [-1, 3], [-1], [-1, 3]]	0.0	0.1846846846846846	[4, 1]	0.2747747747747748	[2, 3, -1]	0.536036036036036	13.0	13	15	16	656	major
657	657	mozart_piano_sonatas	K280-3	1780.7395798599532	1775	F	I	6.0	-5.0	5	-4	9	-1	[1, 4, 0]	[[0], [3], [-1], [-1], [-1]]	0.0	0.1179487179487179	[4, 1]	0.1282051282051282	[]	0.3384615384615385	11.0	9	10	16	658	major
658	658	mozart_piano_sonatas	K281-1	1780.7395798599532	1775	Bb	I	7.0	-3.0	6	-5	9	-4	[2, 4, 0]	[[-2, 2], [-2], [0], [2]]	0.0	0.1182266009852216	[4, 1]	0.2019704433497537	[2]	0.6798029556650246	10.0	11	13	16	659	major
659	659	mozart_piano_sonatas	K281-2	1780.7395798599532	1775	Eb	I	7.0	-1.0	7	-4	8	-2	[3, 4, 5, 2, -1, 0, 1]	[[-3, -3], [1, -2], [-1, -4], [-3, 1], [2, -1], [0, -3], [-2, 2], [-4, 0], [-3, -3, 1, -2]]	0.0	0.0933333333333333	[4, 1]	0.1866666666666666	[3, 5, 2, -1]	0.1	8.0	11	10	16	660	major
660	660	mozart_piano_sonatas	K281-3	1780.7395798599532	1775	Bb	I	7.0	-1.0	8	-5	10	-4	[3, 7, 1]	[[-1], [5, 1, 1]]	3.0	0.1005291005291005	[7, 4, 1]	0.2830687830687831	[]	0.3042328042328042	8.0	13	14	16	661	major
661	661	mozart_piano_sonatas	K282-1	1780.7395798599532	1775	Eb	I	7.0	-1.0	7	-4	10	-3	[3, 4, 0, 1]	[[-3, 1], [-2], [0], [-3, 1, -2]]	0.0	0.0980392156862745	[4, 1]	0.284313725490196	[3]	0.5294117647058824	8.0	11	13	16	662	major
662	662	mozart_piano_sonatas	K282-2	1780.7395798599532	1775	Bb	I	7.0	-4.0	6	-9	8	-4	[2, 4, 1, -1, 0]	[[2], [-3], [0], [-2], [2, -1, -2], [2, -1, -2]]	0.0	0.1031746031746031	[4, 1]	0.2777777777777778	[2, -1]	0.1666666666666666	11.0	15	12	16	663	major
663	663	mozart_piano_sonatas	K282-3	1780.7395798599532	1775	Eb	I	6.0	-1.0	9	-4	9	-5	[4, 0, 1]	[[-2], [-2], [-3, 1], [-3, 1], [-2]]	0.0	0.0238095238095238	[4, 1]	0.3869047619047619	[]	0.3095238095238095	7.0	13	14	16	664	major
664	664	mozart_piano_sonatas	K283-1	1780.7395798599532	1775	G	I	6.0	-1.0	9	-5	9	-2	[0, 1, 4]	[[2], [5], [1], [2], [5], [2], [5], [2], [1], [5]]	0.0	0.031055900621118	[4, 1]	0.1583850931677018	[]	0.1180124223602484	7.0	14	11	16	665	major
665	665	mozart_piano_sonatas	K283-2	1780.7395798599532	1775	C	I	8.0	-1.0	8	-4	9	-5	[0, 1, 4]	[[0], [4], [0], [1], [4], [0], [1], [4], [0], [1], [4], [0], [1]]	0.0	0.1829268292682926	[4, 1]	0.2804878048780488	[]	0.1890243902439024	9.0	12	14	16	666	major
666	666	mozart_piano_sonatas	K283-3	1780.7395798599532	1775	G	I	9.0	-4.0	8	-4	9	-4	[-1, 0, 1, 2, 4]	[[1], [1, 5], [1], [1, 3, 0], [1, 5, 2], [1], [1, 5, 2]]	0.0	0.1641337386018237	[4, 1]	0.270516717325228	[-1, 2]	0.4012158054711246	13.0	12	13	16	667	major
667	667	mozart_piano_sonatas	K284-1	1780.7395798599532	1775	D	I	7.0	-5.0	9	-4	9	-3	[-1, 0, 1, 2, 4]	[[2, 2, 2, 6, 3, 2], [1, 1], [6, 6], [4, 4], [2, 2], [1, 1], [6, 6], [4, 4], [2, 2], [3, 3], [6, 6]]	0.0	0.1039755351681957	[4, 1]	0.4770642201834862	[-1, 2]	0.2324159021406728	12.0	13	12	16	668	major
668	668	mozart_piano_sonatas	K284-2	1780.7395798599532	1775	A	I	8.0	-4.0	7	-5	9	-4	[0, 4]	[[3, 7, 3]]	0.0	0.092511013215859	[4, 1]	0.1233480176211453	[]	0.3524229074889868	12.0	12	13	16	669	major
669	669	mozart_piano_sonatas	K284-3	1780.7395798599532	1775	D	I	9.0	-5.0	8	-5	10	-5	[1]	[[3], [3]]	1.0	0.0901639344262295	[5, 2]	0.2377049180327868	[]	0.3183060109289617	14.0	13	15	16	670	major
670	670	mozart_piano_sonatas	K309-1	1780.7395798599532	1777	C	I	7.0	-4.0	7	-5	11	-4	[0, 1, 2, 4, -1]	[[0, 0], [1, 1], [4, 4], [-1, -1], [2, 2], [0, 0]]	0.0	0.1254125412541254	[4, 1]	0.2937293729372937	[2, -1]	0.3102310231023102	11.0	12	15	16	671	major
671	671	mozart_piano_sonatas	K309-2	1780.7395798599532	1777	F	I	6.0	-1.0	9	-4	9	-4	[4, 0]	[[3], [-1]]	0.0	0.0318725099601593	[4, 1]	0.1553784860557769	[]	0.3426294820717131	7.0	13	13	16	672	major
672	672	mozart_piano_sonatas	K309-3	1780.7395798599532	1777	C	I	8.0	-1.0	9	-4	11	-4	[1]	[[1]]	1.0	0.0987341772151898	[5, 2]	0.3265822784810127	[]	0.2860759493670886	9.0	13	15	16	673	major
674	674	mozart_piano_sonatas	K310-2	1780.7395798599532	1777	F	I	7.0	-4.0	8	-4	9	-2	[1, 4, 0]	[[-1], [3], [0], [-1], [0], [-1, -1], [3], [-1]]	0.0	0.076	[4, 1]	0.216	[]	0.26	11.0	12	11	16	675	major
676	676	mozart_piano_sonatas	K311-1	1780.7395798599532	1778	D	I	8.0	-4.0	8	-5	9	-4	[-1, 0, 1, 2, 4]	[[2, 3, 2, 6, 3, 2], [1], [2, 6], [6], [4], [6]]	0.0	0.0791139240506329	[4, 1]	0.1867088607594936	[-1, 2]	0.180379746835443	12.0	13	13	16	677	major
677	677	mozart_piano_sonatas	K311-2	1780.7395798599532	1778	G	I	8.0	-1.0	9	-4	9	-1	[-1, 0, 1, 4]	[[1], [2], [5], [2], [0], [5]]	0.0	0.102127659574468	[4, 1]	0.1319148936170212	[-1]	0.1276595744680851	9.0	13	10	16	678	major
678	678	mozart_piano_sonatas	K311-3	1780.7395798599532	1778	D	I	7.0	-5.0	8	-5	9	-4	[1, 4]	[[3], [6]]	1.0	0.0452674897119341	[5, 2]	0.1337448559670782	[4]	0.2510288065843621	12.0	13	13	16	679	major
679	679	mozart_piano_sonatas	K330-1	1780.7395798599532	1783	C	I	8.0	-1.0	9	-5	9	-3	[0, 1, 2, 4, 5, -1]	[[4], [1], [0], [4], [1], [0], [4], [0], [-1], [4], [4], [4], [2], [0], [0], [5], [4], [0], [0], [4], [0], [2], [4], [4], [1], [0], [4], [0], [4, 1], [0, 1], [4], [1], [0], [4], [0], [-1], [4]]	0.0	0.0629370629370629	[4, 1]	0.2027972027972027	[2, 5, -1]	0.2272727272727272	9.0	14	12	16	680	major
680	680	mozart_piano_sonatas	K330-2	1780.7395798599532	1783	F	I	7.0	-4.0	8	-4	8	-4	[1]	[[0], [0], [0]]	1.0	0.2067039106145251	[5, 2]	0.2681564245810056	[]	0.1117318435754189	11.0	12	12	16	681	major
681	681	mozart_piano_sonatas	K330-3	1780.7395798599532	1783	C	I	8.0	-2.0	10	-4	9	-4	[0, 1, 4, -1]	[[4], [0], [-1], [1]]	0.0	0.0498614958448753	[4, 1]	0.1911357340720221	[-1]	0.1911357340720221	10.0	14	13	16	682	major
682	682	mozart_piano_sonatas	K331-1	1780.7395798599532	1783	A	I	7.0	-1.0	5	-4	10	-4	[-1, 0, 1, 2, 4]	[[3, 7], [4], [5, 2], [3, 4, 7]]	0.0	0.0432432432432432	[4, 1]	0.1486486486486486	[-1, 2]	0.672972972972973	8.0	9	14	16	683	major
683	683	mozart_piano_sonatas	K331-2	1780.7395798599532	1783	A	I	6.0	-1.0	7	-4	8	-5	[-1, 0, 1, 2, 3, 4]	[[3, 3, 3], [4, 4, 4], [7, 7], [7], [2], [5], [3, 3, 3], [4], [6], [2], [7]]	0.0	0.0125786163522012	[4, 1]	0.3081761006289308	[-1, 2, 3]	0.2012578616352201	7.0	11	13	16	684	major
685	685	mozart_piano_sonatas	K332-1	1780.7395798599532	1783	F	I	8.0	-4.0	8	-5	10	-4	[1, 4, 0]	[[-1], [-1], [3], [0], [3], [0], [3], [3]]	0.0	0.2031746031746031	[4, 1]	0.4	[]	0.2920634920634921	12.0	13	14	16	686	major
686	686	mozart_piano_sonatas	K332-2	1780.7395798599532	1783	Bb	I	5.0	-4.0	8	-4	9	-4	[2, 4, 1, -1, 0]	[[-2], [-2], [-1], [2], [-1], [-2], [2], [-1], [2], [-3, 2, 0, 2], [-1, -3]]	0.0	0.0727272727272727	[4, 1]	0.4545454545454545	[2, -1]	0.6	9.0	12	13	16	687	major
687	687	mozart_piano_sonatas	K332-3	1780.7395798599532	1783	F	I	8.0	-4.0	8	-5	9	-4	[1, 2, 3, 4, 5, 6, 9, -1, 0]	[[-1, 3, 0, -1], [0], [5], [0], [-1], [0], [-2], [3], [8], [3], [0], [3], [1], [-1], [4], [-1], [3], [-1], [2], [0], [5], [0], [-1], [0], [-2], [3], [8], [3], [0], [3]]	0.0	0.1648106904231625	[4, 1]	0.7282850779510023	[2, 3, 5, 6, 9, -1]	0.2115812917594654	12.0	13	13	16	688	major
688	688	mozart_piano_sonatas	K333-1	1780.7395798599532	1783	Bb	I	8.0	-4.0	8	-4	9	-4	[2, 4, 0, -1, 1]	[[-1], [-3], [2], [0], [-2, -2], [2], [-2], [-1]]	0.0	0.0700934579439252	[4, 1]	0.2453271028037383	[2, -1]	0.2873831775700934	12.0	12	13	16	689	major
