	chord	root	r_chromaticity	ct	ct_chromaticity	nct	nct_chromaticity	version
94105	V43	1	0	[2, -1, 5]	0	[1]	0	var5
94106	I	0	0	[4, 1]	0	[-1, 0, 3]	0	var5
94107	V6	1	0	[5, 2]	0	[1, 4, 6]	1	var5
94108	I	0	0	[4, 1]	0	[0]	0	var5
94109	#viio/ii	7	2	[4, 1]	0	[6, 7]	3	var5
94110	V43	1	0	[2, -1, 5]	0	[6, 1]	1	var5
94111	V	1	0	[5, 2]	0	[-1, 1, 4]	0	var5
94112	vi7	3	0	[0, 4, 1]	0	[-1, 2, 3, 5, 6]	1	var5
94113	V6	1	0	[5, 2]	0	[-1, 1, 4, 6, 7]	3	var5
94114	I	0	0	[4, 1]	0	[-1, 0, 9]	4	var5
94115	vi	3	0	[0, 4]	0	[-1, 3, 9]	4	var5
94116	ii6	2	0	[-1, 3]	0	[1, 2, 4]	0	var5
94117	V	1	0	[5, 2]	0	[0, 1, 3, 4, 6, 7, 10]	8	var5
94118	I	0	0	[4, 1]	0	[-1, 0, 2, 6, 7, 9]	7	var5
94119	I	0	0	[4, 1]	0	[-1, 0, 2, 3, 5]	0	var5
94120	V	1	0	[5, 2]	0	[-3, 0, 1, 4, 7]	4	var5
94121	V7	1	0	[5, 2, -1]	0	[0, 1, 3, 4]	0	var5
94122	vi7	3	0	[0, 4, 1]	0	[-1, 2, 3]	0	var5
94123	V6	1	0	[5, 2]	0	[-1, 1, 7]	2	var5
94124	I	0	0	[4, 1]	0	[0, 9]	4	var5
94125	ii65	2	0	[-1, 3, 0]	0	[2]	0	var5
94126	V(64)	1	0	[0, 4]	0	[1, 3, 6]	1	var5
94127	V7(4)	1	0	[0, 2, -1]	0	[]	0	var5
94128	V7	1	0	[5, 2, -1]	0	[4]	0	var5
94129	I(974)	0	0	[-1, 1, 2, 5]	0	[0]	0	var5
94130	I	0	0	[4, 1]	0	[-1, 0, 2, 5]	0	var5
