	corpus	corpus_year	localkey_mode	corpus_id	WLC	OLC	WLD
0	peri_euridice	1600.0	major	1	0.3844760009145138	0.05591778371424502	0.6704498949855714
1	peri_euridice	1600.0	minor	1	1.1489179810359436	0.12737953549280628	0.6886440303068989
2	monteverdi_madrigals	1609.1691322587767	major	2	0.08756103453424198	0.032252199231571986	0.7407154010698936
3	monteverdi_madrigals	1609.1691322587767	minor	2	0.9308168879209419	0.10352575972725009	0.8065240592244617
4	sweelinck_keyboard	1621.0	minor	3	1.183632734530938	0.3193612774451098	0.7353293413173653
5	frescobaldi_fiori_musicali	1635.0	minor	4	0.7437191054952755	0.15236821837901532	0.8153579399528026
6	frescobaldi_fiori_musicali	1635.0	major	4	0.32396340531276485	0.06837830598298356	0.777973174181722
7	kleine_geistliche_konzerte	1637.9308224442736	minor	5	0.7541044739263544	0.08490915294660464	0.7256365041610763
8	kleine_geistliche_konzerte	1637.9308224442736	major	5	0.3571216677026823	0.04002587565867994	0.7109428176267685
9	corelli	1687.6864702945581	major	6	0.10884225533406292	0.013949112994839433	0.9524319719682807
10	corelli	1687.6864702945581	minor	6	0.9304310293459291	0.09043001678899691	0.9990523922085545
11	couperin_clavecin	1717.0	minor	7	0.9941146543237652	0.2450192808795623	1.2685580984548166
12	couperin_clavecin	1717.0	major	7	0.2204185035528319	0.08263443024637054	1.2044147129818772
13	handel_keyboard	1720.0	major	8	0.046077558353520176	0.02758225381176201	0.8458396182490885
14	bach_solo	1721.536293766012	minor	9	1.0809731017796411	0.38103616995997663	1.1366268111957945
15	bach_solo	1721.536293766012	major	9	0.2510017403212179	0.06647217902727766	1.0634945659100066
16	bach_en_fr_suites	1721.7536076006095	major	10	0.22856418050037722	0.05912540346528658	1.1312726392271946
17	bach_en_fr_suites	1721.7536076006095	minor	10	1.1520752264498761	0.30571022605509346	1.270090561441941
18	couperin_concerts	1723.4204871060172	major	11	0.08046863809860436	0.03836136657651734	1.0690369532924504
19	couperin_concerts	1723.4204871060172	minor	11	1.1834939595262266	0.17957902610241067	1.2610801593914531
20	pergolesi_stabat_mater	1736.0	minor	12	1.756957519704383	0.5568559485910175	1.2800314254037473
21	pergolesi_stabat_mater	1736.0	major	12	0.2379541047188106	0.019413919413919414	1.0513205128205128
22	scarlatti_sonatas	1741.1259598104884	minor	13	1.1186583196369764	0.33328158309374056	1.082380996005803
23	scarlatti_sonatas	1741.1259598104884	major	13	0.3713997577661737	0.12694620683307326	0.9832639856780014
24	wf_bach_sonatas	1760.0	major	14	0.44158046238693877	0.2745540699944958	1.1658858817383413
25	wf_bach_sonatas	1760.0	minor	14	1.3691784932746194	0.20511641660852564	1.3850683669378074
26	jc_bach_sonatas	1772.6041876384136	major	15	0.13422327250699437	0.12132347656897635	0.9897589114652122
27	jc_bach_sonatas	1772.6041876384136	minor	15	1.1174047918978216	0.6427981306513019	1.1177924883440544
