	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	WLC	OLC	corpus_id	piece_id
39	monteverdi_madrigals	5-09	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	0.0	0.0	2	23
40	monteverdi_madrigals	5-10	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	0.8831168831168831	0.05194805194805195	2	24
41	monteverdi_madrigals	5-10	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	0.0	0.047619047619047616	2	24
42	monteverdi_madrigals	5-11	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	1.338235294117647	0.08823529411764706	2	25
43	monteverdi_madrigals	5-11	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	0.1566265060240964	0.03614457831325301	2	25
44	monteverdi_madrigals	5-14	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	1.037037037037037	0.2740740740740741	2	26
45	monteverdi_madrigals	5-14	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	0.25	0.125	2	26
46	monteverdi_madrigals	5-15	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	1.0687022900763359	0.4732824427480916	2	27
47	monteverdi_madrigals	5-15	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	0.0	0.0	2	27
48	monteverdi_madrigals	5-17	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	0.9647058823529412	0.16470588235294117	2	28
49	monteverdi_madrigals	5-17	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	0.05263157894736842	0.0	2	28
50	monteverdi_madrigals	6-01a	1609.1691322587767	1614	Renaissance	pre-Baroque	d	minor	1.4819277108433735	0.024096385542168676	2	29
51	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	Renaissance	pre-Baroque	g	minor	0.7488584474885844	0.045662100456621	2	30
52	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	Renaissance	pre-Baroque	g	major	0.10778443113772455	0.059880239520958084	2	30
53	monteverdi_madrigals	8-18	1609.1691322587767	1638	Renaissance	pre-Baroque	C	major	0.0425531914893617	0.0	2	31
54	monteverdi_madrigals	8-18	1609.1691322587767	1638	Renaissance	pre-Baroque	C	minor	0.6008064516129032	0.012096774193548387	2	31
55	monteverdi_madrigals	8-19	1609.1691322587767	1638	Renaissance	pre-Baroque	a	minor	0.8129496402877698	0.1510791366906475	2	32
56	monteverdi_madrigals	8-19	1609.1691322587767	1638	Renaissance	pre-Baroque	a	major	0.6338028169014085	0.07746478873239436	2	32
57	monteverdi_madrigals	9-12	1609.1691322587767	1651	Renaissance	Baroque	C	major	0.0	0.0	2	33
58	monteverdi_madrigals	9-12	1609.1691322587767	1651	Renaissance	Baroque	C	minor	0.5	0.0	2	33
59	sweelinck_keyboard	SwWV258_fantasia_cromatica	1621.0	1621	Renaissance	pre-Baroque	d	minor	1.183632734530938	0.3193612774451098	3	34
60	frescobaldi_fiori_musicali	12.01_Toccata_avanti_la_Messa_della_Domenica	1635.0	1635	Renaissance	pre-Baroque	d	minor	0.9649122807017544	0.3508771929824561	4	35
61	frescobaldi_fiori_musicali	12.02_Kyrie_della_domenica	1635.0	1635	Renaissance	pre-Baroque	d	minor	0.36666666666666664	0.1	4	36
62	frescobaldi_fiori_musicali	12.03_Kyrie,_Tema_A	1635.0	1635	Renaissance	pre-Baroque	d	minor	0.7878787878787878	0.0	4	37
63	frescobaldi_fiori_musicali	12.04_Christe,_Tema_B	1635.0	1635	Renaissance	pre-Baroque	d	minor	0.5319148936170213	0.0425531914893617	4	38
64	frescobaldi_fiori_musicali	12.05_Christe,_Tema_B,_alio_modo	1635.0	1635	Renaissance	pre-Baroque	d	minor	0.9347826086956522	0.15217391304347827	4	39
65	frescobaldi_fiori_musicali	12.06_Christe,_Tema_B,_alio_modo_II	1635.0	1635	Renaissance	pre-Baroque	d	minor	0.32608695652173914	0.13043478260869565	4	40
66	frescobaldi_fiori_musicali	12.07_Christe,_Tema_B,_alio_modo_III	1635.0	1635	Renaissance	pre-Baroque	d	minor	0.4	0.14285714285714285	4	41
67	frescobaldi_fiori_musicali	12.08_Kyrie,_Tema_C	1635.0	1635	Renaissance	pre-Baroque	d	minor	0.2962962962962963	0.0	4	42
