	corpus	piece	corpus_year	piece_year	globalkey	localkey_mode	max_wl	min_wl	max_ol	min_ol	WLC	OLC	wl_fifths_range	ol_fifths_range	corpus_id	piece_id
45	monteverdi_madrigals	5-14	1609.1691322587767	1605	d	minor	5	-10	5	-3	1.037037037037037	0.2740740740740741	15	8	2	46
46	monteverdi_madrigals	5-15	1609.1691322587767	1605	d	major	5	-1	5	0	0.0	0.0	6	5	2	47
47	monteverdi_madrigals	5-15	1609.1691322587767	1605	d	minor	5	-10	5	-5	1.0687022900763359	0.4732824427480916	15	10	2	48
48	monteverdi_madrigals	5-17	1609.1691322587767	1605	d	major	6	-1	4	-1	0.05263157894736842	0.0	7	5	2	49
49	monteverdi_madrigals	5-17	1609.1691322587767	1605	d	minor	6	-6	5	-4	0.9647058823529412	0.16470588235294117	12	9	2	50
50	monteverdi_madrigals	6-01a	1609.1691322587767	1614	d	minor	5	-7	3	0	1.4819277108433735	0.024096385542168676	12	3	2	51
51	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	g	major	7	-4	6	-3	0.10778443113772455	0.059880239520958084	11	9	2	52
52	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	g	minor	5	-7	3	-4	0.7488584474885844	0.045662100456621	12	7	2	53
53	monteverdi_madrigals	8-18	1609.1691322587767	1638	C	major	6	-1	5	0	0.0425531914893617	0.0	7	5	2	54
54	monteverdi_madrigals	8-18	1609.1691322587767	1638	C	minor	5	-7	5	-4	0.6008064516129032	0.012096774193548387	12	9	2	55
55	monteverdi_madrigals	8-19	1609.1691322587767	1638	a	major	10	-4	8	-4	0.6338028169014085	0.07746478873239436	14	12	2	56
56	monteverdi_madrigals	8-19	1609.1691322587767	1638	a	minor	6	-4	5	-7	0.8129496402877698	0.1510791366906475	10	12	2	57
57	monteverdi_madrigals	9-12	1609.1691322587767	1651	C	major	5	-1	0	0	0.0	0.0	6	0	2	58
58	monteverdi_madrigals	9-12	1609.1691322587767	1651	C	minor	5	-4	0	-4	0.5	0.0	9	4	2	59
59	sweelinck_keyboard	SwWV258_fantasia_cromatica	1621.0	1621	d	minor	7	-5	6	-4	1.183632734530938	0.3193612774451098	12	10	3	60
60	frescobaldi_fiori_musicali	12.01_Toccata_avanti_la_Messa_della_Domenica	1635.0	1635	d	minor	6	-9	5	-3	0.9649122807017544	0.3508771929824561	15	8	4	61
61	frescobaldi_fiori_musicali	12.02_Kyrie_della_domenica	1635.0	1635	d	minor	5	-4	3	-3	0.36666666666666664	0.1	9	6	4	62
62	frescobaldi_fiori_musicali	12.03_Kyrie,_Tema_A	1635.0	1635	d	minor	6	-4	2	-2	0.7878787878787878	0.0	10	4	4	63
63	frescobaldi_fiori_musicali	12.04_Christe,_Tema_B	1635.0	1635	d	minor	5	-5	3	-3	0.5319148936170213	0.0425531914893617	10	6	4	64
