	corpus	piece	localkey_mode	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	r_ilc_olc	r_ilc_ild
44	monteverdi_madrigals	5-14	major	2	20	1609.1691322587767	1605	Renaissance	d	-0.1543033499620919	0.30860669992418394
45	monteverdi_madrigals	5-14	minor	2	20	1609.1691322587767	1605	Renaissance	d	0.009676578356828952	0.16916122790438964
46	monteverdi_madrigals	5-15	major	2	21	1609.1691322587767	1605	Renaissance	d	0.0	0.0
47	monteverdi_madrigals	5-15	minor	2	21	1609.1691322587767	1605	Renaissance	d	0.08588025926034674	0.3413227462693013
48	monteverdi_madrigals	5-17	major	2	22	1609.1691322587767	1605	Renaissance	d	0.0	-0.05555555555555556
49	monteverdi_madrigals	5-17	minor	2	22	1609.1691322587767	1605	Renaissance	d	-0.006189315972406745	0.23526272116588387
50	monteverdi_madrigals	6-01a	minor	2	23	1609.1691322587767	1614	Renaissance	d	0.17142143199240534	0.19824973849735852
51	monteverdi_madrigals	laudate_pueri_dominum	major	2	24	1609.1691322587767	1620	Renaissance	g	-0.05637672579672758	-0.011871206771803896
52	monteverdi_madrigals	laudate_pueri_dominum	minor	2	24	1609.1691322587767	1620	Renaissance	g	-0.13967876340347327	0.29290071817998226
53	monteverdi_madrigals	8-18	major	2	25	1609.1691322587767	1638	Renaissance	C	0.0	0.3042645966682018
54	monteverdi_madrigals	8-18	minor	2	25	1609.1691322587767	1638	Renaissance	C	-0.03316633850943566	0.20677090175879045
55	monteverdi_madrigals	8-19	major	2	26	1609.1691322587767	1638	Renaissance	a	0.02341061805878763	0.07357378431093528
56	monteverdi_madrigals	8-19	minor	2	26	1609.1691322587767	1638	Renaissance	a	0.3435745201371525	0.3585536075372507
57	monteverdi_madrigals	9-12	major	2	27	1609.1691322587767	1651	Renaissance	C	0.0	0.0
58	monteverdi_madrigals	9-12	minor	2	27	1609.1691322587767	1651	Renaissance	C	0.0	-0.08375707358896815
59	sweelinck_keyboard	SwWV258_fantasia_cromatica	minor	3	1	1621.0	1621	Renaissance	d	0.07474909869200484	0.15858734689126786
60	frescobaldi_fiori_musicali	12.01_Toccata_avanti_la_Messa_della_Domenica	minor	4	1	1635.0	1635	Renaissance	d	0.08015875645516178	0.11723627489094117
61	frescobaldi_fiori_musicali	12.02_Kyrie_della_domenica	minor	4	2	1635.0	1635	Renaissance	d	0.04777162426000125	0.14724563048454273
62	frescobaldi_fiori_musicali	12.03_Kyrie,_Tema_A	minor	4	3	1635.0	1635	Renaissance	d	0.0	0.3011618945652335
63	frescobaldi_fiori_musicali	12.04_Christe,_Tema_B	minor	4	4	1635.0	1635	Renaissance	d	0.10736818262626424	0.4812706147051258
64	frescobaldi_fiori_musicali	12.05_Christe,_Tema_B,_alio_modo	minor	4	5	1635.0	1635	Renaissance	d	-0.24437961354026524	0.6145552840815606
65	frescobaldi_fiori_musicali	12.06_Christe,_Tema_B,_alio_modo_II	minor	4	6	1635.0	1635	Renaissance	d	-0.16763526483108346	0.5290873168415884
66	frescobaldi_fiori_musicali	12.07_Christe,_Tema_B,_alio_modo_III	minor	4	7	1635.0	1635	Renaissance	d	-0.12056070554260301	0.24654101149710275
67	frescobaldi_fiori_musicali	12.08_Kyrie,_Tema_C	minor	4	8	1635.0	1635	Renaissance	d	0.0	-0.17522281750942773
68	frescobaldi_fiori_musicali	12.09_Kyrie,_Tema_D,_alio_modo_I	minor	4	9	1635.0	1635	Renaissance	d	0.24217235620703026	0.1953574931499586
69	frescobaldi_fiori_musicali	12.10_Kyrie,_Tema_D,_alio_modo_II	minor	4	10	1635.0	1635	Renaissance	d	-0.1367408532291219	0.48278825366537076
70	frescobaldi_fiori_musicali	12.11_Kyrie_ultimo	minor	4	11	1635.0	1635	Renaissance	d	-0.1244270405283118	0.14092760869634302
71	frescobaldi_fiori_musicali	12.12_Kyrie,_Tema_D,_alio_modo_III	minor	4	12	1635.0	1635	Renaissance	d	-0.08345222152874922	0.3745255768399453
72	frescobaldi_fiori_musicali	12.13_Kyrie,_Tema_D,_alio_modo_IV	minor	4	13	1635.0	1635	Renaissance	d	-0.1804716580974177	0.10997588009798656
73	frescobaldi_fiori_musicali	12.14_Canzon_dopo_l’Epistola	minor	4	14	1635.0	1635	Renaissance	d	-0.10047410287333457	0.32932067179375485
74	frescobaldi_fiori_musicali	12.15_Recercar_dopo_il_Credo	minor	4	15	1635.0	1635	Renaissance	g	0.007001372206520842	0.22651732497207755
75	frescobaldi_fiori_musicali	12.16_Toccata_cromaticha_per_l’elevatione	minor	4	16	1635.0	1635	Renaissance	a	0.056466079149999265	0.2554425228513737
76	frescobaldi_fiori_musicali	12.17_Canzon_post_il_Comune	major	4	17	1635.0	1635	Renaissance	C	0.04503207979669573	0.2885352585092506
77	frescobaldi_fiori_musicali	12.18_Toccata_avanti_la_Messa_delli_Apostoli	minor	4	18	1635.0	1635	Renaissance	d	-0.0780894317388427	0.22456225178983216
78	frescobaldi_fiori_musicali	12.19_Kyrie,_Tema_E_1	minor	4	19	1635.0	1635	Renaissance	d	-0.19628819532277714	0.21475002434721593
79	frescobaldi_fiori_musicali	12.20_Kyrie,_Tema_E_2	minor	4	20	1635.0	1635	Renaissance	d	-0.13587945842853533	0.3392211678646682
80	frescobaldi_fiori_musicali	12.21_Kyrie,_Tema_E_3	minor	4	21	1635.0	1635	Renaissance	d	-0.2636660637392581	0.5745005367460271
81	frescobaldi_fiori_musicali	12.22_Christe,_Tema_F_1	minor	4	22	1635.0	1635	Renaissance	d	-0.11616917255955378	0.40184942588923434
82	frescobaldi_fiori_musicali	12.23_Christe,_Tema_F_2	minor	4	23	1635.0	1635	Renaissance	d	-0.153212853258974	0.20401912721222948
83	frescobaldi_fiori_musicali	12.24_Kyrie,_Tema_G_1	minor	4	24	1635.0	1635	Renaissance	d	-0.12712130619240594	0.5035772537896804
84	frescobaldi_fiori_musicali	12.25_Kyrie,_Tema_G_2	minor	4	25	1635.0	1635	Renaissance	d	-0.12391197548430016	0.15727986883890585
85	frescobaldi_fiori_musicali	12.26_Kyrie,_Tema_H	minor	4	26	1635.0	1635	Renaissance	d	0.08565834720521723	0.5033720792567464
86	frescobaldi_fiori_musicali	12.27_Canzon_dopo_l'Epistola	major	4	27	1635.0	1635	Renaissance	C	-0.04140210576947884	0.30949836687356724
87	frescobaldi_fiori_musicali	12.28_Toccata_avanti_il_Recercar	minor	4	28	1635.0	1635	Renaissance	d	-0.15043991085963782	0.10587512723648831
88	frescobaldi_fiori_musicali	12.29_Recercar_cromaticho_post_il_Credo	minor	4	29	1635.0	1635	Renaissance	d	-0.0751839594666256	0.26169334388524174
89	frescobaldi_fiori_musicali	12.30_Alto_recercar	minor	4	30	1635.0	1635	Renaissance	g	0.21514010768753758	0.40481207743999686
90	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	major	4	31	1635.0	1635	Renaissance	C	0.4907374664391968	0.16699695999266306
91	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	minor	4	31	1635.0	1635	Renaissance	C	-0.07569208016852699	0.21900809484647515
92	frescobaldi_fiori_musicali	12.34_Toccata_avanti_la_Messa_della_Madonna	minor	4	32	1635.0	1635	Renaissance	d	-0.0817385108187222	0.24041542789697068
93	frescobaldi_fiori_musicali	12.35_Kyrie,_Tema_I	minor	4	33	1635.0	1635	Renaissance	d	-0.04065712546850889	0.24336262800481206
94	frescobaldi_fiori_musicali	12.36_Kyrie,_Tema_K	minor	4	34	1635.0	1635	Renaissance	d	-0.1276926105233624	0.3707029229079374
95	frescobaldi_fiori_musicali	12.37_Christe,_Tema_L	minor	4	35	1635.0	1635	Renaissance	d	-0.13496102465141402	0.18076883913165814
96	frescobaldi_fiori_musicali	12.38_Christe,_Tema_M	minor	4	36	1635.0	1635	Renaissance	d	-0.077013805962189	0.2779731629802814
97	frescobaldi_fiori_musicali	12.39_Kyrie,_Tema_N	minor	4	37	1635.0	1635	Renaissance	d	-0.13571755183585352	-0.01125801543457757
98	frescobaldi_fiori_musicali	12.40_Kyrie,_Tema_O	minor	4	38	1635.0	1635	Renaissance	d	0.27454918379886467	0.1076184741520664
99	frescobaldi_fiori_musicali	12.41_Canzon_dopo_l'Epistola	minor	4	39	1635.0	1635	Renaissance	g	-0.23829151841232432	0.03911287815485984
100	frescobaldi_fiori_musicali	12.42_Recercar_dopo_il_Credo	minor	4	40	1635.0	1635	Renaissance	g	-0.11579082854631771	-0.11502628109703059
101	frescobaldi_fiori_musicali	12.43_Toccata_avanti_il_Recercar	minor	4	41	1635.0	1635	Renaissance	a	-0.13343012478784377	0.18438786885373065
102	frescobaldi_fiori_musicali	12.44_Recercar_con_obligo_di_cantare_la_quinta_parte_non_senza_toccarla	minor	4	42	1635.0	1635	Renaissance	a	0.04822401469094646	0.2289285764841747
103	frescobaldi_fiori_musicali	12.46_Bergamasca	major	4	43	1635.0	1635	Renaissance	G	-0.14278788254959268	0.26727150309677467
104	frescobaldi_fiori_musicali	12.47_Capriccio_sopra_la_Girolmeta	major	4	44	1635.0	1635	Renaissance	G	-0.055856236570771295	0.36238833775516666
