	corpus	piece	corpus_year	piece_year	period	globalkey	localkey_mode	total_WLD	chord_num	avg_WLD	corpus_id	piece_id
47	frescobaldi_fiori_musicali	12.14_Canzon_dopo_l’Epistola	1635.0	1635	Renaissance	d	minor	55.3161	211	0.2621616113744076	4	48
48	frescobaldi_fiori_musicali	12.15_Recercar_dopo_il_Credo	1635.0	1635	Renaissance	g	minor	35.533100000000005	162	0.21934012345679016	4	49
49	frescobaldi_fiori_musicali	12.16_Toccata_cromaticha_per_l’elevatione	1635.0	1635	Renaissance	a	minor	57.215900000000005	199	0.2875170854271357	4	50
50	frescobaldi_fiori_musicali	12.17_Canzon_post_il_Comune	1635.0	1635	Renaissance	C	major	54.2961	213	0.2549112676056338	4	51
51	frescobaldi_fiori_musicali	12.18_Toccata_avanti_la_Messa_delli_Apostoli	1635.0	1635	Renaissance	d	minor	22.5931	74	0.30531216216216217	4	52
52	frescobaldi_fiori_musicali	12.19_Kyrie,_Tema_E_1	1635.0	1635	Renaissance	d	minor	11.0665	46	0.24057608695652172	4	53
53	frescobaldi_fiori_musicali	12.20_Kyrie,_Tema_E_2	1635.0	1635	Renaissance	d	minor	17.3496	63	0.2753904761904762	4	54
54	frescobaldi_fiori_musicali	12.21_Kyrie,_Tema_E_3	1635.0	1635	Renaissance	d	minor	9.9999	45	0.22222	4	55
55	frescobaldi_fiori_musicali	12.22_Christe,_Tema_F_1	1635.0	1635	Renaissance	d	minor	10.4666	43	0.2434093023255814	4	56
56	frescobaldi_fiori_musicali	12.23_Christe,_Tema_F_2	1635.0	1635	Renaissance	d	minor	13.083300000000001	52	0.2516019230769231	4	57
57	frescobaldi_fiori_musicali	12.24_Kyrie,_Tema_G_1	1635.0	1635	Renaissance	d	minor	11.466600000000001	51	0.22483529411764708	4	58
58	frescobaldi_fiori_musicali	12.25_Kyrie,_Tema_G_2	1635.0	1635	Renaissance	d	minor	14.9166	65	0.22948615384615387	4	59
59	frescobaldi_fiori_musicali	12.26_Kyrie,_Tema_H	1635.0	1635	Renaissance	d	minor	17.0664	63	0.27089523809523813	4	60
60	frescobaldi_fiori_musicali	12.27_Canzon_dopo_l'Epistola	1635.0	1635	Renaissance	C	major	49.5825	208	0.23837740384615386	4	61
61	frescobaldi_fiori_musicali	12.28_Toccata_avanti_il_Recercar	1635.0	1635	Renaissance	d	minor	19.7465	60	0.32910833333333334	4	62
62	frescobaldi_fiori_musicali	12.29_Recercar_cromaticho_post_il_Credo	1635.0	1635	Renaissance	d	minor	63.8654	244	0.26174344262295085	4	63
63	frescobaldi_fiori_musicali	12.30_Alto_recercar	1635.0	1635	Renaissance	g	minor	81.6153	314	0.25992133757961783	4	64
64	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	1635.0	1635	Renaissance	C	major	54.5155	211	0.25836729857819907	4	65
