pitches	interval_class	rating
55,57,62,64	2,2,3,5,5,5	2.4
55,57,62,65	2,2,3,4,5,5	2.367
54,56,61,65	1,2,3,4,5,5	2.867
54,56,61,66	2,5,5	3.1
55,57,63,64	1,2,3,4,5,6	1.4
54,56,62,64	2,2,2,4,4,6	2.167
54,56,62,65	1,2,3,3,4,6	2.167
54,56,62,66	2,4,6	2.433
54,56,63,64	1,2,2,3,4,5	1.533
54,56,63,65	1,2,2,3,3,5	2.067
54,56,63,66	2,3,5	2.6
54,56,64,65	1,1,2,2,3,4	1.433
53,55,63,65	2,2,4	2.1
53,55,64,65	1,2,3	2.133
57,60,61,62	1,1,2,3,4,5	1.467
57,60,61,63	1,2,3,3,4,6	1.7
56,59,60,63	1,3,3,4,4,5	1.8
56,59,60,64	1,3,4,4,4,5	2.133
56,59,60,65	1,3,3,4,5,6	1.667
55,58,59,65	1,2,3,4,5,6	1.833
55,58,59,66	1,1,3,4,4,5	1.567
55,58,59,67	1,3,4	1.533
56,59,61,62	1,2,3,3,5,6	1.767
56,59,61,63	2,2,3,4,5,5	2.933
56,59,61,64	2,3,3,4,5,5	2.9
55,58,60,64	2,3,3,4,5,6	2.933
55,58,60,65	2,2,3,5,5,5	2.533
55,58,60,66	1,2,3,4,5,6	1.833
54,57,59,66	2,3,5	2.567
56,59,62,63	1,3,3,4,5,6	2.033
55,58,61,63	2,3,3,4,5,6	3
55,58,61,64	3,3,3,3,6,6	1.733
55,58,61,65	2,3,3,4,5,6	2.6
55,58,61,66	1,3,3,4,5,6	1.867
54,57,60,66	3,3,6	2.867
55,58,62,63	1,3,4,4,5,5	2.8
55,58,62,64	2,3,3,4,5,6	2.467
54,57,61,64	2,3,3,4,5,5	3.067
54,57,61,65	1,3,4,4,4,5	1.933
54,57,61,66	3,4,5	3.467
55,58,63,64	1,3,3,4,5,6	1.7
54,57,62,64	2,2,3,4,5,5	3.2
54,57,62,65	1,3,3,4,4,5	2.367
54,57,62,66	3,4,5	3.767
54,57,63,64	1,2,3,3,5,6	1.733
54,57,63,65	1,2,3,3,4,6	2.033
53,56,62,65	3,3,6	2.433
53,56,63,64	1,1,2,3,4,5	1.5
53,56,63,65	2,3,5	3.1
53,56,64,65	1,3,4	1.767
56,60,61,62	1,1,2,4,5,6	1.633
56,60,61,63	1,2,3,4,5,5	2.8
56,60,61,64	1,3,4,4,4,5	1.867
55,59,60,64	1,3,4,4,5,5	3
55,59,60,65	1,2,4,5,5,6	2
55,59,60,66	1,1,4,5,5,6	2.1
54,58,59,66	1,4,5	2.5
56,60,62,63	1,2,3,4,5,6	2.233
55,59,61,63	2,2,4,4,4,6	2.233
55,59,61,64	2,3,3,4,5,6	2.567
55,59,61,65	2,2,4,4,6,6	1.833
54,58,60,65	1,2,4,5,5,6	2.433
54,58,60,66	2,4,6	2.733
55,59,62,63	1,3,4,4,4,5	1.9
55,59,62,64	2,3,3,4,5,5	2.967
54,58,61,64	2,3,3,4,5,6	2.533
54,58,61,65	1,3,4,4,5,5	3.3
54,58,61,66	3,4,5	3.833
54,58,62,63	1,3,4,4,4,5	1.667
54,58,62,64	2,2,4,4,4,6	1.7
54,58,62,65	1,3,4,4,4,5	1.967
53,57,61,65	4,4,4	2.367
54,58,63,64	1,2,3,4,5,6	1.567
54,58,63,65	1,2,3,4,5,5	2.667
53,57,62,65	3,4,5	3.233
53,57,63,64	1,1,2,4,5,6	1.7
53,57,63,65	2,4,6	2.467
53,57,64,65	1,4,5	3.333
55,60,61,62	1,1,2,5,5,6	1.433
55,60,61,63	1,2,3,4,5,6	1.767
55,60,61,64	1,3,3,4,5,6	2.233
54,59,60,64	1,2,4,5,5,6	2.067
54,59,60,65	1,1,5,5,6,6	1.833
54,59,60,66	1,5,6	2.133
55,60,62,63	1,2,3,4,5,5	2.067
54,59,61,63	2,2,3,4,5,5	3.233
54,59,61,64	2,2,3,5,5,5	2.733
54,59,61,65	1,2,4,5,5,6	2.633
53,58,60,65	2,5,5	3.5
54,59,62,63	1,3,3,4,4,5	1.733
54,59,62,64	2,2,3,4,5,5	2.567
54,59,62,65	1,3,3,4,5,6	1.933
53,58,61,65	3,4,5	3.4
54,59,63,64	1,2,3,4,5,5	2.233
53,58,62,64	1,2,3,4,5,6	2.4
53,58,62,65	3,4,5	3.8
53,58,63,64	1,1,2,5,5,6	1.467
53,58,63,65	2,5,5	3.133
52,57,63,64	1,5,6	2.2
54,60,61,62	1,1,2,4,5,6	2.033
54,60,61,63	1,2,3,3,5,6	2.067
54,60,61,64	1,2,3,4,5,6	1.767
54,60,61,65	1,1,4,5,5,6	2.233
53,59,60,65	1,5,6	2.467
54,60,62,63	1,2,3,3,4,6	1.4
54,60,62,64	2,2,2,4,4,6	2.2
53,59,61,64	1,2,3,4,5,6	1.967
53,59,61,65	2,4,6	3.067
53,59,62,63	1,2,3,3,4,6	1.567
53,59,62,64	1,2,3,3,5,6	2.233
