	version	globalkey	localkey	chord	root	r_chromaticity	ct	ct_chromaticity	nct	nct_chromaticity
94169	var6	A	I	V43	1	0	[2, -1, 5]	0	[1, 4]	0
94170	var6	A	I	I6	0	0	[4, 1]	0	[3]	0
94171	var6	A	I	I	0	0	[4, 1]	0	[-1, 0]	0
94172	var6	A	I	V6	1	0	[5, 2]	0	[1, 4, 7]	2
94173	var6	A	I	I	0	0	[4, 1]	0	[0, 2]	0
94174	var6	A	I	V43	1	0	[2, -1, 5]	0	[1]	0
94175	var6	A	I	V2	1	0	[-1, 5, 2]	0	[1, 4]	0
94176	var6	A	I	I6	0	0	[4, 1]	0	[0, 5, 7]	2
94177	var6	A	I	V6	1	0	[5, 2]	0	[9, 1]	4
94178	var6	A	I	I	0	0	[4, 1]	0	[0]	0
94179	var6	A	I	ii6	2	0	[-1, 3]	0	[2]	0
94180	var6	A	I	V(64)	1	0	[0, 4]	0	[1]	0
94181	var6	A	I	V	1	0	[5, 2]	0	[]	0
94182	var6	A	I	I	0	0	[4, 1]	0	[-1, 0, 2, 3]	0
94183	var6	A	I	V	1	0	[5, 2]	0	[0, 1, 4]	0
94184	var6	A	I	V7	1	0	[5, 2, -1]	0	[1, 4]	0
94185	var6	A	I	vi	3	0	[0, 4]	0	[2, 3]	0
94186	var6	A	I	viio	5	0	[2, -1]	0	[5, 4]	0
94187	var6	A	I	I	0	0	[4, 1]	0	[0]	0
94188	var6	A	I	IV	-1	0	[3, 0]	0	[-1]	0
94189	var6	A	I	viio	5	0	[2, -1]	0	[5]	0
94190	var6	A	I	I	0	0	[4, 1]	0	[0]	0
94191	var6	A	I	vi	3	0	[0, 4]	0	[3]	0
94192	var6	A	I	ii6	2	0	[-1, 3]	0	[2]	0
94193	var6	A	I	V	1	0	[5, 2]	0	[1]	0
94194	var6	A	I	I	0	0	[4, 1]	0	[-1, 0, 2, 3, 5]	0
