	version	globalkey	localkey	chord	root	r_chromaticity	ct	ct_chromaticity	nct	nct_chromaticity
94015	var3	A	i	i	0	0	[-3, 1]	0	[-1, 0, 2, 6, -4]	4
94016	var3	A	i	V	1	0	[5, 2]	3	[-3, 0, 1]	0
94017	var3	A	i	V7	1	0	[5, 2, -1]	3	[-3, 1, 4]	2
94018	var3	A	i	i	0	0	[-3, 1]	0	[6, 0]	4
94019	var3	A	i	V43	1	0	[2, -1, 5]	3	[1, -4]	0
94020	var3	A	i	i6	0	0	[-3, 1]	0	[0, 2]	0
94021	var3	A	i	V64	1	0	[2, 5]	3	[0, 1]	0
94022	var3	A	i	i	0	0	[-3, 1]	0	[0, 2]	0
94023	var3	A	i	V(64)	1	0	[0, -3]	0	[6, 1]	4
94024	var3	A	i	V	1	0	[5, 2]	3	[1]	0
94025	var3	A	i	i	0	0	[-3, 1]	0	[-1, 0, 2, 6, -4]	4
94026	var3	A	i	V	1	0	[5, 2]	3	[-3, 0, 1]	0
94027	var3	A	i	V7	1	0	[5, 2, -1]	3	[-3, 1, 4]	2
94028	var3	A	i	i	0	0	[-3, 1]	0	[5, 0]	3
94029	var3	A	i	V65	1	0	[5, 2, -1]	3	[1]	0
94030	var3	A	i	i	0	0	[-3, 1]	0	[0, 2]	0
94031	var3	A	i	iv6	-1	0	[-4, 0]	0	[-1]	0
94032	var3	A	i	V(64)	1	0	[0, -3]	0	[6, 1]	4
94033	var3	A	i	V	1	0	[5, 2]	3	[1, 3]	1
94034	var3	A	i	i	0	0	[-3, 1]	0	[5, 0]	3
