	version	globalkey	localkey	chord	root	r_chromaticity	ct	ct_chromaticity	nct	nct_chromaticity
93963	var2	A	I	V43	1	0	[2, -1, 5]	0	[1, 4, 6]	1
93964	var2	A	I	I6	0	0	[4, 1]	0	[6]	1
93965	var2	A	I	I	0	0	[4, 1]	0	[-1, 0, 3, 6]	1
93966	var2	A	I	V6	1	0	[5, 2]	0	[6, 1]	1
93967	var2	A	I	I	0	0	[4, 1]	0	[0, 2, 6]	1
93968	var2	A	I	V43	1	0	[2, -1, 5]	0	[6, 1]	1
93969	var2	A	I	V65	1	0	[5, 2, -1]	0	[1, 4, 6]	1
93970	var2	A	I	vi7	3	0	[0, 4, 1]	0	[3, 5, 6]	1
93971	var2	A	I	V65	1	0	[5, 2, -1]	0	[0, 1]	0
93972	var2	A	I	I	0	0	[4, 1]	0	[0]	0
93973	var2	A	I	ii6	2	0	[-1, 3]	0	[1, 2]	0
93974	var2	A	I	V(64)	1	0	[0, 4]	0	[1]	0
93975	var2	A	I	V	1	0	[5, 2]	0	[1]	0
93976	var2	A	I	I	0	0	[4, 1]	0	[-1, 0, 2, 3, 5]	0
93977	var2	A	I	V	1	0	[5, 2]	0	[0, 1, 4, 6]	1
93978	var2	A	I	V7	1	0	[5, 2, -1]	0	[1, 4, 6]	1
93979	var2	A	I	vi7	3	0	[0, 4, 1]	0	[3, 8]	3
93980	var2	A	I	V65	1	0	[5, 2, -1]	0	[1]	0
93981	var2	A	I	I	0	0	[4, 1]	0	[5, 0]	0
93982	var2	A	I	ii6	2	0	[-1, 3]	0	[2]	0
93983	var2	A	I	V(64)	1	0	[0, 4]	0	[6, 1]	1
93984	var2	A	I	V7	1	0	[5, 2, -1]	0	[1]	0
93985	var2	A	I	I	0	0	[4, 1]	0	[-1, 0, 2, 5]	0
