	version	globalkey	localkey	chord	root	r_chromaticity	ct	ct_chromaticity	nct	nct_chromaticity
94105	var5	A	I	V43	1	0	[2, -1, 5]	0	[1]	0
94106	var5	A	I	I	0	0	[4, 1]	0	[-1, 0, 3]	0
94107	var5	A	I	V6	1	0	[5, 2]	0	[1, 4, 6]	1
94108	var5	A	I	I	0	0	[4, 1]	0	[0]	0
94109	var5	A	I	#viio/ii	7	2	[4, 1]	0	[6, 7]	3
94110	var5	A	I	V43	1	0	[2, -1, 5]	0	[6, 1]	1
94111	var5	A	I	V	1	0	[5, 2]	0	[-1, 1, 4]	0
94112	var5	A	I	vi7	3	0	[0, 4, 1]	0	[-1, 2, 3, 5, 6]	1
94113	var5	A	I	V6	1	0	[5, 2]	0	[-1, 1, 4, 6, 7]	3
94114	var5	A	I	I	0	0	[4, 1]	0	[-1, 0, 9]	4
94115	var5	A	I	vi	3	0	[0, 4]	0	[-1, 3, 9]	4
94116	var5	A	I	ii6	2	0	[-1, 3]	0	[1, 2, 4]	0
94117	var5	A	I	V	1	0	[5, 2]	0	[0, 1, 3, 4, 6, 7, 10]	8
94118	var5	A	I	I	0	0	[4, 1]	0	[-1, 0, 2, 6, 7, 9]	7
94119	var5	A	I	I	0	0	[4, 1]	0	[-1, 0, 2, 3, 5]	0
94120	var5	A	I	V	1	0	[5, 2]	0	[-3, 0, 1, 4, 7]	4
94121	var5	A	I	V7	1	0	[5, 2, -1]	0	[0, 1, 3, 4]	0
94122	var5	A	I	vi7	3	0	[0, 4, 1]	0	[-1, 2, 3]	0
94123	var5	A	I	V6	1	0	[5, 2]	0	[-1, 1, 7]	2
94124	var5	A	I	I	0	0	[4, 1]	0	[0, 9]	4
94125	var5	A	I	ii65	2	0	[-1, 3, 0]	0	[2]	0
94126	var5	A	I	V(64)	1	0	[0, 4]	0	[1, 3, 6]	1
94127	var5	A	I	V7(4)	1	0	[0, 2, -1]	0	[]	0
94128	var5	A	I	V7	1	0	[5, 2, -1]	0	[4]	0
94129	var5	A	I	I(974)	0	0	[-1, 1, 2, 5]	0	[0]	0
94130	var5	A	I	I	0	0	[4, 1]	0	[-1, 0, 2, 5]	0
