	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey	localkey_mode	WLC	OLC	corpus_id	piece_id
45	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	I	major	0.02564102564102564	0.0	2	7
46	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	IV	major	0.0	0.0	2	7
47	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	I	major	0.0	0.0	2	7
48	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	V	major	0.0	0.1	2	7
49	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	I	major	0.018867924528301886	0.0	2	7
50	monteverdi_madrigals	3-09	1609.1691322587767	1592	Renaissance	pre-Baroque	F	I	major	0.015789473684210527	0.005263157894736842	2	8
51	monteverdi_madrigals	3-11	1609.1691322587767	1592	Renaissance	pre-Baroque	F	I	major	0.015789473684210527	0.005263157894736842	2	9
52	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	minor	1.1578947368421053	0.0	2	10
53	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	iv	minor	1.0	0.5833333333333334	2	10
54	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	minor	1.1538461538461537	0.0	2	10
55	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	v	minor	0.4492753623188406	0.057971014492753624	2	10
56	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	minor	0.88	0.04	2	10
57	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	v	minor	0.5454545454545454	0.0	2	10
58	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	minor	0.5	0.0	2	10
59	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	iv	minor	1.5	0.0	2	10
60	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	minor	0.9090909090909091	0.0	2	10
61	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	minor	1.1578947368421053	0.0	2	11
