2023-11-27 16:10:52,652 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 7, midi: 61, name: C#4
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 2, midi: 74, name: D5
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 7, midi: 73, name: C#5
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 2, midi: 50, name: D3
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 6, midi: 54, name: F#3
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 2, midi: 74, name: D5
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 5, midi: 71, name: B4
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 10, midi: 70, name: A#4
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 5, midi: 71, name: B4
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 1, midi: 67, name: G4
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n03op18-3_04, quarterbeats: nan, tpc: 6, midi: 66, name: F#4
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n04op18-4_01, quarterbeats: nan, tpc: 5, midi: 47, name: B2
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n04op18-4_01, quarterbeats: nan, tpc: 5, midi: 59, name: B3
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n04op18-4_01, quarterbeats: nan, tpc: 5, midi: 59, name: B3
2023-11-27 16:10:52,653 - WARNING - corpus: ABC, piece: n04op18-4_01, quarterbeats: nan, tpc: 5, midi: 59, name: B3
