	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	total_WLD	chord_num	avg_WLD	corpus_id	piece_id
43	frescobaldi_fiori_musicali	12.10_Kyrie,_Tema_D,_alio_modo_II	1635.0	1635	Renaissance	pre-Baroque	d	minor	27.40916	52	0.5270992307692308	4	44
44	frescobaldi_fiori_musicali	12.11_Kyrie_ultimo	1635.0	1635	Renaissance	pre-Baroque	d	minor	35.23704	65	0.5421083076923077	4	45
45	frescobaldi_fiori_musicali	12.12_Kyrie,_Tema_D,_alio_modo_III	1635.0	1635	Renaissance	pre-Baroque	d	minor	49.58924	84	0.5903480952380952	4	46
46	frescobaldi_fiori_musicali	12.13_Kyrie,_Tema_D,_alio_modo_IV	1635.0	1635	Renaissance	pre-Baroque	d	minor	32.463609999999996	48	0.6763252083333332	4	47
47	frescobaldi_fiori_musicali	12.14_Canzon_dopo_l’Epistola	1635.0	1635	Renaissance	pre-Baroque	d	minor	121.96481999999999	211	0.5780323222748814	4	48
48	frescobaldi_fiori_musicali	12.15_Recercar_dopo_il_Credo	1635.0	1635	Renaissance	pre-Baroque	g	minor	80.92927	162	0.4995633950617284	4	49
49	frescobaldi_fiori_musicali	12.16_Toccata_cromaticha_per_l’elevatione	1635.0	1635	Renaissance	pre-Baroque	a	minor	125.51324	199	0.6307197989949749	4	50
50	frescobaldi_fiori_musicali	12.17_Canzon_post_il_Comune	1635.0	1635	Renaissance	pre-Baroque	C	major	121.04227999999999	213	0.5682736150234742	4	51
51	frescobaldi_fiori_musicali	12.18_Toccata_avanti_la_Messa_delli_Apostoli	1635.0	1635	Renaissance	pre-Baroque	d	minor	48.75168	74	0.6588064864864865	4	52
52	frescobaldi_fiori_musicali	12.19_Kyrie,_Tema_E_1	1635.0	1635	Renaissance	pre-Baroque	d	minor	24.76212	46	0.5383069565217391	4	53
53	frescobaldi_fiori_musicali	12.20_Kyrie,_Tema_E_2	1635.0	1635	Renaissance	pre-Baroque	d	minor	37.57023	63	0.5963528571428571	4	54
54	frescobaldi_fiori_musicali	12.21_Kyrie,_Tema_E_3	1635.0	1635	Renaissance	pre-Baroque	d	minor	22.66263	45	0.503614	4	55
55	frescobaldi_fiori_musicali	12.22_Christe,_Tema_F_1	1635.0	1635	Renaissance	pre-Baroque	d	minor	23.56213	43	0.5479565116279069	4	56
56	frescobaldi_fiori_musicali	12.23_Christe,_Tema_F_2	1635.0	1635	Renaissance	pre-Baroque	d	minor	29.437749999999998	52	0.5661105769230769	4	57
57	frescobaldi_fiori_musicali	12.24_Kyrie,_Tema_G_1	1635.0	1635	Renaissance	pre-Baroque	d	minor	25.9061	51	0.5079627450980392	4	58
58	frescobaldi_fiori_musicali	12.25_Kyrie,_Tema_G_2	1635.0	1635	Renaissance	pre-Baroque	d	minor	33.90666	65	0.5216409230769231	4	59
59	frescobaldi_fiori_musicali	12.26_Kyrie,_Tema_H	1635.0	1635	Renaissance	pre-Baroque	d	minor	37.34945	63	0.5928484126984127	4	60
60	frescobaldi_fiori_musicali	12.27_Canzon_dopo_l'Epistola	1635.0	1635	Renaissance	pre-Baroque	C	major	110.51395	208	0.5313170673076922	4	61
61	frescobaldi_fiori_musicali	12.28_Toccata_avanti_il_Recercar	1635.0	1635	Renaissance	pre-Baroque	d	minor	42.18729	60	0.7031215	4	62
