	corpus	piece	localkey_mode	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	r_WLC_OLC	r_WLC_WLD	corpus_id	piece_id
0	ABC	n01op18-1_01	major	1812.0509746203827	1799	Classical	Classical	F	0.09811103004613773	0.46614796981105683	1	1
1	ABC	n01op18-1_01	minor	1812.0509746203827	1799	Classical	Classical	F	0.06456226793522851	0.6282859777941292	1	1
2	ABC	n01op18-1_02	major	1812.0509746203827	1799	Classical	Classical	d	-0.10247505979324507	0.10690688177927513	1	2
3	ABC	n01op18-1_02	minor	1812.0509746203827	1799	Classical	Classical	d	-0.09002561077378661	0.5573232790342789	1	2
4	ABC	n01op18-1_03	major	1812.0509746203827	1799	Classical	Classical	F	-0.054769058055094	0.503137802539217	1	3
5	ABC	n01op18-1_03	minor	1812.0509746203827	1799	Classical	Classical	F	-0.12364931583072822	0.443229233535303	1	3
6	ABC	n01op18-1_04	major	1812.0509746203827	1799	Classical	Classical	F	0.06824556874588988	0.1833861067543349	1	4
7	ABC	n01op18-1_04	minor	1812.0509746203827	1799	Classical	Classical	F	0.20359386492336323	0.6528845476560163	1	4
8	ABC	n02op18-2_01	major	1812.0509746203827	1800	Classical	Extended tonality	G	0.06517683580831488	0.3357221535588476	1	5
9	ABC	n02op18-2_01	minor	1812.0509746203827	1800	Classical	Extended tonality	G	0.27655602668100215	0.5726244032521242	1	5
10	ABC	n02op18-2_02	major	1812.0509746203827	1800	Classical	Extended tonality	C	-0.037889333068066265	0.29564566188729097	1	6
11	ABC	n02op18-2_03	major	1812.0509746203827	1800	Classical	Extended tonality	G	0.0014912563458744825	0.17652844644751312	1	7
12	ABC	n02op18-2_04	major	1812.0509746203827	1800	Classical	Extended tonality	G	0.06481129346351071	0.47315888008695534	1	8
13	ABC	n02op18-2_04	minor	1812.0509746203827	1800	Classical	Extended tonality	G	-0.12048649052540766	0.6742098620936325	1	8
14	ABC	n03op18-3_01	major	1812.0509746203827	1799	Classical	Classical	D	0.16241809926954093	0.33472866624987285	1	9
15	ABC	n03op18-3_01	minor	1812.0509746203827	1799	Classical	Classical	D	-0.29220276403473083	0.5377453555541425	1	9
16	ABC	n03op18-3_02	major	1812.0509746203827	1799	Classical	Classical	Bb	0.07407308250879177	0.4471523607672722	1	10
17	ABC	n03op18-3_02	minor	1812.0509746203827	1799	Classical	Classical	Bb	0.029083032061792913	0.47205388323650754	1	10
18	ABC	n03op18-3_03	major	1812.0509746203827	1799	Classical	Classical	D	0.17644012472777973	0.30091894361456933	1	11
19	ABC	n03op18-3_03	minor	1812.0509746203827	1799	Classical	Classical	D	-0.29311057781400884	0.6817380725959566	1	11
20	ABC	n03op18-3_04	major	1812.0509746203827	1799	Classical	Classical	D	-0.03848420027192121	0.30161044577602336	1	12
21	ABC	n03op18-3_04	minor	1812.0509746203827	1799	Classical	Classical	D	-0.06980904609658387	0.6182951302234949	1	12
22	ABC	n04op18-4_01	major	1812.0509746203827	1799	Classical	Classical	c	-0.056735081583386165	0.3927835893340167	1	13
23	ABC	n04op18-4_01	minor	1812.0509746203827	1799	Classical	Classical	c	-0.14657916618185426	0.4194910679472897	1	13
24	ABC	n04op18-4_02	major	1812.0509746203827	1799	Classical	Classical	C	0.17968217128241823	0.29533901820645214	1	14
25	ABC	n04op18-4_02	minor	1812.0509746203827	1799	Classical	Classical	C	-0.18340520912072003	0.7362565299634662	1	14
26	ABC	n04op18-4_03	major	1812.0509746203827	1799	Classical	Classical	c	-0.04190990671703345	0.4916803995914175	1	15
27	ABC	n04op18-4_03	minor	1812.0509746203827	1799	Classical	Classical	c	0.06090325783995014	0.6403868170837238	1	15
28	ABC	n04op18-4_04	major	1812.0509746203827	1799	Classical	Classical	c	-0.10764137078496996	0.3579767119105571	1	16
29	ABC	n04op18-4_04	minor	1812.0509746203827	1799	Classical	Classical	c	-0.1497436879094316	0.4768434331307989	1	16
30	ABC	n05op18-5_01	major	1812.0509746203827	1799	Classical	Classical	A	0.08762377130711548	0.24358829083146327	1	17
31	ABC	n05op18-5_01	minor	1812.0509746203827	1799	Classical	Classical	A	0.022413379414081412	0.5530580185323241	1	17
32	ABC	n05op18-5_02	major	1812.0509746203827	1799	Classical	Classical	A	-0.056605492227128115	0.2180894915526612	1	18
33	ABC	n05op18-5_02	minor	1812.0509746203827	1799	Classical	Classical	A	-0.28462722678592794	0.6942086388064399	1	18
34	ABC	n05op18-5_03	major	1812.0509746203827	1799	Classical	Classical	D	0.048745120296733654	0.30199775625830383	1	19
35	ABC	n05op18-5_03	minor	1812.0509746203827	1799	Classical	Classical	D	-0.3162277660168379	0.7469696804167084	1	19
36	ABC	n05op18-5_04	major	1812.0509746203827	1799	Classical	Classical	A	-0.0070208103556314815	0.32727069770390904	1	20
37	ABC	n05op18-5_04	minor	1812.0509746203827	1799	Classical	Classical	A	0.37219730941704043	0.848139610183429	1	20
38	ABC	n06op18-6_01	major	1812.0509746203827	1800	Classical	Extended tonality	Bb	0.07732331907592539	0.25120810127225	1	21
39	ABC	n06op18-6_01	minor	1812.0509746203827	1800	Classical	Extended tonality	Bb	0.018463723646899948	0.6205444578909689	1	21
