	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period_Johannes	period_Fabian	globalkey	localkey_mode	WLC	OLC	WLD
40	monteverdi_madrigals	5-10	2	24	1609.1691322587767	1605	pre-Baroque	Renaissance	g	minor	0.8831168831168831	0.05194805194805195	0.5195462337662338
41	monteverdi_madrigals	5-10	2	24	1609.1691322587767	1605	pre-Baroque	Renaissance	g	major	0.0	0.047619047619047616	0.49311952380952373
42	monteverdi_madrigals	5-11	2	25	1609.1691322587767	1605	pre-Baroque	Renaissance	g	minor	1.338235294117647	0.08823529411764706	0.5868747058823529
43	monteverdi_madrigals	5-11	2	25	1609.1691322587767	1605	pre-Baroque	Renaissance	g	major	0.1566265060240964	0.03614457831325301	0.571827469879518
44	monteverdi_madrigals	5-14	2	26	1609.1691322587767	1605	pre-Baroque	Renaissance	d	minor	1.037037037037037	0.2740740740740741	0.5601246666666666
45	monteverdi_madrigals	5-14	2	26	1609.1691322587767	1605	pre-Baroque	Renaissance	d	major	0.25	0.125	0.5642225
46	monteverdi_madrigals	5-15	2	27	1609.1691322587767	1605	pre-Baroque	Renaissance	d	minor	1.0687022900763359	0.4732824427480916	0.531358320610687
47	monteverdi_madrigals	5-15	2	27	1609.1691322587767	1605	pre-Baroque	Renaissance	d	major	0.0	0.0	0.47
48	monteverdi_madrigals	5-17	2	28	1609.1691322587767	1605	pre-Baroque	Renaissance	d	minor	0.9647058823529412	0.16470588235294117	0.5017155294117647
49	monteverdi_madrigals	5-17	2	28	1609.1691322587767	1605	pre-Baroque	Renaissance	d	major	0.05263157894736842	0.0	0.5096726315789473
50	monteverdi_madrigals	6-01a	2	29	1609.1691322587767	1614	pre-Baroque	Renaissance	d	minor	1.4819277108433735	0.024096385542168676	0.7364532530120481
51	monteverdi_madrigals	laudate_pueri_dominum	2	30	1609.1691322587767	1620	pre-Baroque	Renaissance	g	minor	0.7488584474885844	0.045662100456621	0.5507179908675799
52	monteverdi_madrigals	laudate_pueri_dominum	2	30	1609.1691322587767	1620	pre-Baroque	Renaissance	g	major	0.10778443113772455	0.059880239520958084	0.512787005988024
53	monteverdi_madrigals	8-18	2	31	1609.1691322587767	1638	pre-Baroque	Renaissance	C	major	0.0425531914893617	0.0	0.5285082978723404
