	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period_Johannes	period_Fabian	globalkey	localkey	WLC	OLC	WLD
36	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	pre-Baroque	Renaissance	C	VI	0.0	0.0	0.47
37	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	pre-Baroque	Renaissance	C	V	0.37714285714285717	0.05142857142857143	0.21588076388888885
38	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	pre-Baroque	Renaissance	C	bVII	0.13043478260869565	0.0	0.2324535294117647
39	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	pre-Baroque	Renaissance	C	V	0.43859649122807015	0.05263157894736842	0.06375874999999999
40	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	pre-Baroque	Renaissance	C	IV	0.4482758620689655	0.0	0.37173225
41	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	pre-Baroque	Renaissance	C	V	0.3142857142857143	0.05714285714285714	0.03971912037037036
42	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	pre-Baroque	Renaissance	C	v	0.7613636363636364	0.13636363636363635	0.4755171590909091
43	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	pre-Baroque	Renaissance	F	I	0.06779661016949153	0.0	0.15007209999999999
44	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	pre-Baroque	Renaissance	F	IV	0.0	0.0	0.3133333333333333
45	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	pre-Baroque	Renaissance	F	I	0.02564102564102564	0.0	0.20168315
46	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	pre-Baroque	Renaissance	F	IV	0.0	0.0	0.17154333333333333
47	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	pre-Baroque	Renaissance	F	I	0.0	0.0	0.023499999999999997
48	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	pre-Baroque	Renaissance	F	V	0.0	0.1	0.4699999999999999
49	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	pre-Baroque	Renaissance	F	I	0.018867924528301886	0.0	0.13839964999999999
50	monteverdi_madrigals	3-09	2	8	1609.1691322587767	1592	pre-Baroque	Renaissance	F	I	0.015789473684210527	0.005263157894736842	0.5712844210526316
51	monteverdi_madrigals	3-11	2	9	1609.1691322587767	1592	pre-Baroque	Renaissance	F	I	0.015789473684210527	0.005263157894736842	0.5712844210526316
52	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	pre-Baroque	Renaissance	d	i	1.1578947368421053	0.0	0.1366648684210526
53	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	pre-Baroque	Renaissance	d	iv	1.0	0.5833333333333334	0.3133333333333333
54	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	pre-Baroque	Renaissance	d	i	1.1538461538461537	0.0	0.09670118421052631
55	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	pre-Baroque	Renaissance	d	v	0.4492753623188406	0.057971014492753624	0.4194964835164835
56	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	pre-Baroque	Renaissance	d	i	0.88	0.04	0.18973802631578948
57	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	pre-Baroque	Renaissance	d	v	0.5454545454545454	0.0	0.15923395604395604
58	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	pre-Baroque	Renaissance	d	i	0.5	0.0	0.049473684210526316
59	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	pre-Baroque	Renaissance	d	iv	1.5	0.0	0.15666666666666665
60	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	pre-Baroque	Renaissance	d	i	0.9090909090909091	0.0	0.07538973684210526
61	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	pre-Baroque	Renaissance	d	i	1.1578947368421053	0.0	0.1366648684210526
62	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	pre-Baroque	Renaissance	d	iv	1.0	0.5833333333333334	0.3133333333333333
63	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	pre-Baroque	Renaissance	d	i	1.1538461538461537	0.0	0.09670118421052631
64	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	pre-Baroque	Renaissance	d	v	0.4492753623188406	0.057971014492753624	0.4194964835164835
65	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	pre-Baroque	Renaissance	d	i	0.88	0.04	0.18973802631578948
66	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	pre-Baroque	Renaissance	d	v	0.5454545454545454	0.0	0.15923395604395604
67	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	pre-Baroque	Renaissance	d	i	0.5	0.0	0.049473684210526316
68	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	pre-Baroque	Renaissance	d	iv	1.5	0.0	0.15666666666666665
69	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	pre-Baroque	Renaissance	d	i	0.9090909090909091	0.0	0.07538973684210526
70	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	pre-Baroque	Renaissance	G	I	0.0	0.0	0.11010324999999999
71	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	pre-Baroque	Renaissance	G	IV	0.044444444444444446	0.022222222222222223	0.29680696078431373
72	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	pre-Baroque	Renaissance	G	I	0.0	0.0	0.10652550000000001
73	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	pre-Baroque	Renaissance	G	v	0.6153846153846154	0.0	0.210445
74	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	pre-Baroque	Renaissance	G	IV	0.25	0.0	0.12010803921568626
75	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	pre-Baroque	Renaissance	G	I	0.0	0.0	0.047
