	Unnamed: 0	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id	mode
29	29	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	g	i	6.0	-4.0	7	-7	6	-4	[0]	[[1]]	0.0	0.0958549222797927	[-3, 1]	0.4067357512953368	[]	0.0518134715025906	10.0	14	10	2	30	minor
31	31	monteverdi_madrigals	8-19	1609.1691322587767	1638	a	i	6.0	-4.0	10	-4	8	-7	[0, 1]	[[3, 3], [4, 4], [4, 4], [4, 4]]	0.0	0.1209964412811387	[-3, 1]	0.6334519572953736	[]	0.1138790035587188	10.0	14	15	2	32	minor
33	33	sweelinck_keyboard	SwWV258_fantasia_cromatica	1621.0	1621	d	i	6.0	-4.0	7	-5	6	-4	[0]	[[2], [2], [2]]	0.0	0.1936127744510978	[-3, 1]	0.9720558882235528	[]	0.3353293413173652	10.0	12	10	3	34	minor
34	34	frescobaldi_fiori_musicali	12.01_Toccata_avanti_la_Messa_della_Domenica	1635.0	1635	d	i	5.0	-4.0	6	-9	5	-3	[0, 1, -3]	[[2], [-1, 3, 2]]	0.0	0.0701754385964912	[-3, 1]	0.8947368421052632	[]	0.3508771929824561	9.0	15	8	4	35	minor
35	35	frescobaldi_fiori_musicali	12.02_Kyrie_della_domenica	1635.0	1635	d	i	5.0	-4.0	5	-4	3	-3	[1]	[[3], [3]]	1.0	0.1833333333333333	[5, 2]	0.2333333333333333	[]	0.1	9.0	9	6	4	36	minor
36	36	frescobaldi_fiori_musicali	12.03_Kyrie,_Tema_A	1635.0	1635	d	i	6.0	-4.0	6	-4	2	-2	[1]	[[3]]	1.0	0.3787878787878788	[5, 2]	0.5303030303030303	[]	0.0	10.0	10	4	4	37	minor
37	37	frescobaldi_fiori_musicali	12.04_Christe,_Tema_B	1635.0	1635	d	i	5.0	-4.0	5	-5	3	-3	[0, 1]	[[3], [2]]	0.0	0.0638297872340425	[-3, 1]	0.4680851063829787	[]	0.0425531914893617	9.0	10	6	4	38	minor
38	38	frescobaldi_fiori_musicali	12.05_Christe,_Tema_B,_alio_modo	1635.0	1635	d	i	6.0	-4.0	5	-11	3	-3	[0, 2]	[[2], [2], [4]]	0.0	0.5869565217391305	[-3, 1]	0.5652173913043478	[2]	0.1521739130434782	10.0	16	6	4	39	minor
39	39	frescobaldi_fiori_musicali	12.06_Christe,_Tema_B,_alio_modo_II	1635.0	1635	d	i	5.0	-4.0	5	-4	3	-3	[0, 1]	[[3], [2]]	0.0	0.0652173913043478	[-3, 1]	0.2608695652173913	[]	0.1304347826086956	9.0	9	6	4	40	minor
40	40	frescobaldi_fiori_musicali	12.07_Christe,_Tema_B,_alio_modo_III	1635.0	1635	d	i	0.0	-4.0	4	-4	5	-3	[-2, 0, 1]	[[2], [2], [3], [0]]	0.0	0.0	[-3, 1]	0.4	[-2]	0.1428571428571428	4.0	8	8	4	41	minor
