	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id
20	monteverdi_madrigals	5-07	1609.1691322587767	1605	g	i	5.0	-4.0	5	-10	5	-4	[0, 1, -3]	[[1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 2, -2, 2]]	0.0	0.096	[-3, 1]	0.592	[]	0.088	9.0	15	9	2	21
21	monteverdi_madrigals	5-08	1609.1691322587767	1605	g	i	6.0	-4.0	5	-4	6	-2	[0]	[[1, 1, 1]]	0.0	0.0045662100456621	[-3, 1]	0.4748858447488584	[]	0.0182648401826484	10.0	9	8	2	22
22	monteverdi_madrigals	5-09	1609.1691322587767	1605	d	i	5.0	-4.0	5	-10	5	-5	[0, 5]	[[2], [2], [2], [7], [2]]	0.0	0.0718562874251497	[-3, 1]	0.7844311377245509	[5]	0.3712574850299401	9.0	15	10	2	23
23	monteverdi_madrigals	5-10	1609.1691322587767	1605	g	i	5.0	-4.0	5	-4	6	-1	[0, 1, -3]	[[1, 2, 1, -2, 2], [1, 2, 1, -2, 2]]	0.0	0.04081632653061224	[-3, 1]	0.6530612244897959	[]	0.05102040816326531	9.0	9	7	2	24
24	monteverdi_madrigals	5-11	1609.1691322587767	1605	g	i	6.0	-4.0	8	-4	6	-3	[0, 1, -3]	[[2], [2], [1, 1, -2], [1, 1, -2], [2], [1, 1, -2, 2]]	0.0	0.10596026490066225	[-3, 1]	0.609271523178808	[]	0.059602649006622516	10.0	12	9	2	25
25	monteverdi_madrigals	5-14	1609.1691322587767	1605	d	i	4.0	-4.0	7	-10	6	-3	[0, 1]	[[2, 3], [2]]	0.0	0.017964071856287425	[-3, 1]	0.8682634730538922	[]	0.24550898203592814	8.0	17	9	2	26
26	monteverdi_madrigals	5-15	1609.1691322587767	1605	d	i	5.0	-4.0	5	-10	5	-5	[0, 5]	[[2], [2], [2], [7], [2]]	0.0	0.0718562874251497	[-3, 1]	0.7844311377245509	[5]	0.3712574850299401	9.0	15	10	2	27
27	monteverdi_madrigals	5-17	1609.1691322587767	1605	d	i	5.0	-4.0	6	-6	5	-4	[-2, 0, 1, 3]	[[2], [3], [0], [5]]	0.0	0.07692307692307693	[-3, 1]	0.7211538461538461	[-2, 3]	0.1346153846153846	9.0	12	9	2	28
28	monteverdi_madrigals	6-01a	1609.1691322587767	1614	d	i	5.0	-4.0	5	-7	3	0	[1]	[[3]]	1.0	0.30120481927710846	[5, 2]	1.2530120481927711	[]	0.024096385542168676	9.0	12	3	2	29
29	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	g	i	6.0	-4.0	7	-7	6	-4	[0]	[[1]]	0.0	0.09585492227979274	[-3, 1]	0.4067357512953368	[]	0.05181347150259067	10.0	14	10	2	30
30	monteverdi_madrigals	8-18	1609.1691322587767	1638	C	I	6.0	-5.0	6	-7	5	-4	[0]	[[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]	0.0	0.05084745762711865	[4, 1]	0.47796610169491527	[]	0.010169491525423728	11.0	13	9	2	31
31	monteverdi_madrigals	8-19	1609.1691322587767	1638	a	i	6.0	-4.0	10	-4	8	-7	[0, 1]	[[3, 3], [4, 4], [4, 4], [4, 4]]	0.0	0.12099644128113879	[-3, 1]	0.6334519572953736	[]	0.11387900355871886	10.0	14	15	2	32
32	monteverdi_madrigals	9-12	1609.1691322587767	1651	C	I	5.0	-4.0	5	-4	0	-4	[0, 4]	[[0, 0, 4, 0], [0, 0, 4, 0]]	0.0	0.0	[4, 1]	0.3076923076923077	[]	0.0	9.0	9	4	2	33
33	sweelinck_keyboard	SwWV258_fantasia_cromatica	1621.0	1621	d	i	6.0	-4.0	7	-5	6	-4	[0]	[[2], [2], [2]]	0.0	0.1936127744510978	[-3, 1]	0.9720558882235529	[]	0.33532934131736525	10.0	12	10	3	34
34	frescobaldi_fiori_musicali	12.01_Toccata_avanti_la_Messa_della_Domenica	1635.0	1635	d	i	5.0	-4.0	6	-9	5	-3	[0, 1, -3]	[[2], [-1, 3, 2]]	0.0	0.07017543859649122	[-3, 1]	0.8947368421052632	[]	0.3508771929824561	9.0	15	8	4	35
35	frescobaldi_fiori_musicali	12.02_Kyrie_della_domenica	1635.0	1635	d	i	5.0	-4.0	5	-4	3	-3	[1]	[[3], [3]]	1.0	0.18333333333333332	[5, 2]	0.23333333333333334	[]	0.1	9.0	9	6	4	36
36	frescobaldi_fiori_musicali	12.03_Kyrie,_Tema_A	1635.0	1635	d	i	6.0	-4.0	6	-4	2	-2	[1]	[[3]]	1.0	0.3787878787878788	[5, 2]	0.5303030303030303	[]	0.0	10.0	10	4	4	37
37	frescobaldi_fiori_musicali	12.04_Christe,_Tema_B	1635.0	1635	d	i	5.0	-4.0	5	-5	3	-3	[0, 1]	[[3], [2]]	0.0	0.06382978723404255	[-3, 1]	0.46808510638297873	[]	0.0425531914893617	9.0	10	6	4	38
38	frescobaldi_fiori_musicali	12.05_Christe,_Tema_B,_alio_modo	1635.0	1635	d	i	6.0	-4.0	5	-11	3	-3	[0, 2]	[[2], [2], [4]]	0.0	0.5869565217391305	[-3, 1]	0.5652173913043478	[2]	0.15217391304347827	10.0	16	6	4	39
