	corpus	piece	corpus_year	piece_year	period	globalkey	localkey	localkey_mode	quarterbeats	chord	in_label	out_of_label	interval_classes	ILC	OLC	ILD	corpus_id	piece_id
208904	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	135.0	V43(4)/V	(3, 0, 2, 1)	(4, 6)	(3, 5, 2, 2, 5, 5)	0	1	0.4	30	10
208905	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	138.0	V	(1, 5, 2)	()	(4, 5, 3)	0	0	0.2	30	10
208906	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	139.5	IV	(-1, 3, 0)	(5,)	(4, 5, 3)	0	0	0.2	30	10
208907	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	141.0	I6	(4, 1, 0)	()	(3, 4, 5)	0	0	0.2	30	10
208908	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	142.5	ii7(+4)	(2, -1, 3, 0, 1)	(5,)	(3, 5, 2, 5, 4, 5, 2, 3, 2, 5)	0	0	0.56	30	10
208909	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	144.0	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	30	10
208915	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	145.5	iv6	(-4, 0, -1)	(1,)	(4, 3, 5)	0	0	0.2	30	10
208916	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	146.5	ii%7	(2, -1, -4, 0)	()	(3, 6, 2, 3, 5, 4)	0	0	0.6	30	10
208917	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	147.0	V(64)	(1, 0, -3)	()	(5, 4, 3)	0	0	0.2	30	10
208918	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	148.5	V	(1, 5, 2)	()	(4, 5, 3)	3	0	0.2	30	10
208919	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	150.0	I	(0, 4, 1)	(-1, 2)	(4, 5, 3)	2	0	0.2	30	10
208920	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	153.0	iio	(2, -1, -4)	(0, 1, 4)	(3, 6, 3)	0	2	0.5333	30	10
208921	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	156.0	I	(0, 4, 1)	(-1, 2)	(4, 5, 3)	2	0	0.2	30	10
208922	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	159.0	iio	(2, -1, -4)	(-2, 0, 1)	(3, 6, 3)	0	0	0.5333	30	10
208923	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	162.0	I	(0, 4, 1)	(-1, 2)	(4, 5, 3)	2	0	0.2	30	10
