	corpus	piece	corpus_year	piece_year	period	globalkey	localkey	localkey_mode	quarterbeats	chord	in_label	out_of_label	interval_classes	ILC	OLC	ILD	corpus_id	piece_id
216916	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	1.0	ii	(2, -1, 3)	()	(3, 5, 4)	0	0	0.2	31	63
216917	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	5.0	V	(1, 5, 2)	()	(4, 5, 3)	0	0	0.2	31	63
216918	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	8.0	I	(0, 4, 1)	(3, 5)	(4, 5, 3)	0	0	0.2	31	63
216919	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	16.0	ii(+4)	(2, -1, 3, 1)	(0, 4)	(3, 5, 5, 4, 2, 2)	0	0	0.45	31	63
216920	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	20.0	I(94)	(0, -1, 1, 2)	(3, 5)	(5, 5, 2, 2, 3, 5)	0	0	0.4	31	63
216921	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	22.0	I	(0, 4, 1)	(5,)	(4, 5, 3)	0	0	0.2	31	63
216922	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	24.0	V43/V	(3, 0, 2, 6)	(5,)	(3, 5, 3, 2, 6, 4)	1	0	0.6	31	63
216923	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	26.0	V7(9)	(1, 5, 2, -1, 3)	()	(4, 5, 2, 2, 3, 6, 2, 3, 5, 4)	0	0	0.76	31	63
216924	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	28.0	I	(0, 4, 1)	(3, 5)	(4, 5, 3)	0	0	0.2	31	63
216925	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	32.0	ii(+4)	(2, -1, 3, 1)	(0, 4)	(3, 5, 5, 4, 2, 2)	0	0	0.45	31	63
216926	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	36.0	I(94)	(0, -1, 1, 2)	(3, 5)	(5, 5, 2, 2, 3, 5)	0	0	0.4	31	63
216927	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	38.0	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	31	63
216928	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	40.0	V7(9)	(1, 5, 2, -1, 3)	(0, 4)	(4, 5, 2, 2, 3, 6, 2, 3, 5, 4)	0	0	0.76	31	63
216929	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	I	major	42.0	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	31	63
216984	grieg_lyric_pieces	op71n04	1890.3354624738975	1901	Late Romantic	B	V	major	44.0	I	(0, 4, 1)	(3, 5)	(4, 5, 3)	0	0	0.2	31	63
